id;translation_key;locale;text_value
x15-ar-001;settings.licenseTitle;ar-EG;ترخيص هذا الجهاز
x15-en-001;settings.licenseTitle;en-US;This device license
x15-ar-002;settings.licenseHint;ar-EG;حرر الترخيص قبل إزالة التطبيق أو نقله إلى جهاز آخر. يجب أن تكون متصلاً بخدمة التراخيص.
x15-en-002;settings.licenseHint;en-US;Release the license before uninstalling or moving it to another device. The license service must be reachable.
x15-ar-003;settings.licenseRelease;ar-EG;تحرير الترخيص من هذا الجهاز
x15-en-003;settings.licenseRelease;en-US;Release license from this device
x15-ar-004;settings.licenseReleaseConfirm;ar-EG;هل تريد إلغاء تفعيل هذا الجهاز؟ لن يفتح التطبيق مرة أخرى قبل إدخال مفتاح صالح.
x15-en-004;settings.licenseReleaseConfirm;en-US;Deactivate this device? The app will not open again until a valid key is activated.
x15-ar-005;settings.licenseReleased;ar-EG;تم تحرير المفتاح بنجاح. يمكنك الآن إزالة التطبيق أو تفعيله على جهاز آخر.
x15-en-005;settings.licenseReleased;en-US;The key was released. You can now uninstall or activate it on another device.
