id;translation_key;locale;text_value
v443-ar-001;TOTP_INVALID_CODE;ar-EG;رمز التحقق بخطوتين (2FA) غير صحيح أو منتهي الصلاحية.
v443-en-001;TOTP_INVALID_CODE;en-US;Invalid or expired two-factor authentication (2FA) code.
v443-ar-002;TOTP_ALREADY_ENABLED;ar-EG;المصادقة الثنائية (2FA) مفعلة بالفعل لهذا الحساب.
v443-en-002;TOTP_ALREADY_ENABLED;en-US;Two-factor authentication (2FA) is already enabled for this account.
v443-ar-003;TOTP_NOT_ENABLED;ar-EG;المصادقة الثنائية (2FA) غير مفعلة لهذا الحساب.
v443-en-003;TOTP_NOT_ENABLED;en-US;Two-factor authentication (2FA) is not enabled for this account.
v443-ar-004;TOTP_CHALLENGE_EXPIRED;ar-EG;انتهت صلاحية جلسة التحقق من المصادقة الثنائية، يرجى تسجيل الدخول مجدداً.
v443-en-004;TOTP_CHALLENGE_EXPIRED;en-US;Two-factor authentication challenge has expired. Please log in again.
v443-ar-005;TOTP_CHALLENGE_INVALID;ar-EG;رمز تحدي المصادقة الثنائية غير صالح.
v443-en-005;TOTP_CHALLENGE_INVALID;en-US;Invalid two-factor authentication challenge token.
v443-ar-006;TOTP_BACKUP_CODE_INVALID;ar-EG;رمز النسخ الاحتياطي غير صالح أو تم استخدامه مسبقاً.
v443-en-006;TOTP_BACKUP_CODE_INVALID;en-US;Invalid or already used backup code.
v443-ar-007;PASSWORD_POLICY_TOO_SHORT;ar-EG;كلمة المرور قصيرة جداً ويجب ألا تقل عن الحد الأدنى المحدد في سياسة الأمان.
v443-en-007;PASSWORD_POLICY_TOO_SHORT;en-US;Password is too short according to the tenant security policy.
v443-ar-008;PASSWORD_POLICY_REQUIRE_UPPERCASE;ar-EG;يجب أن تحتوي كلمة المرور على حرف كبير واحد على الأقل (A-Z).
v443-en-008;PASSWORD_POLICY_REQUIRE_UPPERCASE;en-US;Password must contain at least one uppercase letter (A-Z).
v443-ar-009;PASSWORD_POLICY_REQUIRE_LOWERCASE;ar-EG;يجب أن تحتوي كلمة المرور على حرف صغير واحد على الأقل (a-z).
v443-en-009;PASSWORD_POLICY_REQUIRE_LOWERCASE;en-US;Password must contain at least one lowercase letter (a-z).
v443-ar-010;PASSWORD_POLICY_REQUIRE_DIGIT;ar-EG;يجب أن تحتوي كلمة المرور على رقم واحد على الأقل (0-9).
v443-en-010;PASSWORD_POLICY_REQUIRE_DIGIT;en-US;Password must contain at least one digit (0-9).
v443-ar-011;PASSWORD_POLICY_REQUIRE_SPECIAL;ar-EG;يجب أن تحتوي كلمة المرور على رمز خاص واحد على الأقل (!@#$%^&*).
v443-en-011;PASSWORD_POLICY_REQUIRE_SPECIAL;en-US;Password must contain at least one special character (!@#$%^&*).
v443-ar-012;PASSWORD_POLICY_PREVIOUSLY_USED;ar-EG;لا يمكن إعادة استخدام كلمة مرور تم استخدامها مؤخراً.
v443-en-012;PASSWORD_POLICY_PREVIOUSLY_USED;en-US;Cannot reuse a previously used password.
v443-ar-013;PASSWORD_POLICY_EXPIRED;ar-EG;انتهت صلاحية كلمة المرور الخاصة بك، يرجى تغييرها للمتابعة.
v443-en-013;PASSWORD_POLICY_EXPIRED;en-US;Your password has expired. Please change it to continue.
v443-ar-014;DEVICE_NOT_FOUND;ar-EG;الجهاز المطلوب غير موجود.
v443-en-014;DEVICE_NOT_FOUND;en-US;The requested device was not found.
v443-ar-015;DEVICE_ALREADY_REVOKED;ar-EG;تم إلغاء صلاحية هذا الجهاز مسبقاً.
v443-en-015;DEVICE_ALREADY_REVOKED;en-US;This device has already been revoked.
v443-ar-016;IP_NOT_ALLOWED;ar-EG;عنوان IP الخاص بك غير مصرح له بتسجيل الدخول بهذا الدور الوظيفي.
v443-en-016;IP_NOT_ALLOWED;en-US;Your IP address is not authorized to log in with this role.
v443-ar-017;IP_CIDR_INVALID;ar-EG;صيغة نطاق IP (CIDR) غير صالحة.
v443-en-017;IP_CIDR_INVALID;en-US;Invalid IP CIDR block format.
v443-ar-018;IP_RULE_NOT_FOUND;ar-EG;قاعدة تقييد الـ IP غير موجودة.
v443-en-018;IP_RULE_NOT_FOUND;en-US;IP allowlist rule was not found.
v443-ar-019;settings.tabSecurity;ar-EG;الأمان والمصادقة
v443-en-019;settings.tabSecurity;en-US;Security & Auth
v443-ar-020;settings.security.title;ar-EG;إعدادات الأمان والمصادقة المتقدمة
v443-en-020;settings.security.title;en-US;Advanced Security & Authentication Settings
v443-ar-021;settings.security.subtitle;ar-EG;إدارة المصادقة الثنائية وسياسات كلمات المرور والأجهزة المسجلة ونطاقات الـ IP
v443-en-021;settings.security.subtitle;en-US;Manage two-factor authentication, password policies, registered devices, and IP allowlists
v443-ar-022;settings.security.totpTitle;ar-EG;المصادقة الثنائية (2FA / TOTP)
v443-en-022;settings.security.totpTitle;en-US;Two-Factor Authentication (2FA / TOTP)
v443-ar-023;settings.security.totpDesc;ar-EG;إضافة طبقة أمان إضافية لحسابك باستخدام تطبيق المصادقة (Google / Microsoft Authenticator)
v443-en-023;settings.security.totpDesc;en-US;Add an extra layer of security using an authenticator app (Google / Microsoft Authenticator)
v443-ar-024;settings.security.totpEnabled;ar-EG;المصادقة الثنائية مفعلة
v443-en-024;settings.security.totpEnabled;en-US;Two-factor authentication is active
v443-ar-025;settings.security.totpDisabled;ar-EG;المصادقة الثنائية معطلة
v443-en-025;settings.security.totpDisabled;en-US;Two-factor authentication is disabled
v443-ar-026;settings.security.totpEnableBtn;ar-EG;تفعيل المصادقة الثنائية
v443-en-026;settings.security.totpEnableBtn;en-US;Enable 2FA
v443-ar-027;settings.security.totpDisableBtn;ar-EG;تعطيل المصادقة الثنائية
v443-en-027;settings.security.totpDisableBtn;en-US;Disable 2FA
v443-ar-028;settings.security.totpScanQr;ar-EG;امسح رمز الاستجابة السريعة (QR) باستخدام تطبيق المصادقة:
v443-en-028;settings.security.totpScanQr;en-US;Scan the QR code with your authenticator app:
v443-ar-029;settings.security.totpSecretKey;ar-EG;أو أدخل المفتاح السري يدوياً:
v443-en-029;settings.security.totpSecretKey;en-US;Or enter the secret key manually:
v443-ar-030;settings.security.totpEnterCode;ar-EG;أدخل رمز التحقق المكون من 6 أرقام لتأكيد التفعيل:
v443-en-030;settings.security.totpEnterCode;en-US;Enter the 6-digit verification code to confirm activation:
v443-ar-031;settings.security.totpVerifyAndActivate;ar-EG;تأكيد وتفعيل
v443-en-031;settings.security.totpVerifyAndActivate;en-US;Verify & Activate
v443-ar-032;settings.security.backupCodesTitle;ar-EG;رموز النسخ الاحتياطي للطوارئ
v443-en-032;settings.security.backupCodesTitle;en-US;Emergency Backup Codes
v443-ar-033;settings.security.backupCodesDesc;ar-EG;احفظ هذه الرموز في مكان آمن. يمكن استخدام كل رمز لمرة واحدة فقط لتسجيل الدخول في حال فقدان هاتفك.
v443-en-033;settings.security.backupCodesDesc;en-US;Save these codes in a safe place. Each code can be used once to log in if you lose access to your authenticator.
