id;translation_key;locale;text_value;app_id
v415-001;PATIENT_NOT_FOUND;ar-EG;سجل المريض غير موجود;
v415-002;PATIENT_NOT_FOUND;en-US;Patient record not found;
v415-003;PATIENT_MRN_EXISTS;ar-EG;رقم الملف الطبي مسجل مسبقاً;
v415-004;PATIENT_MRN_EXISTS;en-US;Medical record number already exists;
v415-005;PATIENT_PHONE_REQUIRED;ar-EG;رقم هاتف المريض مطلوب;
v415-006;PATIENT_PHONE_REQUIRED;en-US;Patient phone number is required;
v415-007;PATIENT_NAME_REQUIRED;ar-EG;اسم المريض بالكامل مطلوب;
v415-008;PATIENT_NAME_REQUIRED;en-US;Patient full name is required;
v415-009;PATIENT_NATIONAL_ID_INVALID;ar-EG;الرقم القومي المصري غير صحيح أو غير متطابق;
v415-010;PATIENT_NATIONAL_ID_INVALID;en-US;Egyptian national ID is invalid or malformed;
v415-011;CLINIC_VISIT_NOT_FOUND;ar-EG;زيارة العيادة غير موجودة;
v415-012;CLINIC_VISIT_NOT_FOUND;en-US;Clinic visit not found;
v415-013;CLINIC_VISIT_INVALID_STATUS;ar-EG;حالة زيارة العيادة غير صالحة لهذا الإجراء;
v415-014;CLINIC_VISIT_INVALID_STATUS;en-US;Invalid clinic visit status transition;
v415-015;CLINIC_VISIT_ALREADY_COMPLETED;ar-EG;الزيارة مكتملة مسبقاً ولا يمكن تعديلها;
v415-016;CLINIC_VISIT_ALREADY_COMPLETED;en-US;Clinic visit is already completed;
v415-017;CLINIC_VISIT_ALREADY_CANCELLED;ar-EG;الزيارة ملغاة مسبقاً;
v415-018;CLINIC_VISIT_ALREADY_CANCELLED;en-US;Clinic visit is already cancelled;
v415-019;CLINIC_DOCTOR_REQUIRED;ar-EG;يرجى اختيار الطبيب المعالج;
v415-020;CLINIC_DOCTOR_REQUIRED;en-US;Attending doctor is required;
v415-021;CLINIC_PRESCRIPTION_EMPTY;ar-EG;الروشتة الطبية يجب أن تحتوي على صنف دوائي واحد على الأقل;
v415-022;CLINIC_PRESCRIPTION_EMPTY;en-US;Prescription must contain at least one medication;
v415-023;CLINIC_COMMISSION_INVALID_PERIOD;ar-EG;فترة حساب عمولة الطبيب غير صالحة;
v415-024;CLINIC_COMMISSION_INVALID_PERIOD;en-US;Invalid doctor commission period;
v415-025;workspace.medical;ar-EG;القطاع الطبي والعيادات;
v415-026;workspace.medical;en-US;Medical & Clinics;
