id;translation_key;locale;text_value
v315-001;crm.eyebrow;ar-EG;إدارة علاقات العملاء والتواصل الموحد
v315-002;crm.eyebrow;en-US;Customer Relationship Management (CRM)
v315-003;crm.title;ar-EG;إدارة العملاء والمحادثات الموحدة (CRM & Chatbot)
v315-004;crm.title;en-US;CRM, Omnichannel & Chatbot Integration
v315-005;crm.description;ar-EG;متابعة مسار المبيعات والصفقات، التواصل المباشر عبر WhatsApp وFacebook، والرد الآلي الذكي
v315-006;crm.description;en-US;Track sales pipeline, leads, WhatsApp/Facebook omnichannel inbox and automated chatbot responses
v315-007;crm.tabPipeline;ar-EG;مسار الصفقات (Pipeline)
v315-008;crm.tabPipeline;en-US;Sales Pipeline
v315-009;crm.tabLeads;ar-EG;العملاء المحتملون (Leads)
v315-010;crm.tabLeads;en-US;Leads & Contacts
v315-011;crm.tabInbox;ar-EG;صندوق المحادثات (Omnichannel Inbox)
v315-012;crm.tabInbox;en-US;Omnichannel Inbox
v315-013;crm.tabChannels;ar-EG;قنوات التواصل والروبوت (Channels)
v315-014;crm.tabChannels;en-US;Channels & Chatbot
v315-015;crm.kpiPipelineValue;ar-EG;إجمالي قيمة الصفقات المتوقعة
v315-016;crm.kpiPipelineValue;en-US;Total Pipeline Value
v315-017;crm.kpiActiveDeals;ar-EG;الصفقات النشطة
v315-018;crm.kpiActiveDeals;en-US;Active Deals
v315-019;crm.kpiConversionRate;ar-EG;نسبة إغلاق الصفقات الناجحة
v315-020;crm.kpiConversionRate;en-US;Win Rate
v315-021;crm.kpiUnreadMessages;ar-EG;رسائل واردة غير مقروءة
v315-022;crm.kpiUnreadMessages;en-US;Unread Inbound Messages
v315-023;crm.stageNew;ar-EG;عميل جديد
v315-024;crm.stageNew;en-US;New Lead
v315-025;crm.stageContacted;ar-EG;تم التواصل
v315-026;crm.stageContacted;en-US;Contacted
v315-027;crm.stageQualified;ar-EG;مؤهل للشراء
v315-028;crm.stageQualified;en-US;Qualified
v315-029;crm.stageProposal;ar-EG;تم تقديم العرض
v315-030;crm.stageProposal;en-US;Proposal Sent
v315-031;crm.stageNegotiation;ar-EG;مفاوضات جارية
v315-032;crm.stageNegotiation;en-US;Negotiation
v315-033;crm.stageWon;ar-EG;صفقة رابحة (تم الإغلاق)
v315-034;crm.stageWon;en-US;Closed Won
v315-035;crm.stageLost;ar-EG;صفقة خاسرة
v315-036;crm.stageLost;en-US;Closed Lost
v315-037;crm.newLead;ar-EG;إضافة عميل محتمل
v315-038;crm.newLead;en-US;New Lead
v315-039;crm.leadCode;ar-EG;كود العميل
