id;translation_key;locale;text_value
v331-001-ar;APPRAISAL_ALREADY_FINALIZED;ar-EG;تقييم الأداء معتمد ومغلق بالفعل ولا يمكن تعديله
v331-001-en;APPRAISAL_ALREADY_FINALIZED;en-US;Performance appraisal is already finalized and cannot be modified
v331-002-ar;APPRAISAL_NOT_FOUND;ar-EG;تقييم الأداء غير موجود
v331-002-en;APPRAISAL_NOT_FOUND;en-US;Performance appraisal not found
v331-003-ar;BANK_ACCOUNT_NOT_FOUND;ar-EG;الحساب البنكي غير موجود
v331-003-en;BANK_ACCOUNT_NOT_FOUND;en-US;Bank account not found
v331-004-ar;BIDDER_NOT_FOUND;ar-EG;مقدم العطاء / المقاول غير موجود
v331-004-en;BIDDER_NOT_FOUND;en-US;Bidder not found
v331-005-ar;BOQ_ITEM_NOT_FOUND;ar-EG;بند المقايسة غير موجود
v331-005-en;BOQ_ITEM_NOT_FOUND;en-US;BOQ item not found
v331-006-ar;CASHBOX_CODE_DUPLICATE;ar-EG;كود الخزينة مستخدم بالفعل
v331-006-en;CASHBOX_CODE_DUPLICATE;en-US;Cashbox code is already in use
v331-007-ar;CASHBOX_CODE_REQUIRED;ar-EG;كود الخزينة مطلوب
v331-007-en;CASHBOX_CODE_REQUIRED;en-US;Cashbox code is required
v331-008-ar;CASHBOX_INACTIVE;ar-EG;الخزينة غير نشطة
v331-008-en;CASHBOX_INACTIVE;en-US;Cashbox is inactive
v331-009-ar;CASHBOX_NAME_REQUIRED;ar-EG;اسم الخزينة مطلوب
v331-009-en;CASHBOX_NAME_REQUIRED;en-US;Cashbox name is required
v331-010-ar;CASHBOX_NOT_FOUND;ar-EG;الخزينة غير موجودة
v331-010-en;CASHBOX_NOT_FOUND;en-US;Cashbox not found
v331-011-ar;CHEQUE_NOT_FOUND;ar-EG;الشيك غير موجود
v331-011-en;CHEQUE_NOT_FOUND;en-US;Cheque not found
v331-012-ar;CHEQUE_NUMBER_REQUIRED;ar-EG;رقم الشيك مطلوب
v331-012-en;CHEQUE_NUMBER_REQUIRED;en-US;Cheque number is required
v331-013-ar;CLAIM_NOT_FOUND;ar-EG;المستخلص غير موجود
v331-013-en;CLAIM_NOT_FOUND;en-US;Progress claim not found
v331-014-ar;CLARIFICATION_NOT_FOUND;ar-EG;الاستفسار الفني غير موجود
v331-014-en;CLARIFICATION_NOT_FOUND;en-US;Clarification not found
v331-015-ar;CONTRACT_NOT_ACTIVE;ar-EG;عقد العمل غير نشط
v331-015-en;CONTRACT_NOT_ACTIVE;en-US;Employment contract is not active
v331-016-ar;CONTRACT_NOT_FOUND;ar-EG;عقد العمل غير موجود
v331-016-en;CONTRACT_NOT_FOUND;en-US;Employment contract not found
v331-017-ar;CONTRACT_NUMBER_EXISTS;ar-EG;رقم العقد موجود بالفعل
v331-017-en;CONTRACT_NUMBER_EXISTS;en-US;Contract number already exists
