id;key;locale;value
v246-0001;entitlements.feature.biometric;en-US;Biometric
v246-0002;entitlements.feature.biometric;ar-EG;البصمة
v246-0003;entitlements.feature.biometricFileImport;en-US;Biometric file import
v246-0004;entitlements.feature.biometricFileImport;ar-EG;استيراد ملفات البصمة
v246-0005;entitlements.feature.contractorAccounts;en-US;Contractor accounts
v246-0006;entitlements.feature.contractorAccounts;ar-EG;حسابات المقاولين
v246-0007;entitlements.feature.fileImport;en-US;File import
v246-0008;entitlements.feature.fileImport;ar-EG;استيراد الملفات
v246-0009;entitlements.feature.finance;en-US;Finance
v246-0010;entitlements.feature.finance;ar-EG;المالية
v246-0011;entitlements.feature.navigation;en-US;Navigation
v246-0012;entitlements.feature.navigation;ar-EG;التنقل
v246-0013;entitlements.feature.navigationRecents;en-US;Recent navigation
v246-0014;entitlements.feature.navigationRecents;ar-EG;التنقلات الأخيرة
v246-0015;entitlements.feature.notifications;en-US;Notifications
v246-0016;entitlements.feature.notifications;ar-EG;الإشعارات
v246-0017;entitlements.feature.procurement;en-US;Procurement
v246-0018;entitlements.feature.procurement;ar-EG;المشتريات
v246-0019;entitlements.feature.recents;en-US;Recents
v246-0020;entitlements.feature.recents;ar-EG;الأخيرة
v246-0021;entitlements.feature.workforce;en-US;Workforce
v246-0022;entitlements.feature.workforce;ar-EG;العمالة
v246-0023;entitlements.feature.workforceAttendance;en-US;Workforce attendance
v246-0024;entitlements.feature.workforceAttendance;ar-EG;حضور العمالة
v246-0025;entitlements.feature.workforceDashboard;en-US;Workforce dashboard
v246-0026;entitlements.feature.workforceDashboard;ar-EG;لوحة العمالة
v246-0027;manualAttendance.ui.absence;en-US;Absence
v246-0028;manualAttendance.ui.absence;ar-EG;غياب
v246-0029;manualAttendance.ui.absent;en-US;Absent
v246-0030;manualAttendance.ui.absent;ar-EG;غائب
v246-0031;manualAttendance.ui.absentDash;en-US;Absent (—)
v246-0032;manualAttendance.ui.absentDash;ar-EG;غائب (—)
v246-0033;manualAttendance.ui.absentZero;en-US;Absent (0)
v246-0034;manualAttendance.ui.absentZero;ar-EG;غائب (0)
v246-0035;manualAttendance.ui.attendanceAria;en-US;Attendance status for {name} on {date}
v246-0036;manualAttendance.ui.attendanceAria;ar-EG;حالة حضور {name} بتاريخ {date}
v246-0037;manualAttendance.ui.attendanceCellHelp;en-US;Attendance for {name} — {date} · choose full day, half day, or absent
v246-0038;manualAttendance.ui.attendanceCellHelp;ar-EG;حضور {name} — {date} · اختر دوام كامل أو نصف يوم أو غياب
v246-0039;manualAttendance.ui.attendanceStatus;en-US;Attendance status
v246-0040;manualAttendance.ui.attendanceStatus;ar-EG;حالة الحضور
v246-0041;manualAttendance.ui.attendanceStatusHelp;en-US;Attendance status — show workers with the selected status
v246-0042;manualAttendance.ui.attendanceStatusHelp;ar-EG;حالة الحضور — عرض العمال الذين لديهم الحالة المختارة
v246-0043;manualAttendance.ui.attendanceValue;en-US;Attendance value
v246-0044;manualAttendance.ui.attendanceValue;ar-EG;قيمة الحضور
v246-0045;manualAttendance.ui.bulkApplied;en-US;Update applied to {count} cells
v246-0046;manualAttendance.ui.bulkApplied;ar-EG;تم تطبيق التحديث على {count} خلية
v246-0047;manualAttendance.ui.bulkAttendanceAria;en-US;Attendance status to apply in bulk
v246-0048;manualAttendance.ui.bulkAttendanceAria;ar-EG;حالة الحضور المطلوب تطبيقها جماعياً
v246-0049;manualAttendance.ui.bulkAttendanceHelp;en-US;Bulk attendance status — value applied to selected cells
v246-0050;manualAttendance.ui.bulkAttendanceHelp;ar-EG;حالة الحضور الجماعية — القيمة التي ستطبق على الخلايا المحددة
v246-0051;manualAttendance.ui.bulkContext;en-US;Only {cells} selected cells will be changed. A required preview is shown before applying.
v246-0052;manualAttendance.ui.bulkContext;ar-EG;لن تُعدّل العملية إلا {cells} خلية محددة. ستظهر معاينة إلزامية قبل التنفيذ.
