id;key;locale;value
v449-ar-001;workspace.ess;ar-EG;بوابة الخدمة الذاتية للموظف
v449-en-001;workspace.ess;en-US;Employee Self-Service (ESS)
v449-ar-002;nav.ess;ar-EG;الخدمة الذاتية
v449-en-002;nav.ess;en-US;Self-Service
v449-ar-003;nav.essHint;ar-EG;عرض قسائم الراتب، رصيد الإجازات، وتقديم طلبات السلف والإجازات
v449-en-003;nav.essHint;en-US;View payslips, leave balances, and submit advance/leave requests
v449-ar-004;ess.title;ar-EG;بوابة الخدمة الذاتية للموظف
v449-en-004;ess.title;en-US;Employee Self-Service Portal
v449-ar-005;ess.subtitle;ar-EG;متابعة الحضور، قسائم الراتب السابقة، وتقديم طلبات الإجازات والسلف
v449-en-005;ess.subtitle;en-US;Track attendance, view payslip breakdowns, and submit requests
v449-ar-006;ess.tabOverview;ar-EG;نظرة عامة
v449-en-006;ess.tabOverview;en-US;Overview
v449-ar-007;ess.tabPayslips;ar-EG;قسائم الراتب
v449-en-007;ess.tabPayslips;en-US;Payslips
v449-ar-008;ess.tabLeaves;ar-EG;طلبات الإجازات
v449-en-008;ess.tabLeaves;en-US;Leave Requests
v449-ar-009;ess.tabAdvances;ar-EG;السلف والقروض
v449-en-009;ess.tabAdvances;en-US;Salary Advances
v449-ar-010;ess.tabAttendance;ar-EG;سجل الحضور
v449-en-010;ess.tabAttendance;en-US;Attendance History
v449-ar-011;ess.myProfile;ar-EG;بياناتي الشخصية
v449-en-011;ess.myProfile;en-US;My Profile
v449-ar-012;ess.quickPunch;ar-EG;تسجيل الحضور / سيلفي
v449-en-012;ess.quickPunch;en-US;Selfie Clock-In
v449-ar-013;ess.vacationBalance;ar-EG;رصيد الإجازات السنوية المتبقي
v449-en-013;ess.vacationBalance;en-US;Remaining Annual Leave Balance
v449-ar-014;ess.lastPunch;ar-EG;آخر حركة حضور مسجلة
v449-en-014;ess.lastPunch;en-US;Last Recorded Punch
v449-ar-015;ess.viewPayslip;ar-EG;عرض تفاصيل الراتب
v449-en-015;ess.viewPayslip;en-US;View Payslip
v449-ar-016;ess.salaryBreakdown;ar-EG;تفصيل الراتب والاستقطاعات
v449-en-016;ess.salaryBreakdown;en-US;Salary & Deductions Breakdown
v449-ar-017;ess.netPay;ar-EG;صافي الراتب المستلم
v449-en-017;ess.netPay;en-US;Net Pay Received
v449-ar-018;ess.grossPay;ar-EG;إجمالي الراتب المستحق
v449-en-018;ess.grossPay;en-US;Gross Salary
v449-ar-019;ess.deductions;ar-EG;إجمالي الاستقطاعات
v449-en-019;ess.deductions;en-US;Total Deductions
v449-ar-020;ess.requestLeave;ar-EG;تقديم طلب إجازة
v449-en-020;ess.requestLeave;en-US;Request Leave
v449-ar-021;ess.requestAdvance;ar-EG;تقديم طلب سلفة راتب
v449-en-021;ess.requestAdvance;en-US;Request Salary Advance
v449-ar-022;ess.installmentsCount;ar-EG;عدد الأقساط الشهرية
v449-en-022;ess.installmentsCount;en-US;Number of Installments
v449-ar-023;ess.installmentsRemaining;ar-EG;الأقساط المتبقية
v449-en-023;ess.installmentsRemaining;en-US;Remaining Installments
v449-ar-024;ess.remainingBalance;ar-EG;الرصيد المتبقي
v449-en-024;ess.remainingBalance;en-US;Remaining Balance
v449-ar-025;ess.annualBalance;ar-EG;رصيد سنوي
v449-en-025;ess.annualBalance;en-US;Annual Balance
v449-ar-026;ess.leaveType;ar-EG;نوع الإجازة
