id;translation_key;locale;text_value
v348-001-en;PROC_SETTLEMENT_DISCOUNT_FORBIDDEN;en-US;Settlement discounts can only be granted by finance roles.
v348-001-ar;PROC_SETTLEMENT_DISCOUNT_FORBIDDEN;ar-EG;لا يمكن منح خصم التسوية إلا لأدوار المالية.
v348-002-en;procurement.originalDue;en-US;Original due
v348-002-ar;procurement.originalDue;ar-EG;المستحق الأصلي
v348-003-en;procurement.settlementSection;en-US;Settle with discount
v348-003-ar;procurement.settlementSection;ar-EG;تسوية بخصم
v348-004-en;procurement.remainingAfter;en-US;Remaining after settlement
v348-004-ar;procurement.remainingAfter;ar-EG;المتبقي بعد التسوية
v348-005-en;procurement.settlementExceedsBalance;en-US;Cash plus discount must not exceed the outstanding balance.
v348-005-ar;procurement.settlementExceedsBalance;ar-EG;يجب ألا يتجاوز النقد مضافاً إليه الخصم الرصيد المتبقي.
