id;translation_key;locale;text_value
v240-001;financeWorkbench.title;en-US;Finance Reports & Close
v240-002;financeWorkbench.title;ar-EG;التقارير المالية والإقفال
v240-003;financeWorkbench.description;en-US;Review statements, reconcile subledgers, and close periods with evidence.
v240-004;financeWorkbench.description;ar-EG;راجع القوائم وطابق الدفاتر المساعدة وأقفل الفترات مع أدلة التنفيذ.
v240-005;financeWorkbench.open;en-US;Open workbench
v240-006;financeWorkbench.open;ar-EG;فتح مساحة العمل
v240-007;financeWorkbench.periodTitle;en-US;"Period: {{period}}"
v240-008;financeWorkbench.periodTitle;ar-EG;"الفترة: {{period}}"
v240-009;financeWorkbench.periodHint;en-US;All figures and close checks use this period's dates.
v240-010;financeWorkbench.periodHint;ar-EG;تستخدم جميع الأرقام وفحوصات الإقفال تواريخ هذه الفترة.
v240-011;financeWorkbench.balanceSheet;en-US;Balance Sheet
v240-012;financeWorkbench.balanceSheet;ar-EG;قائمة المركز المالي
v240-013;financeWorkbench.incomeStatement;en-US;Income Statement
v240-014;financeWorkbench.incomeStatement;ar-EG;قائمة الدخل
v240-015;financeWorkbench.cashFlow;en-US;Cash Flow Statement
v240-016;financeWorkbench.cashFlow;ar-EG;قائمة التدفقات النقدية
v240-017;financeWorkbench.cashFlowUnavailable;en-US;Unavailable until ledger-based cash classification is configured.
v240-018;financeWorkbench.cashFlowUnavailable;ar-EG;غير متاحة حتى يتم إعداد تصنيف التدفقات النقدية من دفتر الأستاذ.
v240-019;financeWorkbench.assets;en-US;Assets
v240-020;financeWorkbench.assets;ar-EG;الأصول
v240-021;financeWorkbench.liabilities;en-US;Liabilities
v240-022;financeWorkbench.liabilities;ar-EG;الالتزامات
v240-023;financeWorkbench.equity;en-US;Equity
v240-024;financeWorkbench.equity;ar-EG;حقوق الملكية
v240-025;financeWorkbench.netIncome;en-US;Net income
v240-026;financeWorkbench.netIncome;ar-EG;صافي الدخل
v240-027;financeWorkbench.revenue;en-US;Revenue
v240-028;financeWorkbench.revenue;ar-EG;الإيرادات
v240-029;financeWorkbench.expenses;en-US;Expenses
v240-030;financeWorkbench.expenses;ar-EG;المصروفات
v240-031;financeWorkbench.balanced;en-US;Balanced
v240-032;financeWorkbench.balanced;ar-EG;متوازنة
v240-033;financeWorkbench.unbalanced;en-US;Out of balance
v240-034;financeWorkbench.unbalanced;ar-EG;غير متوازنة
v240-035;financeWorkbench.reconciliation;en-US;Subledger reconciliation
v240-036;financeWorkbench.reconciliation;ar-EG;مطابقة الدفاتر المساعدة
v240-037;financeWorkbench.reconciliationHint;en-US;Generate and review period snapshots and their source differences.
v240-038;financeWorkbench.reconciliationHint;ar-EG;أنشئ وراجع لقطات الفترة وفروق مصادرها.
v240-039;financeWorkbench.ar;en-US;Accounts receivable
v240-040;financeWorkbench.ar;ar-EG;الذمم المدينة
v240-041;financeWorkbench.ap;en-US;Accounts payable
v240-042;financeWorkbench.ap;ar-EG;الذمم الدائنة
v240-043;financeWorkbench.inventory;en-US;Inventory
