id;translation_key;locale;text_value
v410-001-en;export.sheet.commissions;en-US;Commission statements
v410-001-ar;export.sheet.commissions;ar-EG;كشوف العمولات
v410-002-en;export.column.rule;en-US;Rule
v410-002-ar;export.column.rule;ar-EG;القاعدة
v410-003-en;export.column.basisAmount;en-US;Basis amount
v410-003-ar;export.column.basisAmount;ar-EG;الأساس
v410-004-en;export.column.percent;en-US;Percent
v410-004-ar;export.column.percent;ar-EG;النسبة
v410-005-en;export.column.commission;en-US;Commission
v410-005-ar;export.column.commission;ar-EG;العمولة
v410-006-en;sales.exportStatement;en-US;Export statement (Excel)
v410-006-ar;sales.exportStatement;ar-EG;تصدير الكشف (إكسل)
v410-007-en;sales.payrollSent;en-US;Commission sent to payroll
v410-008-ar;sales.payrollSent;ar-EG;تم إرسال العمولة إلى المرتبات
v410-009-en;sales.payrollAlreadySent;en-US;Already sent to payroll
v410-009-ar;sales.payrollAlreadySent;ar-EG;أُرسلت إلى المرتبات بالفعل
v410-010-en;sales.sendingToPayroll;en-US;Sending…
v410-010-ar;sales.sendingToPayroll;ar-EG;جارٍ الإرسال…
v410-011-en;sales.payrollSentAt;en-US;Sent to payroll:
v410-011-ar;sales.payrollSentAt;ar-EG;أُرسلت إلى المرتبات:
