id;key;locale;text
v157-ar-001;parties.accountName;ar-EG;اسم صاحب الحساب
v157-en-001;parties.accountName;en-US;Account name
v157-ar-002;parties.activateSupplier;ar-EG;تفعيل المورد
v157-en-002;parties.activateSupplier;en-US;Activate supplier
v157-ar-003;parties.addBank;ar-EG;إضافة حساب بنكي
v157-en-003;parties.addBank;en-US;Add bank account
v157-ar-004;parties.addDocument;ar-EG;إضافة مستند
v157-en-004;parties.addDocument;en-US;Add document
v157-ar-005;parties.approveSupplier;ar-EG;اعتماد المورد
v157-en-005;parties.approveSupplier;en-US;Approve supplier
v157-ar-006;parties.bankName;ar-EG;اسم البنك
v157-en-006;parties.bankName;en-US;Bank name
v157-ar-007;parties.bankVerification;ar-EG;التحقق من الحسابات البنكية
v157-en-007;parties.bankVerification;en-US;Bank verification
v157-ar-008;parties.blacklistReasonPrompt;ar-EG;اكتب سبب إدراج المورد في القائمة السوداء
v157-en-008;parties.blacklistReasonPrompt;en-US;Enter the reason for blacklisting this supplier
v157-ar-009;parties.blacklistSupplier;ar-EG;إدراج في القائمة السوداء
v157-en-009;parties.blacklistSupplier;en-US;Blacklist supplier
v157-ar-010;parties.complianceChecklist;ar-EG;قائمة التحقق من الامتثال
v157-en-010;parties.complianceChecklist;en-US;Compliance checklist
v157-ar-011;parties.documentCommercialRegister;ar-EG;السجل التجاري
v157-en-011;parties.documentCommercialRegister;en-US;Commercial register
v157-ar-012;parties.documentNumber;ar-EG;رقم المستند
v157-en-012;parties.documentNumber;en-US;Document number
v157-ar-013;parties.documentTaxCard;ar-EG;البطاقة الضريبية
v157-en-013;parties.documentTaxCard;en-US;Tax card
v157-ar-014;parties.documents;ar-EG;المستندات
v157-en-014;parties.documents;en-US;Documents
v157-ar-015;parties.duplicateBankWarning;ar-EG;هذا الحساب البنكي مسجل للمورد {name}
v157-en-015;parties.duplicateBankWarning;en-US;This bank account is already registered to {name}
v157-ar-016;parties.duplicateTaxWarning;ar-EG;الرقم الضريبي مسجل بالفعل للمورد {name}
v157-en-016;parties.duplicateTaxWarning;en-US;This tax ID is already registered to {name}
v157-ar-017;parties.expiredDocuments;ar-EG;مستندات منتهية
v157-en-017;parties.expiredDocuments;en-US;Expired documents
v157-ar-018;parties.fileName;ar-EG;اسم الملف
v157-en-018;parties.fileName;en-US;File name
v157-ar-019;parties.mandatory;ar-EG;إلزامي
v157-en-019;parties.mandatory;en-US;Mandatory
v157-ar-020;parties.ownerUser;ar-EG;مسؤول المورد
v157-en-020;parties.ownerUser;en-US;Supplier owner
v157-ar-021;parties.riskHigh;ar-EG;مرتفع
v157-en-021;parties.riskHigh;en-US;High
v157-ar-022;parties.riskLevel;ar-EG;مستوى المخاطر
v157-en-022;parties.riskLevel;en-US;Risk level
v157-ar-023;parties.riskLow;ar-EG;منخفض
v157-en-023;parties.riskLow;en-US;Low
v157-ar-024;parties.riskMedium;ar-EG;متوسط
v157-en-024;parties.riskMedium;en-US;Medium
v157-ar-025;parties.submitReview;ar-EG;إرسال للمراجعة
v157-en-025;parties.submitReview;en-US;Submit for review
v157-ar-026;parties.supplier360Title;ar-EG;ملف المورد الشامل
v157-en-026;parties.supplier360Title;en-US;Supplier 360
v157-ar-027;parties.supplierCategory;ar-EG;تصنيف المورد
v157-en-027;parties.supplierCategory;en-US;Supplier category
v157-ar-028;parties.suspendSupplier;ar-EG;تعليق المورد
v157-en-028;parties.suspendSupplier;en-US;Suspend supplier
v157-ar-029;parties.verified;ar-EG;تم التحقق
v157-en-029;parties.verified;en-US;Verified
v157-ar-030;parties.verifiedBanks;ar-EG;حسابات بنكية متحققة
v157-en-030;parties.verifiedBanks;en-US;Verified bank accounts
v157-ar-031;parties.verify;ar-EG;تحقق
v157-en-031;parties.verify;en-US;Verify
