id;translation_key;locale;text_value
v136-001;audit.filterTitle;ar-EG;"تصفية سجلات التدقيق"
v136-002;audit.filterTitle;en-US;"Filter audit records"
v136-003;audit.filterEntityType;ar-EG;"نوع الكيان"
v136-004;audit.filterEntityType;en-US;"Entity type"
v136-005;audit.filterUsername;ar-EG;"اسم المستخدم"
v136-006;audit.filterUsername;en-US;"Username"
v136-007;audit.applyFilters;ar-EG;"تطبيق التصفية"
v136-008;audit.applyFilters;en-US;"Apply filters"
v136-009;audit.resetFilters;ar-EG;"إعادة تعيين"
v136-010;audit.resetFilters;en-US;"Reset"
v136-011;audit.filterAction;ar-EG;"الإجراء"
v136-012;audit.filterAction;en-US;"Action"
v136-013;audit.filterSearch;ar-EG;"بحث بالكود أو التفاصيل"
v136-014;audit.filterSearch;en-US;"Search by code or details"
v136-015;audit.filterFrom;ar-EG;"من تاريخ"
v136-016;audit.filterFrom;en-US;"From date"
v136-017;audit.filterTo;ar-EG;"إلى تاريخ"
v136-018;audit.filterTo;en-US;"To date"
