id;translation_key;locale;text_value
v107-001;APPROVAL_WORKFLOW_NOT_FOUND;ar-EG;"لم يتم العثور على مسار اعتماد مطبق لنوع المستند والمبلغ."
v107-002;APPROVAL_WORKFLOW_NOT_FOUND;en-US;"No matching approval workflow definition found for the document type and amount."
v107-003;APPROVAL_NOT_AUTHORIZED;ar-EG;"ليس لديك صلاحية اعتماد خطوة المستند الحالية."
v107-004;APPROVAL_NOT_AUTHORIZED;en-US;"You are not authorized to decide on the current approval step."
v107-005;APPROVAL_REJECTION_REASON_REQUIRED;ar-EG;"سبب الرفض إجباري عند رفض أي مستند."
v107-006;APPROVAL_REJECTION_REASON_REQUIRED;en-US;"Rejection comment is mandatory when rejecting a document."
v107-007;APPROVAL_INSTANCE_NOT_FOUND;ar-EG;"طلب الاعتماد غير موجود أو تم إغلاقه."
v107-008;APPROVAL_INSTANCE_NOT_FOUND;en-US;"Approval instance not found or already closed."
v107-009;APPROVAL_SELF_APPROVAL_BLOCKED;ar-EG;"غير مسموح باعتماد مستنداتك الخاصة وفقاً لسياسة الاعتمادات."
v107-010;APPROVAL_SELF_APPROVAL_BLOCKED;en-US;"Self-approval is blocked by the approval workflow policy."
v107-011;nav.approvals;ar-EG;"الاعتمادات"
v107-012;nav.approvals;en-US;"Approvals"
v107-013;approvals.myTasks;ar-EG;"طلبات الاعتماد المعلقة"
v107-014;approvals.myTasks;en-US;"Pending Approvals"
v107-015;approvals.workflows;ar-EG;"مسارات الاعتماد"
v107-016;approvals.workflows;en-US;"Workflow Definitions"
v107-017;approvals.history;ar-EG;"سجل الاعتمادات"
v107-018;approvals.history;en-US;"Approval History"
