id;translation_key;locale;text_value
v431-001;CUSTODY_NOT_FOUND;ar-EG;عهدة الموقع غير موجودة
v431-002;CUSTODY_NOT_FOUND;en-US;Site custody record not found
v431-003;CUSTODY_ALREADY_SETTLED;ar-EG;العهدة مسواة أو مغلقة بالفعل ولا يمكن التعديل عليها
v431-004;CUSTODY_ALREADY_SETTLED;en-US;Site custody is already settled or closed
v431-005;CUSTODY_INSUFFICIENT_BALANCE;ar-EG;رصيد العهدة المتبقي غير كاف لتغطية هذا المصروف
v431-006;CUSTODY_INSUFFICIENT_BALANCE;en-US;Insufficient remaining balance in custody for this expense
v431-007;CUSTODY_EXPENSE_NOT_FOUND;ar-EG;مصروف العهدة غير موجود
v431-008;CUSTODY_EXPENSE_NOT_FOUND;en-US;Custody expense record not found
v431-009;CUSTODY_EXPENSE_ALREADY_DECIDED;ar-EG;تم البت في هذا المصروف بالفعل
v431-010;CUSTODY_EXPENSE_ALREADY_DECIDED;en-US;Custody expense has already been decided
v431-011;projects.custodyTitle;ar-EG;سجل عهد المواقع
v431-012;projects.custodyTitle;en-US;Site Custody Register
v431-013;projects.custodySubtitle;ar-EG;إدارة العهد المالية والعينية المخصصة للمشاريع ومتابعة المصروفات والتسويات
v431-014;projects.custodySubtitle;en-US;Manage project petty cash and material custody with expense tracking and settlement
v431-015;projects.issueCustody;ar-EG;صرف عهدة جديدة
v431-016;projects.issueCustody;en-US;Issue New Custody
v431-017;projects.custodian;ar-EG;المسؤول عن العهدة
v431-018;projects.custodian;en-US;Custodian
v431-019;projects.custodyType;ar-EG;نوع العهدة
v431-020;projects.custodyType;en-US;Custody Type
v431-021;projects.initialAmount;ar-EG;المبلغ المصروف
v431-022;projects.initialAmount;en-US;Initial Amount
v431-023;projects.remainingBalance;ar-EG;الرصيد المتبقي
v431-024;projects.remainingBalance;en-US;Remaining Balance
v431-025;projects.spentAmount;ar-EG;إجمالي المنصرف
v431-026;projects.spentAmount;en-US;Spent Amount
v431-027;projects.expenses;ar-EG;فواتير ومصروفات العهدة
v431-028;projects.expenses;en-US;Custody Expenses
v431-029;projects.addExpense;ar-EG;تسجيل مصروف عهدة
v431-030;projects.addExpense;en-US;Record Custody Expense
v431-031;projects.expenseCategory;ar-EG;بند المصروف
v431-032;projects.expenseCategory;en-US;Expense Category
v431-033;projects.receiptNumber;ar-EG;رقم الفاتورة / الإيصال
v431-034;projects.receiptNumber;en-US;Receipt / Invoice Number
v431-035;projects.approveExpense;ar-EG;اعتماد المصروف
v431-036;projects.approveExpense;en-US;Approve Expense
v431-037;projects.rejectExpense;ar-EG;رفض المصروف
v431-038;projects.rejectExpense;en-US;Reject Expense
v431-039;projects.settleCustody;ar-EG;تسوية وإغلاق العهدة
v431-040;projects.settleCustody;en-US;Settle & Close Custody
v431-041;projects.returnAmount;ar-EG;المبلغ المرتجع
v431-042;projects.returnAmount;en-US;Returned Amount
v431-043;projects.custodyCode;ar-EG;كود العهدة
v431-044;projects.custodyCode;en-US;Custody Code
v431-045;projects.cashCustody;ar-EG;عهدة نقدية
v431-046;projects.cashCustody;en-US;Cash Custody
v431-047;projects.materialCustody;ar-EG;عهدة مواد / خامات
v431-048;projects.materialCustody;en-US;Material Custody
v431-049;projects.equipmentCustody;ar-EG;عهدة معدات وأدوات
v431-050;projects.equipmentCustody;en-US;Equipment Custody
