id;message_key;locale;message_value;description
v419-001;SLOT_TAKEN;ar-EG;الموعد المحدد محجوز بالفعل لطبيب آخر أو مريض آخر;
v419-002;SLOT_TAKEN;en-US;The selected time slot is already booked;
v419-003;SLOT_OUTSIDE_ROSTER;ar-EG;الموعد المطلوب خارج ساعات عمل الطبيب المجدولة;
v419-004;SLOT_OUTSIDE_ROSTER;en-US;The requested time is outside the doctor's scheduled working hours;
v419-005;APPT_PAST;ar-EG;لا يمكن حجز موعد في تاريخ أو وقت سابق;
v419-006;APPT_PAST;en-US;Cannot book an appointment in the past;
v419-007;ROSTER_OVERLAP;ar-EG;ساعات العمل تتداخل مع جدول عمل قائم للطبيب;
v419-008;ROSTER_OVERLAP;en-US;Working hours overlap with an existing roster schedule;
v419-009;APPT_NOT_FOUND;ar-EG;تعذر العثور على سجل الموعد الطبي;
v419-010;APPT_NOT_FOUND;en-US;Appointment record was not found;
v419-011;ROSTER_NOT_FOUND;ar-EG;تعذر العثور على جدول عمل الطبيب;
v419-012;ROSTER_NOT_FOUND;en-US;Doctor roster record was not found;
v419-013;APPT_ALREADY_CHECKED_IN;ar-EG;تم تسجيل حضور هذا الموعد مسبقاً;
v419-014;APPT_ALREADY_CHECKED_IN;en-US;Appointment is already checked in;
v419-015;nav.clinicAppointments;ar-EG;المواعيد وجداول الأطباء;
v419-016;nav.clinicAppointments;en-US;Appointments & Rosters;
v419-017;nav.clinicAppointmentsHint;ar-EG;إدارة جداول الأطباء وحجز المواعيد ومتابعة الحضور;
v419-018;nav.clinicAppointmentsHint;en-US;Manage doctor schedules, book patient slots, and track check-ins;
v419-019;clinic.appointmentsTitle;ar-EG;حجز ومتابعة المواعيد الطبية;
v419-020;clinic.appointmentsTitle;en-US;Clinic Appointments & Scheduling;
v419-021;clinic.appointmentsSubtitle;ar-EG;جداول عمل الأطباء، تقويم المواعيد ومكتب الاستقبال;
