id;key;locale;text
v173-001;onboarding.tab;en-US;Go-live
v173-002;onboarding.tab;ar-EG;الجاهزية للتشغيل
v173-003;onboarding.title;en-US;Guided onboarding and data quality
v173-004;onboarding.title;ar-EG;التجهيز الموجّه وجودة البيانات
v173-005;onboarding.description;en-US;Assess real setup evidence and resolve blockers before go-live
v173-006;onboarding.description;ar-EG;قيّم أدلة الإعداد الفعلية وعالج العوائق قبل التشغيل
v173-007;onboarding.assess;en-US;Assess now
v173-008;onboarding.assess;ar-EG;تقييم الآن
v173-009;onboarding.assessed;en-US;Onboarding assessment completed
v173-010;onboarding.assessed;ar-EG;اكتمل تقييم التجهيز
v173-011;onboarding.setupProgress;en-US;Setup progress
v173-012;onboarding.setupProgress;ar-EG;تقدم الإعداد
v173-013;onboarding.dataQuality;en-US;Data quality
v173-014;onboarding.dataQuality;ar-EG;جودة البيانات
v173-015;onboarding.readiness;en-US;Go-live readiness
v173-016;onboarding.readiness;ar-EG;الاستعداد للتشغيل
v173-017;onboarding.checklist;en-US;Relevant checklist
v173-018;onboarding.checklist;ar-EG;قائمة التحقق ذات الصلة
v173-019;onboarding.optional;en-US;Optional
v173-020;onboarding.optional;ar-EG;اختياري
v173-021;onboarding.issues;en-US;Data blockers
v173-022;onboarding.issues;ar-EG;عوائق البيانات
v173-023;onboarding.noIssues;en-US;No data-quality blockers remain
v173-024;onboarding.noIssues;ar-EG;لا توجد عوائق متبقية في جودة البيانات
v173-025;onboarding.directAction;en-US;Fix now
v173-026;onboarding.directAction;ar-EG;المعالجة الآن
v173-027;onboarding.notAssessed;en-US;Not assessed yet
v173-028;onboarding.notAssessed;ar-EG;لم يتم التقييم بعد
v173-029;onboarding.status.ready;en-US;Ready
v173-030;onboarding.status.ready;ar-EG;جاهز
v173-031;onboarding.status.blocked;en-US;Blocked
v173-032;onboarding.status.blocked;ar-EG;محجوب
v173-033;onboarding.status.in_progress;en-US;In progress
v173-034;onboarding.status.in_progress;ar-EG;قيد التنفيذ
v173-035;onboarding.status.completed;en-US;Completed
v173-036;onboarding.status.completed;ar-EG;مكتمل
v173-037;onboarding.status.skipped;en-US;Skipped
v173-038;onboarding.status.skipped;ar-EG;تم التخطي
v173-039;onboarding.issue.contractors;en-US;Add at least one contractor
v173-040;onboarding.issue.contractors;ar-EG;أضف مقاولًا واحدًا على الأقل
v173-041;onboarding.issue.categories;en-US;Configure at least one workforce category
v173-042;onboarding.issue.categories;ar-EG;هيئ فئة عمالة واحدة على الأقل
v173-043;onboarding.issue.workers;en-US;Add or import at least one worker
v173-044;onboarding.issue.workers;ar-EG;أضف أو استورد عاملًا واحدًا على الأقل
v173-045;onboarding.issue.import;en-US;Complete a successful workforce or attendance import
v173-046;onboarding.issue.import;ar-EG;أكمل استيراد عمالة أو حضور ناجحًا
v173-047;onboarding.issue.settlement;en-US;Create the first contractor settlement
v173-048;onboarding.issue.settlement;ar-EG;أنشئ أول تسوية مقاول
v173-049;ONBOARDING_ASSESSMENT_INVALID;en-US;The onboarding assessment evidence is invalid.
v173-050;ONBOARDING_ASSESSMENT_INVALID;ar-EG;دليل تقييم التجهيز غير صالح.
v173-051;INDUSTRY_PACK_NOT_INSTALLED;en-US;Install the industry pack before assessing onboarding.
v173-052;INDUSTRY_PACK_NOT_INSTALLED;ar-EG;ثبّت حزمة النشاط قبل تقييم التجهيز.
