id;translation_key;locale;text_value
v329-001;verticals.title;ar-EG;الحلول القطاعية المتخصصة
v329-002;verticals.title;en-US;Specialized Industry Verticals
v329-003;verticals.description;ar-EG;حزم مدمجة متخصصة لإدارة المدارس والتعليم، السياحة والفنادق، التخليص الجمركي، والخدمات اللوجستية 3PL
v329-004;verticals.description;en-US;Integrated industry extensions for Education & Schools, Tourism & Travel, Customs Clearance, and 3PL Logistics
v329-005;verticals.tabSchool;ar-EG;المدارس والتعليم
v329-006;verticals.tabSchool;en-US;Schools & Education
v329-007;verticals.tabTourism;ar-EG;السياحة والسفر
v329-008;verticals.tabTourism;en-US;Tourism & Travel
v329-009;verticals.tabCustoms;ar-EG;التخليص الجمركي
v329-010;verticals.tabCustoms;en-US;Customs Clearance
v329-011;verticals.tab3pl;ar-EG;الخدمات اللوجستية 3PL
v329-012;verticals.tab3pl;en-US;3PL Logistics
v329-013;verticals.registerStudent;ar-EG;تسجيل طالب جديد
v329-014;verticals.registerStudent;en-US;Register New Student
v329-015;verticals.createBooking;ar-EG;حجز رحلة سياحية
v329-016;verticals.createBooking;en-US;New Tour Booking
v329-017;verticals.createDeclaration;ar-EG;فتح ملف تخليص جمركي
v329-018;verticals.createDeclaration;en-US;Open Customs File
v329-019;verticals.create3plContract;ar-EG;إبرام عقد تخزين 3PL
v329-020;verticals.create3plContract;en-US;New 3PL Storage Contract
v329-021;verticals.studentCode;ar-EG;كود الطالب
v329-022;verticals.studentCode;en-US;Student Code
v329-023;verticals.studentName;ar-EG;اسم الطالب
v329-024;verticals.studentName;en-US;Student Name
v329-025;verticals.gradeLevel;ar-EG;المرحلة الدراسية
v329-026;verticals.gradeLevel;en-US;Grade Level
v329-027;verticals.academicYear;ar-EG;العام الدراسي
v329-028;verticals.academicYear;en-US;Academic Year
v329-029;verticals.tuitionFee;ar-EG;المصروفات الدراسية
v329-030;verticals.tuitionFee;en-US;Tuition Fee
v329-031;verticals.transportFee;ar-EG;رسوم النقل والباص
v329-032;verticals.transportFee;en-US;Transport Fee
v329-033;verticals.booksFee;ar-EG;رسوم الكتب والأنشطة
v329-034;verticals.booksFee;en-US;Books & Activities Fee
v329-035;verticals.totalFees;ar-EG;إجمالي الرسوم
v329-036;verticals.totalFees;en-US;Total Fees
v329-037;verticals.guardianName;ar-EG;اسم ولي الأمر
v329-038;verticals.guardianName;en-US;Guardian Name
v329-039;verticals.guardianPhone;ar-EG;هاتف ولي الأمر
v329-040;verticals.guardianPhone;en-US;Guardian Phone
v329-041;verticals.bookingCode;ar-EG;كود الحجز
v329-042;verticals.bookingCode;en-US;Booking Code
v329-043;verticals.packageName;ar-EG;اسم البرنامج السياحي
v329-044;verticals.packageName;en-US;Tour Package Name
v329-045;verticals.destination;ar-EG;الوجهة السياحية
v329-046;verticals.destination;en-US;Destination
v329-047;verticals.travelDate;ar-EG;تاريخ المغادرة
v329-048;verticals.travelDate;en-US;Travel Date
v329-049;verticals.returnDate;ar-EG;تاريخ العودة
v329-050;verticals.returnDate;en-US;Return Date
v329-051;verticals.travelersCount;ar-EG;عدد المسافرين
v329-052;verticals.travelersCount;en-US;Travelers Count
v329-053;verticals.sellingPrice;ar-EG;سعر البيع للعميل
v329-054;verticals.sellingPrice;en-US;Selling Price
v329-055;verticals.hotelCost;ar-EG;تكلفة الفنادق
v329-056;verticals.hotelCost;en-US;Hotel Cost
v329-057;verticals.flightCost;ar-EG;تكلفة الطيران
v329-058;verticals.flightCost;en-US;Flight Cost
v329-059;verticals.excursionCost;ar-EG;تكلفة المزارات والجولات
v329-060;verticals.excursionCost;en-US;Excursions Cost
v329-061;verticals.grossMargin;ar-EG;هامش الربح الإجمالي
v329-062;verticals.grossMargin;en-US;Gross Profit Margin
v329-063;verticals.fileNumber;ar-EG;رقم الشهادة / الإقرار الجمركي
v329-064;verticals.fileNumber;en-US;Customs Declaration No.
v329-065;verticals.importerName;ar-EG;اسم المستورد / العميل
v329-066;verticals.importerName;en-US;Importer / Client Name
v329-067;verticals.portOfEntry;ar-EG;ميناء الوصول الجمركي
v329-068;verticals.portOfEntry;en-US;Port of Entry
v329-069;verticals.billOfLading;ar-EG;رقم بوليصة الشحن (B/L)
v329-070;verticals.billOfLading;en-US;Bill of Lading (B/L)
v329-071;verticals.dutyDisbursement;ar-EG;الرسوم الجمركية والضرائب المدفوعة
v329-072;verticals.dutyDisbursement;en-US;Customs Duties & Tax Disbursals
v329-073;verticals.portHandling;ar-EG;مصاريف الميناء والتفريغ
v329-074;verticals.portHandling;en-US;Port Handling Charges
v329-075;verticals.clearanceServiceFee;ar-EG;أتعاب التخليص الجمركي
v329-076;verticals.clearanceServiceFee;en-US;Clearance Agency Fee
v329-077;verticals.contractCode;ar-EG;كود عقد التخزين
v329-078;verticals.contractCode;en-US;3PL Contract Code
v329-079;verticals.palletCapacity;ar-EG;السعة التخزينية (طبلية)
v329-080;verticals.palletCapacity;en-US;Pallet Capacity
v329-081;verticals.ratePerPallet;ar-EG;سعر إيجار الطبلية الشهري
v329-082;verticals.ratePerPallet;en-US;Monthly Rate per Pallet
v329-083;verticals.handlingInRate;ar-EG;رسوم التعتيق والإدخال (Handling-In)
v329-084;verticals.handlingInRate;en-US;Handling-In Rate / Pallet
v329-085;verticals.handlingOutRate;ar-EG;رسوم الصرف والتحميل (Handling-Out)
v329-086;verticals.handlingOutRate;en-US;Handling-Out Rate / Pallet
v329-087;verticals.studentRegistered;ar-EG;تم تسجيل بيانات الطالب وتوليد خطة المصروفات الدراسية بنجاح
v329-088;verticals.studentRegistered;en-US;Student registered and tuition fee plan created successfully
v329-089;verticals.bookingCreated;ar-EG;تم تأكيد حجز البرنامج السياحي واحتساب هوامش الربحية
v329-090;verticals.bookingCreated;en-US;Tour booking confirmed and profit margins computed successfully
v329-091;verticals.declarationCreated;ar-EG;تم فتح ملف التخليص الجمركي وتوثيق مبالغ الرسوم والمصاريف
v329-092;verticals.declarationCreated;en-US;Customs clearance file opened and duty disbursals recorded successfully
v329-093;verticals.contractCreated;ar-EG;تم إبرام وتفعيل عقد التخزين اللوجستي 3PL بنجاح
v329-094;verticals.contractCreated;en-US;3PL logistics storage contract created and activated successfully
v329-095;nav.specializedVerticals;ar-EG;الأنظمة القطاعية
v329-096;nav.specializedVerticals;en-US;Industry Verticals
v329-097;nav.specializedVerticalsHint;ar-EG;إدارة أنظمة التعليم والسياحة والجمارك والخدمات اللوجستية 3PL
v329-098;nav.specializedVerticalsHint;en-US;Manage Education, Tourism, Customs, and 3PL industry extensions
