id;translation_key;locale;text_value
v96a-ar-001;error.accessDenied;ar-EG;تم رفض الوصول.
v96a-en-001;error.accessDenied;en-US;Access denied.
v96a-ar-002;error.resourceNotFound;ar-EG;الموارد غير موجودة.
v96a-en-002;error.resourceNotFound;en-US;Resource not found.
v96a-ar-003;error.concurrentModification;ar-EG;تم تعديل السجل بواسطة مستخدم آخر. أعد التحميل وحاول مرة أخرى.
v96a-en-003;error.concurrentModification;en-US;The record was modified by another user. Reload and retry.
v96a-ar-004;error.malformedRequest;ar-EG;نص الطلب غير صالح.
v96a-en-004;error.malformedRequest;en-US;Malformed request body.
v96a-ar-005;error.methodNotAllowed;ar-EG;طريقة HTTP غير مدعومة.
v96a-en-005;error.methodNotAllowed;en-US;HTTP method not supported.
v96a-ar-006;error.unexpectedError;ar-EG;حدث خطأ غير متوقع.
v96a-en-006;error.unexpectedError;en-US;An unexpected error occurred.
