id;translation_key;locale;text_value
v417-001;CHART_NOT_FOUND;ar-EG;تعذر العثور على السجل أو الملف الطبي للمريض
v417-002;CHART_NOT_FOUND;en-US;Patient medical chart record was not found
v417-003;VITALS_RANGE_INVALID;ar-EG;العلامات الحيوية المدخلة خارج النطاق الفسيولوجي المقبول
v417-004;VITALS_RANGE_INVALID;en-US;Entered vital signs are outside valid physiological ranges
v417-005;ALLERGY_SUBSTANCE_REQUIRED;ar-EG;اسم المادة المسببة للحساسية مطلوب
v417-006;ALLERGY_SUBSTANCE_REQUIRED;en-US;Allergy substance or allergen name is required
v417-007;CONDITION_LABEL_REQUIRED;ar-EG;اسم التشخيص أو الحالة المرضية مطلوب
v417-008;CONDITION_LABEL_REQUIRED;en-US;Diagnosis or condition label is required
v417-009;CONSENT_SIGNED_BY_REQUIRED;ar-EG;اسم الموقع على إقرار الموافقة الطبية مطلوب
v417-010;CONSENT_SIGNED_BY_REQUIRED;en-US;Signer name is required for medical consent
v417-011;DRUG_ALLERGY_WARNING;ar-EG;تنبيه: المريض لديه حساسية شديدة مسجلة تجاه هذا الدواء
v417-012;DRUG_ALLERGY_WARNING;en-US;Warning: Patient has a documented severe allergy to this medication
v417-013;clinic.chartTitle;ar-EG;الملف الطبي والسجل الصحي
v417-014;clinic.chartTitle;en-US;Medical Chart & EMR
v417-015;clinic.chartSubtitle;ar-EG;السجل الصحي الشامل، العلامات الحيوية، الحساسية والإقرارات
v417-016;clinic.chartSubtitle;en-US;Comprehensive patient history, vitals, allergies and consent forms
v417-017;clinic.chartTabHistory;ar-EG;سجل الزيارات
v417-018;clinic.chartTabHistory;en-US;Encounter History
v417-019;clinic.chartTabVitals;ar-EG;العلامات الحيوية ومؤشر كتلة الجسم
v417-020;clinic.chartTabVitals;en-US;Vital Signs & BMI
v417-021;clinic.chartTabAllergies;ar-EG;الحساسية والأمراض المزمنة
v417-022;clinic.chartTabAllergies;en-US;Allergies & Conditions
v417-023;clinic.chartTabDocuments;ar-EG;المستندات والتحاليل
v417-024;clinic.chartTabDocuments;en-US;Attachments & Labs
v417-025;clinic.chartTabConsents;ar-EG;إقرارات الموافقة الطبية
v417-026;clinic.chartTabConsents;en-US;Informed Consents
v417-027;clinic.severeAllergyAlert;ar-EG;تنبيه: حساسية مفرطة وخطيرة مسجلة!
v417-028;clinic.severeAllergyAlert;en-US;WARNING: Severe Critical Allergies Documented!
v417-029;clinic.noKnownAllergies;ar-EG;لا توجد حساسية مسجلة
v417-030;clinic.noKnownAllergies;en-US;No known allergies recorded
v417-031;clinic.addAllergy;ar-EG;إضافة حساسية
v417-032;clinic.addAllergy;en-US;Add Allergy
v417-033;clinic.addCondition;ar-EG;إضافة حالة مزمنة
v417-034;clinic.addCondition;en-US;Add Chronic Condition
v417-035;clinic.recordVitals;ar-EG;تسجيل العلامات الحيوية
v417-036;clinic.recordVitals;en-US;Record Vital Signs
v417-037;clinic.uploadDoc;ar-EG;رفع ملف طبي
v417-038;clinic.uploadDoc;en-US;Upload Medical File
v417-039;clinic.signConsent;ar-EG;توقيع إقرار طبي
v417-040;clinic.signConsent;en-US;Sign Consent Form
v417-041;clinic.substance;ar-EG;المادة المسببة
v417-042;clinic.substance;en-US;Allergen / Substance
v417-043;clinic.severity;ar-EG;درجة الحساسية
v417-044;clinic.severity;en-US;Severity
v417-045;clinic.severityMild;ar-EG;طفيفة
v417-046;clinic.severityMild;en-US;Mild
v417-047;clinic.severityModerate;ar-EG;متوسطة
v417-048;clinic.severityModerate;en-US;Moderate
v417-049;clinic.severitySevere;ar-EG;شديدة (حرجة)
v417-050;clinic.severitySevere;en-US;Severe (Critical)
v417-051;clinic.reactionNotes;ar-EG;الأعراض والملاحظات
v417-052;clinic.reactionNotes;en-US;Reaction Notes
v417-053;clinic.condition;ar-EG;الحالة / التشخيص
v417-054;clinic.condition;en-US;Condition / Diagnosis
v417-055;clinic.chronic;ar-EG;مزمن
v417-056;clinic.chronic;en-US;Chronic
v417-057;clinic.onsetDate;ar-EG;تاريخ البداية
v417-058;clinic.onsetDate;en-US;Onset Date
v417-059;clinic.statusActive;ar-EG;نشطة
v417-060;clinic.statusActive;en-US;Active
v417-061;clinic.statusResolved;ar-EG;تم الشفاء
v417-062;clinic.statusResolved;en-US;Resolved
v417-063;clinic.vitalsSystolic;ar-EG;الضغط الانقباضي (مم زئبق)
v417-064;clinic.vitalsSystolic;en-US;Systolic BP (mmHg)
v417-065;clinic.vitalsDiastolic;ar-EG;الضغط الانبساطي (مم زئبق)
v417-066;clinic.vitalsDiastolic;en-US;Diastolic BP (mmHg)
v417-067;clinic.vitalsPulse;ar-EG;النبض (نبضة/د)
v417-068;clinic.vitalsPulse;en-US;Heart Rate (bpm)
v417-069;clinic.vitalsTemp;ar-EG;درجة الحرارة (°م)
v417-070;clinic.vitalsTemp;en-US;Temperature (°C)
v417-071;clinic.vitalsSpo2;ar-EG;نسبة الأكسجين (%)
v417-072;clinic.vitalsSpo2;en-US;SpO2 (%)
v417-073;clinic.vitalsWeight;ar-EG;الوزن (كجم)
v417-074;clinic.vitalsWeight;en-US;Weight (kg)
v417-075;clinic.vitalsHeight;ar-EG;الطول (سم)
v417-076;clinic.vitalsHeight;en-US;Height (cm)
v417-077;clinic.vitalsBmi;ar-EG;مؤشر كتلة الجسم
v417-078;clinic.vitalsBmi;en-US;BMI
v417-079;clinic.bmiUnderweight;ar-EG;نقص في الوزن
v417-080;clinic.bmiUnderweight;en-US;Underweight
v417-081;clinic.bmiNormal;ar-EG;وزن طبيعي
v417-082;clinic.bmiNormal;en-US;Normal Weight
v417-083;clinic.bmiOverweight;ar-EG;زيادة في الوزن
v417-084;clinic.bmiOverweight;en-US;Overweight
v417-085;clinic.bmiObese;ar-EG;سمنة
