id;translation_key;locale;text_value
v151-001-ar;taxCurrency.onlineHintTitle;ar-EG;أسعار العملات المرجعية عبر الإنترنت
v151-002-en;taxCurrency.onlineHintTitle;en-US;Online reference exchange rates
v151-003-ar;taxCurrency.onlineHintDescription;ar-EG;يتم جلب أسعار Frankfurter كمرجع فقط ولا يتم استبدال سعر الصرف المحاسبي المحفوظ تلقائياً.
v151-004-en;taxCurrency.onlineHintDescription;en-US;Frankfurter rates are shown as reference hints only. They never automatically replace the configured accounting exchange rate.
v151-005-ar;taxCurrency.onlineProvider;ar-EG;المصدر
v151-006-en;taxCurrency.onlineProvider;en-US;Provider
v151-007-ar;taxCurrency.onlineConfiguredRate;ar-EG;السعر المعتمد بالنظام
v151-008-en;taxCurrency.onlineConfiguredRate;en-US;Configured system rate
v151-009-ar;taxCurrency.onlineReferenceRate;ar-EG;السعر المرجعي عبر الإنترنت
v151-010-en;taxCurrency.onlineReferenceRate;en-US;Online reference rate
v151-011-ar;taxCurrency.onlineProviderDate;ar-EG;تاريخ سعر المصدر
v151-012-en;taxCurrency.onlineProviderDate;en-US;Provider rate date
v151-013-ar;taxCurrency.onlineLastSuccess;ar-EG;آخر تحديث ناجح
v151-014-en;taxCurrency.onlineLastSuccess;en-US;Last successful refresh
v151-015-ar;taxCurrency.onlineNextRefresh;ar-EG;التحديث القادم
v151-016-en;taxCurrency.onlineNextRefresh;en-US;Next refresh
v151-017-ar;taxCurrency.onlineNeverSynced;ar-EG;لم يتم التحديث بنجاح بعد
v151-018-en;taxCurrency.onlineNeverSynced;en-US;Not successfully refreshed yet
v151-019-ar;taxCurrency.onlineRefreshInterval;ar-EG;فترة التحديث بالساعات
v151-020-en;taxCurrency.onlineRefreshInterval;en-US;Refresh interval in hours
v151-021-ar;taxCurrency.onlineRefreshIntervalHint;ar-EG;القيمة الافتراضية 4 ساعات. الحد المسموح من ساعة إلى 168 ساعة.
v151-022-en;taxCurrency.onlineRefreshIntervalHint;en-US;Default is 4 hours. Allowed range is 1 to 168 hours.
v151-023-ar;taxCurrency.onlineEnabled;ar-EG;تفعيل الأسعار المرجعية عبر الإنترنت
v151-024-en;taxCurrency.onlineEnabled;en-US;Enable online reference rates
v151-025-ar;taxCurrency.onlineEnabledHint;ar-EG;عند إيقافها لن يقوم المجدول بجلب أسعار جديدة وتبقى الأسعار المحاسبية كما هي.
v151-026-en;taxCurrency.onlineEnabledHint;en-US;"When disabled, the scheduler stops fetching new hints; configured accounting rates remain unchanged."
v151-027-ar;taxCurrency.onlineSaveSettings;ar-EG;حفظ إعدادات الأسعار المرجعية
v151-028-en;taxCurrency.onlineSaveSettings;en-US;Save reference-rate settings
v151-029-ar;taxCurrency.onlineSettingsSaved;ar-EG;تم حفظ إعدادات الأسعار المرجعية.
v151-030-en;taxCurrency.onlineSettingsSaved;en-US;Reference-rate settings saved.
