id;translation_key;locale;text_value
v300-001;nav.leaves;ar-EG;الإجازات والعطلات
v300-002;nav.leaves;en-US;Leave & Vacations
v300-003;nav.leavesHint;ar-EG;إدارة طلبات الإجازات والأرصدة والسياسات
v300-004;nav.leavesHint;en-US;Manage leave requests, balances and policies
v300-005;leaves.title;ar-EG;إدارة الإجازات والعطلات الرسمية
v300-006;leaves.title;en-US;Leave & Vacation Management
v300-007;leaves.tabRequests;ar-EG;طلبات الإجازات والموافقات
v300-008;leaves.tabRequests;en-US;Leave Requests & Approvals
v300-009;leaves.tabBalances;ar-EG;أرصدة واستحقاقات الموظفين
v300-010;leaves.tabBalances;en-US;Employee Balances & Entitlements
v300-011;leaves.tabTypes;ar-EG;أنواع الإجازات والسياسات
v300-012;leaves.tabTypes;en-US;Leave Types & Policies
v300-013;leaves.newRequest;ar-EG;تقديم طلب إجازة جديد
v300-014;leaves.newRequest;en-US;New Leave Request
v300-015;leaves.requestNumber;ar-EG;رقم الطلب
v300-016;leaves.requestNumber;en-US;Request Number
v300-017;leaves.employee;ar-EG;الموظف
v300-018;leaves.employee;en-US;Employee
v300-019;leaves.leaveType;ar-EG;نوع الإجازة
v300-020;leaves.leaveType;en-US;Leave Type
v300-021;leaves.startDate;ar-EG;تاريخ البداية
v300-022;leaves.startDate;en-US;Start Date
v300-023;leaves.endDate;ar-EG;تاريخ النهاية
v300-024;leaves.endDate;en-US;End Date
v300-025;leaves.totalDays;ar-EG;إجمالي الأيام
v300-026;leaves.totalDays;en-US;Total Days
v300-027;leaves.reason;ar-EG;سبب الإجازة
v300-028;leaves.reason;en-US;Reason
v300-029;leaves.rejectionReason;ar-EG;سبب الرفض
v300-030;leaves.rejectionReason;en-US;Rejection Reason
v300-031;leaves.approve;ar-EG;اعتماد الإجازة
v300-032;leaves.approve;en-US;Approve Leave
v300-033;leaves.reject;ar-EG;رفض الطلب
v300-034;leaves.reject;en-US;Reject Request
v300-035;leaves.cancel;ar-EG;إلغاء الطلب
v300-036;leaves.cancel;en-US;Cancel Request
v300-037;leaves.statusPending;ar-EG;قيد المراجعة والاعتماد
v300-038;leaves.statusPending;en-US;Pending Approval
v300-039;leaves.statusApproved;ar-EG;معتمد
v300-040;leaves.statusApproved;en-US;Approved
v300-041;leaves.statusRejected;ar-EG;مرفوض
v300-042;leaves.statusRejected;en-US;Rejected
v300-043;leaves.statusCancelled;ar-EG;ملغي
v300-044;leaves.statusCancelled;en-US;Cancelled
v300-045;leaves.entitledDays;ar-EG;الرصيد السنوي
v300-046;leaves.entitledDays;en-US;Entitled Days
v300-047;leaves.carriedOver;ar-EG;مرحل من العام السابق
v300-048;leaves.carriedOver;en-US;Carried Over
v300-049;leaves.usedDays;ar-EG;المستهلك
v300-050;leaves.usedDays;en-US;Used Days
v300-051;leaves.remainingDays;ar-EG;الرصيد المتبقي
v300-052;leaves.remainingDays;en-US;Remaining Days
v300-053;leaves.newType;ar-EG;إضافة نوع إجازة
v300-054;leaves.newType;en-US;Add Leave Type
v300-055;leaves.isPaid;ar-EG;إجازة مدفوعة الأجر
v300-056;leaves.isPaid;en-US;Paid Leave
v300-057;leaves.requiresAttachment;ar-EG;تتطلب إرفاق مستند طبي أو عذر
v300-058;leaves.requiresAttachment;en-US;Requires Attachment
v300-059;leaves.maxConsecutive;ar-EG;الحد الأقصى للأيام المتصلة
v300-060;leaves.maxConsecutive;en-US;Max Consecutive Days
v300-061;leaves.saved;ar-EG;تم تقديم طلب الإجازة بنجاح
v300-062;leaves.saved;en-US;Leave request submitted successfully
v300-063;leaves.approved;ar-EG;تم اعتماد طلب الإجازة وخصم الرصيد بنجاح
v300-064;leaves.approved;en-US;Leave request approved successfully
v300-065;leaves.rejected;ar-EG;تم رفض طلب الإجازة
v300-066;leaves.rejected;en-US;Leave request rejected
v300-067;leaves.cancelled;ar-EG;تم إلغاء طلب الإجازة بنجاح
v300-068;leaves.cancelled;en-US;Leave request cancelled successfully
v300-069;leaves.typeSaved;ar-EG;تم حفظ نوع الإجازة بنجاح
v300-070;leaves.typeSaved;en-US;Leave type saved successfully
v300-071;leaves.insufficientBalance;ar-EG;رصيد الإجازات المتبقي غير كاف لتغطية مدة الطلب
v300-072;leaves.insufficientBalance;en-US;Insufficient leave balance for the requested duration
v300-073;leaves.overlappingRequest;ar-EG;يوجد طلب إجازة آخر مسجل لنفس الفترة الزمنية
v300-074;leaves.overlappingRequest;en-US;There is an overlapping leave request for this period
v300-075;common.nameAr;ar-EG;الاسم بالعربية
v300-076;common.nameAr;en-US;Name (Arabic)
v300-077;common.nameEn;ar-EG;الاسم بالإنجليزية
v300-078;common.nameEn;en-US;Name (English)
