id;key;locale;text
v159-ar-001;banks.currency;ar-EG;العملة
v159-en-001;banks.currency;en-US;Currency
v159-ar-002;banks.glAccount;ar-EG;حساب الأستاذ المرتبط
v159-en-002;banks.glAccount;en-US;Linked GL account
v159-ar-003;banks.selectGlAccount;ar-EG;اختر حساب الأستاذ
v159-en-003;banks.selectGlAccount;en-US;Select GL account
v159-ar-004;banks.reconciliation.accountsTab;ar-EG;الحسابات البنكية
v159-en-004;banks.reconciliation.accountsTab;en-US;Bank accounts
v159-ar-005;banks.reconciliation.asOf;ar-EG;كما في
v159-en-005;banks.reconciliation.asOf;en-US;As of
v159-ar-006;banks.reconciliation.autoMatch;ar-EG;مطابقة تلقائية
v159-en-006;banks.reconciliation.autoMatch;en-US;Auto match
v159-ar-007;banks.reconciliation.balance;ar-EG;الرصيد
v159-en-007;banks.reconciliation.balance;en-US;Balance
v159-ar-008;banks.reconciliation.bankAccount;ar-EG;الحساب البنكي
v159-en-008;banks.reconciliation.bankAccount;en-US;Bank account
v159-ar-009;banks.reconciliation.cashPosition;ar-EG;الموقف النقدي
v159-en-009;banks.reconciliation.cashPosition;en-US;Cash position
v159-ar-010;banks.reconciliation.closing;ar-EG;الرصيد الختامي
v159-en-010;banks.reconciliation.closing;en-US;Closing balance
v159-ar-011;banks.reconciliation.confirmMatch;ar-EG;تأكيد المطابقة
v159-en-011;banks.reconciliation.confirmMatch;en-US;Confirm match
v159-ar-012;banks.reconciliation.csvFile;ar-EG;ملف كشف CSV
v159-en-012;banks.reconciliation.csvFile;en-US;Statement CSV file
v159-ar-013;banks.reconciliation.csvHint;ar-EG;الأعمدة المطلوبة: date وdescription وamount. الاختيارية: valueDate وreference وbalance.
v159-en-013;banks.reconciliation.csvHint;en-US;Required columns: date, description, amount. Optional: valueDate, reference, balance.
v159-ar-014;banks.reconciliation.empty;ar-EG;لا توجد كشوف بنكية مستوردة.
v159-en-014;banks.reconciliation.empty;en-US;No bank statements imported.
v159-ar-015;banks.reconciliation.feeAccount;ar-EG;حساب مصروف الرسوم
v159-en-015;banks.reconciliation.feeAccount;en-US;Fee expense account
v159-ar-016;banks.reconciliation.feeAmount;ar-EG;قيمة الرسوم البنكية
v159-en-016;banks.reconciliation.feeAmount;en-US;Bank fee amount
v159-ar-017;banks.reconciliation.feeOnly;ar-EG;رسوم بنكية فقط
v159-en-017;banks.reconciliation.feeOnly;en-US;Bank fee only
