id;translation_key;locale;text_value
v103-ar-001;common.unsavedTitle;ar-EG;تغييرات غير محفوظة
v103-en-001;common.unsavedTitle;en-US;Unsaved changes
v103-ar-002;common.unsavedMessage;ar-EG;لديك تغييرات غير محفوظة! هل أنت متأكد من رغبتك في الخروج دون حفظ البيانات؟
v103-en-002;common.unsavedMessage;en-US;You have unsaved changes. Are you sure you want to leave without saving them?
v103-ar-003;common.discard;ar-EG;تجاهل التغييرات
v103-en-003;common.discard;en-US;Discard changes
v103-ar-004;journal.selectAccount;ar-EG;اختر حساباً
v103-en-004;journal.selectAccount;en-US;Select an account
v103-ar-005;journal.lineAccountRequired;ar-EG;اختر حساباً لكل بند.
v103-en-005;journal.lineAccountRequired;en-US;Select an account for each line.
v103-ar-006;journal.lineNegativeAmount;ar-EG;لا يمكن أن يكون المبلغ سالباً.
v103-en-006;journal.lineNegativeAmount;en-US;Amounts cannot be negative.
v103-ar-007;journal.lineEmptyAmount;ar-EG;أدخل مديناً أو دائناً أكبر من صفر.
v103-en-007;journal.lineEmptyAmount;en-US;Enter a debit or credit greater than zero.
v103-ar-008;journal.lineValidationError;ar-EG;راجع أخطاء بنود القيد أدناه.
v103-en-008;journal.lineValidationError;en-US;Review the journal line errors below.
v103-ar-009;procurement.invoiceDiscountExceedsTotal;ar-EG;لا يمكن أن يتجاوز الخصم إجمالي الفاتورة.
v103-en-009;procurement.invoiceDiscountExceedsTotal;en-US;The discount cannot exceed the invoice total.
v103-ar-010;procurement.issuePo.confirmTitle;ar-EG;تأكيد إصدار أمر الشراء
v103-en-010;procurement.issuePo.confirmTitle;en-US;Confirm purchase order issue
v103-ar-011;procurement.issuePo.confirmMessage;ar-EG;سيتم إصدار أمر الشراء {number} وإرساله للمورد.
v103-en-011;procurement.issuePo.confirmMessage;en-US;Issue purchase order {number} and send it to the supplier?
v103-ar-012;procurement.issuePo.confirm;ar-EG;إصدار
v103-en-012;procurement.issuePo.confirm;en-US;Issue
v103-ar-013;procurement.issuePo.success;ar-EG;تم إصدار أمر الشراء للمورد
v103-en-013;procurement.issuePo.success;en-US;Purchase order issued to the supplier
v103-ar-014;procurement.cancelPo.confirmTitle;ar-EG;تأكيد إلغاء أمر الشراء
v103-en-014;procurement.cancelPo.confirmTitle;en-US;Confirm purchase order cancellation
v103-ar-015;procurement.cancelPo.confirmMessage;ar-EG;سيتم إلغاء أمر الشراء {number}.
v103-en-015;procurement.cancelPo.confirmMessage;en-US;Cancel purchase order {number}?
v103-ar-016;procurement.cancelPo.confirm;ar-EG;إلغاء
v103-en-016;procurement.cancelPo.confirm;en-US;Cancel order
v103-ar-017;procurement.cancelPo.dangerMessage;ar-EG;الإلغاء نهائي ولا يمكن التراجع عنه.
v103-en-017;procurement.cancelPo.dangerMessage;en-US;Cancellation is final and cannot be undone.
v103-ar-018;procurement.cancelPo.success;ar-EG;تم إلغاء أمر الشراء
v103-en-018;procurement.cancelPo.success;en-US;Purchase order cancelled
v103-ar-019;procurement.poNumber;ar-EG;رقم أمر الشراء
v103-en-019;procurement.poNumber;en-US;Purchase order number
v103-ar-020;procurement.poSupplier;ar-EG;المورد
v103-en-020;procurement.poSupplier;en-US;Supplier
v103-ar-021;procurement.poTotal;ar-EG;الإجمالي
v103-en-021;procurement.poTotal;en-US;Total
v103-ar-022;procurement.poAtLeastOneLine;ar-EG;يجب وجود بند شراء واحد على الأقل
v103-en-022;procurement.poAtLeastOneLine;en-US;At least one purchase order line is required
v103-ar-023;procurement.poInvalidLineWarning;ar-EG;اختر صنف مخزون وأدخل كمية وسعراً صحيحين لكل بند
v103-en-023;procurement.poInvalidLineWarning;en-US;Select an inventory item and enter a valid quantity and price for each line
v103-ar-024;procurement.rateOverrideReasonRequired;ar-EG;اكتب سبب تعديل سعر الصرف يدوياً.
v103-en-024;procurement.rateOverrideReasonRequired;en-US;Enter a reason for the manual exchange rate override.
v103-ar-025;procurement.poUpdateSuccess;ar-EG;تم تعديل أمر الشراء بنجاح ✓
v103-en-025;procurement.poUpdateSuccess;en-US;Purchase order updated successfully ✓
v103-ar-026;procurement.poCreateSuccess;ar-EG;تم إنشاء أمر الشراء بنجاح ✓
v103-en-026;procurement.poCreateSuccess;en-US;Purchase order created successfully ✓
v103-ar-027;procurement.poCreateFail;ar-EG;فشل إنشاء أمر الشراء: 
v103-en-027;procurement.poCreateFail;en-US;Failed to create the purchase order: 
v103-ar-028;procurement.grnLineDeliveredPositive;ar-EG;أدخل كمية مستلمة أكبر من صفر.
v103-en-028;procurement.grnLineDeliveredPositive;en-US;Enter a delivered quantity greater than zero.
v103-ar-029;procurement.grnLineRejectedNonNegative;ar-EG;الكمية المرفوضة لا يمكن أن تكون سالبة.
v103-en-029;procurement.grnLineRejectedNonNegative;en-US;The rejected quantity cannot be negative.
v103-ar-030;procurement.grnLineDeductedNonNegative;ar-EG;الكمية المخصومة لا يمكن أن تكون سالبة.
v103-en-030;procurement.grnLineDeductedNonNegative;en-US;The deducted quantity cannot be negative.
v103-ar-031;procurement.grnLineRejectedDeductedExceed;ar-EG;المرفوض والمخصوم أكبر من الكمية المستلمة.
v103-en-031;procurement.grnLineRejectedDeductedExceed;en-US;Rejected and deducted exceed the delivered quantity.
v103-ar-032;procurement.grnLineAcceptedExceedsRemaining;ar-EG;الكمية المقبولة تتجاوز المتبقي ({remaining} {uom}).
v103-en-032;procurement.grnLineAcceptedExceedsRemaining;en-US;The accepted quantity exceeds the remaining ({remaining} {uom}).
v103-ar-033;procurement.grnRequiredFields;ar-EG;أكمل الحقول المطلوبة قبل تسجيل إذن الاستلام.
v103-en-033;procurement.grnRequiredFields;en-US;Complete the required fields before registering the goods receipt.
v103-ar-034;procurement.grnQuantityErrors;ar-EG;راجع أخطاء الكميات الموضحة أسفل الحقول قبل التسجيل.
v103-en-034;procurement.grnQuantityErrors;en-US;Review the quantity errors shown below the fields before registering.
v103-ar-035;procurement.grnSuccess;ar-EG;تم تسجيل إذن الاستلام رقم {number} وإضافة الكمية المقبولة للمخزن بنجاح.
v103-en-035;procurement.grnSuccess;en-US;Goods receipt {number} registered and the accepted quantity added to the warehouse.
v103-ar-036;procurement.grnFail;ar-EG;تعذر تسجيل إذن الاستلام. 
v103-en-036;procurement.grnFail;en-US;Failed to register the goods receipt. 
v103-ar-037;procurement.invoiceMissingNumber;ar-EG;أدخل رقم فاتورة المورد، أو اختر «لا توجد فاتورة من المورد».
v103-en-037;procurement.invoiceMissingNumber;en-US;Enter the supplier invoice number, or choose "No supplier invoice".
v103-ar-038;procurement.invoiceMissingReference;ar-EG;أدخل المرجع الداخلي وسبب عدم وجود فاتورة المورد.
v103-en-038;procurement.invoiceMissingReference;en-US;Enter the internal reference and the reason for the missing supplier invoice.
v103-ar-039;procurement.invoiceSaveSuccess;ar-EG;تم تسجيل فاتورة المورد بنجاح ✓
v103-en-039;procurement.invoiceSaveSuccess;en-US;Supplier invoice registered successfully ✓
v103-ar-040;procurement.invoiceSaveFail;ar-EG;فشل تسجيل الفاتورة: 
v103-en-040;procurement.invoiceSaveFail;en-US;Failed to register the invoice: 
v103-ar-041;procurement.paymentInvoiceChanged;ar-EG;تم إلغاء اختيار الفاتورة السابقة لأنها لا تخص المورد المحدد.
v103-en-041;procurement.paymentInvoiceChanged;en-US;The previously selected invoice was cleared because it does not belong to the selected supplier.
v103-ar-042;procurement.paymentSelectOpenInvoice;ar-EG;اختر فاتورة مفتوحة تخص المورد المحدد.
v103-en-042;procurement.paymentSelectOpenInvoice;en-US;Select an open invoice belonging to the selected supplier.
v103-ar-043;procurement.paymentExceedsOutstanding;ar-EG;المبلغ يتجاوز الرصيد المتبقي {outstanding} {currency}.
v103-en-043;procurement.paymentExceedsOutstanding;en-US;The amount exceeds the outstanding balance {outstanding} {currency}.
v103-ar-044;procurement.paymentSaveSuccess;ar-EG;تم تسجيل دفعة المورد بنجاح ✓
v103-en-044;procurement.paymentSaveSuccess;en-US;Supplier payment registered successfully ✓
v103-ar-045;procurement.paymentSaveFail;ar-EG;فشل تسجيل الدفعة: 
v103-en-045;procurement.paymentSaveFail;en-US;Failed to register the payment: 
v103-ar-046;procurement.poStatus.draft;ar-EG;مسودة
v103-en-046;procurement.poStatus.draft;en-US;Draft
v103-ar-047;procurement.poStatus.issued;ar-EG;صادر
v103-en-047;procurement.poStatus.issued;en-US;Issued
v103-ar-048;procurement.poStatus.partiallyReceived;ar-EG;استلام جزئي
v103-en-048;procurement.poStatus.partiallyReceived;en-US;Partially received
v103-ar-049;procurement.poStatus.received;ar-EG;مستلم بالكامل
v103-en-049;procurement.poStatus.received;en-US;Received
v103-ar-050;procurement.poStatus.cancelled;ar-EG;ملغي
v103-en-050;procurement.poStatus.cancelled;en-US;Cancelled
v103-ar-051;procurement.colPoNumber;ar-EG;رقم أمر الشراء
v103-en-051;procurement.colPoNumber;en-US;Purchase Order Number
v103-ar-052;procurement.colPoDate;ar-EG;تاريخ الأمر
v103-en-052;procurement.colPoDate;en-US;Order Date
v103-ar-053;procurement.colSupplier;ar-EG;المورد
v103-en-053;procurement.colSupplier;en-US;Supplier
v103-ar-054;procurement.colPaymentTerms;ar-EG;شروط الدفع
v103-en-054;procurement.colPaymentTerms;en-US;Payment Terms
v103-ar-055;procurement.colTotal;ar-EG;الإجمالي
v103-en-055;procurement.colTotal;en-US;Total
v103-ar-056;procurement.colStatus;ar-EG;الحالة
v103-en-056;procurement.colStatus;en-US;Status
v103-ar-057;procurement.colGrnNumber;ar-EG;رقم الإذن
v103-en-057;procurement.colGrnNumber;en-US;GRN Number
v103-ar-058;procurement.colReceiptDate;ar-EG;تاريخ الاستلام
v103-en-058;procurement.colReceiptDate;en-US;Receipt Date
v103-ar-059;procurement.colNotes;ar-EG;ملاحظات
v103-en-059;procurement.colNotes;en-US;Notes
v103-ar-060;procurement.colInvoiceNumber;ar-EG;رقم الفاتورة
v103-en-060;procurement.colInvoiceNumber;en-US;Invoice Number
v103-ar-061;procurement.colNetAmount;ar-EG;الصافي
v103-en-061;procurement.colNetAmount;en-US;Net Amount
v103-ar-062;procurement.colPaymentNumber;ar-EG;رقم الدفعة
v103-en-062;procurement.colPaymentNumber;en-US;Payment Number
v103-ar-063;procurement.colPaymentDate;ar-EG;تاريخ الدفع
v103-en-063;procurement.colPaymentDate;en-US;Payment Date
v103-ar-064;procurement.colAmount;ar-EG;المبلغ
v103-en-064;procurement.colAmount;en-US;Amount
v103-ar-065;procurement.colPaymentMethod;ar-EG;طريقة الدفع
v103-en-065;procurement.colPaymentMethod;en-US;Payment Method
v103-ar-066;procurement.eyebrow;ar-EG;دورة المشتريات
v103-en-066;procurement.eyebrow;en-US;Procurement Cycle
v103-ar-067;procurement.title;ar-EG;المشتريات والفواتير والمدفوعات
v103-en-067;procurement.title;en-US;Procurement, Invoices & Payments
