id;translation_key;locale;text_value
v153-ar-001;translations.menu;ar-EG;إدارة الترجمات
v153-en-001;translations.menu;en-US;Translation management
v153-ar-002;translations.title;ar-EG;إدارة الترجمات
v153-en-002;translations.title;en-US;Translation management
v153-ar-003;translations.description;ar-EG;عدّل النص الافتراضي للمنصة أو أنشئ ترجمة خاصة بتطبيق محدد.
v153-en-003;translations.description;en-US;Edit the platform default text or create a translation for a specific application.
v153-ar-004;translations.language;ar-EG;اللغة
v153-en-004;translations.language;en-US;Language
v153-ar-005;translations.scope;ar-EG;نطاق الترجمة
v153-en-005;translations.scope;en-US;Translation scope
v153-ar-006;translations.defaultScope;ar-EG;الترجمة الافتراضية لكل التطبيقات
v153-en-006;translations.defaultScope;en-US;Default translation for all applications
v153-ar-007;translations.searchPlaceholder;ar-EG;ابحث بالمفتاح أو النص
v153-en-007;translations.searchPlaceholder;en-US;Search by key or text
v153-ar-008;translations.newValue;ar-EG;نص الترجمة
v153-en-008;translations.newValue;en-US;Translation text
v153-ar-009;translations.add;ar-EG;إضافة مفتاح
v153-en-009;translations.add;en-US;Add key
v153-ar-010;translations.overrideHint;ar-EG;النص الخاص بالتطبيق له الأولوية، وإذا لم يوجد فسيُعرض النص الافتراضي تلقائيًا.
v153-en-010;translations.overrideHint;en-US;The application text takes priority. When it is missing, the default text is shown automatically.
v153-ar-011;translations.custom;ar-EG;مخصصة
v153-en-011;translations.custom;en-US;Custom
v153-ar-012;translations.defaultValue;ar-EG;الافتراضي
v153-en-012;translations.defaultValue;en-US;Default
v153-ar-013;translations.restoreDefault;ar-EG;العودة للافتراضي
v153-en-013;translations.restoreDefault;en-US;Restore default
v153-ar-014;translations.restored;ar-EG;تمت العودة إلى الترجمة الافتراضية
v153-en-014;translations.restored;en-US;The default translation was restored
v153-ar-015;translations.saved;ar-EG;تم حفظ الترجمة
v153-en-015;translations.saved;en-US;Translation saved
v153-ar-016;translations.empty;ar-EG;لا توجد نتائج
v153-en-016;translations.empty;en-US;No results found
v153-ar-017;I18N_APP_NOT_FOUND;ar-EG;التطبيق المطلوب غير موجود.
v153-en-017;I18N_APP_NOT_FOUND;en-US;The requested application was not found.
v153-ar-018;I18N_DEFAULT_DELETE_NOT_ALLOWED;ar-EG;لا يمكن حذف الترجمة الافتراضية. يمكن تعديلها فقط.
v153-en-018;I18N_DEFAULT_DELETE_NOT_ALLOWED;en-US;The default translation cannot be deleted. It can only be edited.
v153-ar-019;I18N_INVALID_KEY;ar-EG;يجب أن يستخدم مفتاح الترجمة الحروف أو الأرقام أو النقاط أو الشرطات فقط وألا يتجاوز 150 حرفًا.
v153-en-019;I18N_INVALID_KEY;en-US;The translation key must use letters, numbers, dots, underscores or hyphens and not exceed 150 characters.
v153-ar-020;I18N_TEXT_REQUIRED;ar-EG;نص الترجمة مطلوب.
v153-en-020;I18N_TEXT_REQUIRED;en-US;Translation text is required.
v153-ar-021;common.search;ar-EG;بحث
v153-en-021;common.search;en-US;Search
