id;key;locale;value
v245-001;error.invalidValue;en-US;Invalid value
v245-002;error.invalidValue;ar-EG;قيمة غير صالحة
v245-003;error.requestFailed;en-US;The request could not be completed
v245-004;error.requestFailed;ar-EG;تعذر إكمال الطلب
v245-005;sales.ar.statusDraft;en-US;Draft
v245-006;sales.ar.statusDraft;ar-EG;مسودة
v245-007;sales.ar.statusOpen;en-US;Open
v245-008;sales.ar.statusOpen;ar-EG;مفتوحة
v245-009;sales.ar.statusPartiallyPaid;en-US;Partially paid
v245-010;sales.ar.statusPartiallyPaid;ar-EG;مدفوعة جزئياً
v245-011;sales.ar.statusPaid;en-US;Paid
v245-012;sales.ar.statusPaid;ar-EG;مدفوعة
v245-013;sales.ar.statusCancelled;en-US;Cancelled
v245-014;sales.ar.statusCancelled;ar-EG;ملغاة
v245-015;sales.ar.statusContacted;en-US;Contacted
v245-016;sales.ar.statusContacted;ar-EG;تم التواصل
v245-017;sales.ar.statusClosed;en-US;Closed
v245-018;sales.ar.statusClosed;ar-EG;مغلقة
v245-019;sales.ar.statusUnknown;en-US;Unknown
v245-020;sales.ar.statusUnknown;ar-EG;غير معروفة
v245-021;common.saving;en-US;Saving...
v245-022;common.saving;ar-EG;جارٍ الحفظ...
v245-023;translations.key;en-US;Key
v245-024;translations.key;ar-EG;المفتاح
v245-025;translations.keys;en-US;keys
v245-026;translations.keys;ar-EG;مفتاح
v245-027;translations.value;en-US;Translation
v245-028;translations.value;ar-EG;الترجمة
