id;translation_key;locale;text_value
v323-001;workforce.projectAllocation;ar-EG;تخصيص المشروع والموقع
v323-002;workforce.projectAllocation;en-US;Project & Site Allocation
v323-003;workforce.projectAllocationHint;ar-EG;ربط طلبات العمالة والتسويات بالمشاريع وعناصر هيكل العمل
v323-004;workforce.projectAllocationHint;en-US;Link labor requests and settlements to projects and WBS elements
v323-005;workforce.siteLocation;ar-EG;موقع العمل الميداني
v323-006;workforce.siteLocation;en-US;Site Location
v323-007;workforce.projectLaborCost;ar-EG;تكاليف عمالة المشروع
v323-008;workforce.projectLaborCost;en-US;Project Labor Costs
v323-009;workforce.splitProjectWarning;ar-EG;تم تقسيم عمل العامل على أكثر من مشروع خلال الفترة
v323-010;workforce.splitProjectWarning;en-US;Worker activity split across multiple projects in period
v323-011;workforce.projectSettlementReconciliation;ar-EG;تسوية تكاليف عمالة المقاولين مع المشاريع
v323-012;workforce.projectSettlementReconciliation;en-US;Contractor Labor & Project Cost Reconciliation
v323-013;workforce.laborCostSummary;ar-EG;ملخص تكلفة العمالة للمشروع
v323-014;workforce.laborCostSummary;en-US;Project Labor Cost Summary
v323-015;workforce.allProjects;ar-EG;كافة المشاريع
v323-016;workforce.allProjects;en-US;All Projects
v323-017;workforce.wbsElement;ar-EG;عنصر هيكل العمل (WBS)
v323-018;workforce.wbsElement;en-US;WBS Element
v323-019;workforce.costCode;ar-EG;رمز التكلفة
v323-020;workforce.costCode;en-US;Cost Code
