id;message_key;locale;message_value;description
v427-001;BED_NOT_FOUND;ar-EG;السرير الطبي غير موجود;
v427-002;BED_NOT_FOUND;en-US;Hospital bed not found;
v427-003;BED_NOT_FREE;ar-EG;السرير المطلوب مشغول أو تحت الصيانة حالياً;
v427-004;BED_NOT_FREE;en-US;Hospital bed is occupied or under maintenance;
v427-005;ADMISSION_NOT_FOUND;ar-EG;سجل التنويم / الإقامة بالمستشفى غير موجود;
v427-006;ADMISSION_NOT_FOUND;en-US;Hospital admission record not found;
v427-007;ADMISSION_ALREADY_OPEN;ar-EG;المريض لديه بالفعل إقامة مفتوحة حالياً بالمستشفى;
v427-008;ADMISSION_ALREADY_OPEN;en-US;Patient already has an active open admission;
v427-009;ADMISSION_ALREADY_DISCHARGED;ar-EG;تم خروج المريض بالفعل من المستشفى;
v427-010;ADMISSION_ALREADY_DISCHARGED;en-US;Patient has already been discharged;
v427-011;DISCHARGE_SUMMARY_REQUIRED;ar-EG;ملخص الخروج الطبي إلزامي ولا يقل عن 20 حرفاً;
v427-012;DISCHARGE_SUMMARY_REQUIRED;en-US;Discharge medical summary is required (minimum 20 characters);
v427-013;OT_SCHEDULE_NOT_FOUND;ar-EG;جدول العملية الجراحية غير موجود;
v427-014;OT_SCHEDULE_NOT_FOUND;en-US;Operating theater schedule not found;
v427-015;MAR_ENTRY_NOT_FOUND;ar-EG;جرعة الدواء التمريضية غير مسجلة;
v427-016;MAR_ENTRY_NOT_FOUND;en-US;Medication administration record entry not found;
v427-017;MAR_INVALID_STATUS_TRANSITION;ar-EG;لا يمكن تغيير حالة الجرعة المعطاة مسبقاً;
v427-018;MAR_INVALID_STATUS_TRANSITION;en-US;Cannot change status of already administered dose;
v427-019;nav.hospitalOps;ar-EG;إدارة المستشفيات والتنويم;
v427-020;nav.hospitalOps;en-US;Hospital Ops & Inpatient;
v427-021;nav.hospitalOpsHint;ar-EG;إدارة الأسرة والتنويم (ADT)، العمليات الجراحية (OT)، وسجلات التمريض (MAR);
v427-022;nav.hospitalOpsHint;en-US;Manage beds and ADT, operating theater schedules, and nursing MAR records;
v427-023;hospital.title;ar-EG;إدارة المستشفى والتنويم الداخلي;
v427-024;hospital.title;en-US;Hospital Operations & Inpatient;
v427-025;hospital.subtitle;ar-EG;لوحة الأسرة الحية، حركة الدخول والتحويل والخروج (ADT)، جدول العمليات الجراحية، وسجلات التمريض;
v427-026;hospital.subtitle;en-US;Live bed board, ADT movements, operating theater schedules, and nursing MAR/IO flows;
v427-027;hospital.tabBeds;ar-EG;لوحة الأسرة والغرف;
v427-028;hospital.tabBeds;en-US;Live Bed Board;
v427-029;hospital.tabAdmissions;ar-EG;المرضى المنومين;
v427-030;hospital.tabAdmissions;en-US;Inpatient Admissions;
v427-031;hospital.tabOt;ar-EG;غرفة العمليات الجراحية;
v427-032;hospital.tabOt;en-US;Operating Theater;
v427-033;hospital.wardName;ar-EG;اسم الجناح / القسم;
v427-034;hospital.wardName;en-US;Ward Name;
v427-035;hospital.roomNumber;ar-EG;رقم الغرفة;
v427-036;hospital.roomNumber;en-US;Room Number;
v427-037;hospital.roomType;ar-EG;نوع الغرفة;
v427-038;hospital.roomType;en-US;Room Type;
v427-039;hospital.bedNumber;ar-EG;رقم السرير;
v427-040;hospital.bedNumber;en-US;Bed Number;
v427-041;hospital.admitPatient;ar-EG;تنويم مريض;
v427-042;hospital.admitPatient;en-US;Admit Patient;
v427-043;hospital.transferPatient;ar-EG;تحويل لسرير آخر;
v427-044;hospital.transferPatient;en-US;Transfer Bed;
v427-045;hospital.dischargePatient;ar-EG;خروج المريض;
v427-046;hospital.dischargePatient;en-US;Discharge Patient;
v427-047;hospital.dischargeSummary;ar-EG;ملخص الخروج والتقرير الطبي;
v427-048;hospital.dischargeSummary;en-US;Discharge Summary & Report;
v427-049;hospital.occupancyRate;ar-EG;نسبة الإشغال;
v427-050;hospital.occupancyRate;en-US;Occupancy Rate;
