id;translation_key;locale;text_value
v249-001-en;dataExchange.eyebrow;en-US;Excel data exchange
v249-002-ar;dataExchange.eyebrow;ar-EG;تبادل البيانات عبر Excel
v249-003-en;dataExchange.title;en-US;Import templates & validation center
v249-004-ar;dataExchange.title;ar-EG;مركز قوالب الاستيراد والتحقق
v249-005-en;dataExchange.subtitle;en-US;Download governed templates, validate files before commit, and produce an annotated rejected-row workbook.
v249-006-ar;dataExchange.subtitle;ar-EG;نزّل القوالب المعتمدة، وتحقق من الملفات قبل التنفيذ، وأنشئ ملفًا موضحًا بالصفوف المرفوضة.
v249-007-en;dataExchange.templates;en-US;templates
v249-008-ar;dataExchange.templates;ar-EG;قوالب
v249-009-en;dataExchange.search;en-US;Search
v249-010-ar;dataExchange.search;ar-EG;بحث
v249-011-en;dataExchange.search.placeholder;en-US;Template, module or route
v249-012-ar;dataExchange.search.placeholder;ar-EG;القالب أو الوحدة أو المسار
v249-013-en;dataExchange.module;en-US;Module
v249-014-ar;dataExchange.module;ar-EG;الوحدة
v249-015-en;dataExchange.module.all;en-US;All modules
v249-016-ar;dataExchange.module.all;ar-EG;كل الوحدات
v249-017-en;dataExchange.empty;en-US;No templates match this filter.
v249-018-ar;dataExchange.empty;ar-EG;لا توجد قوالب مطابقة للتصفية الحالية.
v249-019-en;dataExchange.openWorkspace;en-US;Open workspace
v249-020-ar;dataExchange.openWorkspace;ar-EG;فتح مساحة العمل
v249-021-en;dataExchange.step1;en-US;Download template
v249-022-ar;dataExchange.step1;ar-EG;تنزيل القالب
v249-023-en;dataExchange.blankTemplate;en-US;Blank .xlsx
v249-024-ar;dataExchange.blankTemplate;ar-EG;قالب فارغ .xlsx
v249-025-en;dataExchange.sampleTemplate;en-US;Sample .xlsx
v249-026-ar;dataExchange.sampleTemplate;ar-EG;قالب مع بيانات مثال .xlsx
v249-027-en;dataExchange.columns;en-US;columns
v249-028-ar;dataExchange.columns;ar-EG;أعمدة
v249-029-en;dataExchange.step2;en-US;Upload & parse
v249-030-ar;dataExchange.step2;ar-EG;رفع الملف وتحليله
v249-031-en;dataExchange.chooseFile;en-US;Choose an Excel file
v249-032-ar;dataExchange.chooseFile;ar-EG;اختر ملف Excel
v249-033-en;dataExchange.fileHint;en-US;.xlsx / .xls, maximum 10 MB
v249-034-ar;dataExchange.fileHint;ar-EG;.xlsx / .xls بحد أقصى 10 ميجابايت
v249-035-en;dataExchange.validate;en-US;Validate workbook
v249-036-ar;dataExchange.validate;ar-EG;التحقق من الملف
v249-037-en;dataExchange.validating;en-US;Validating…
v249-038-ar;dataExchange.validating;ar-EG;جارٍ التحقق…
v249-039-en;dataExchange.step3;en-US;Pre-commit validation preview
v249-040-ar;dataExchange.step3;ar-EG;معاينة التحقق قبل التنفيذ
v249-041-en;dataExchange.rows;en-US;rows
v249-042-ar;dataExchange.rows;ar-EG;صفوف
v249-043-en;dataExchange.validRows;en-US;valid
v249-044-ar;dataExchange.validRows;ar-EG;صحيح
v249-045-en;dataExchange.invalidRows;en-US;invalid
v249-046-ar;dataExchange.invalidRows;ar-EG;غير صحيح
v249-047-en;dataExchange.row;en-US;Row
v249-048-ar;dataExchange.row;ar-EG;الصف
v249-049-en;dataExchange.errors;en-US;Errors
v249-050-ar;dataExchange.errors;ar-EG;الأخطاء
v249-051-en;dataExchange.previewHint;en-US;Validation results will appear here before any business data is changed.
v249-052-ar;dataExchange.previewHint;ar-EG;ستظهر نتائج التحقق هنا قبل تغيير أي بيانات أعمال.
v249-053-en;dataExchange.step4;en-US;Commit strategy
v249-054-ar;dataExchange.step4;ar-EG;استراتيجية التنفيذ
v249-055-en;dataExchange.rollbackAll;en-US;Rollback the entire batch on any error
v249-056-ar;dataExchange.rollbackAll;ar-EG;التراجع عن الدفعة بالكامل عند وجود أي خطأ
v249-057-en;dataExchange.skipInvalid;en-US;Skip invalid rows and import valid rows only
v249-058-ar;dataExchange.skipInvalid;ar-EG;تخطي الصفوف غير الصحيحة واستيراد الصفوف الصحيحة فقط
v249-059-en;dataExchange.commitGuard;en-US;Validation is reusable. Final commit stays disabled until this module is wired to its existing authoritative business service, so the import cannot bypass accounting, inventory, payroll or approval rules.
v249-060-ar;dataExchange.commitGuard;ar-EG;التحقق قابل لإعادة الاستخدام. يظل التنفيذ النهائي معطلاً حتى ربط الوحدة بخدمة الأعمال الأساسية الحالية، لمنع الاستيراد من تجاوز قواعد المحاسبة أو المخزون أو الرواتب أو الاعتمادات.
v249-061-en;dataExchange.step5;en-US;Rejected-row workbook
v249-062-ar;dataExchange.step5;ar-EG;ملف الصفوف المرفوضة
v249-063-en;dataExchange.errorWorkbookHint;en-US;Download only rejected rows with invalid cells highlighted and comments explaining each error.
v249-064-ar;dataExchange.errorWorkbookHint;ar-EG;نزّل الصفوف المرفوضة فقط مع تمييز الخلايا غير الصحيحة وتعليقات توضح كل خطأ.
v249-065-en;dataExchange.downloadErrors;en-US;Download errors .xlsx
v249-066-ar;dataExchange.downloadErrors;ar-EG;تنزيل أخطاء .xlsx
v249-067-en;dataExchange.error.catalog;en-US;Could not load the Excel template catalog.
v249-068-ar;dataExchange.error.catalog;ar-EG;تعذر تحميل كتالوج قوالب Excel.
v249-069-en;dataExchange.error.type;en-US;Choose an .xlsx or .xls file.
v249-070-ar;dataExchange.error.type;ar-EG;اختر ملفًا بصيغة .xlsx أو .xls.
v249-071-en;dataExchange.error.size;en-US;Excel files are limited to 10 MB.
v249-072-ar;dataExchange.error.size;ar-EG;الحد الأقصى لملفات Excel هو 10 ميجابايت.
v249-073-en;dataExchange.error.download;en-US;Could not download the Excel template.
v249-074-ar;dataExchange.error.download;ar-EG;تعذر تنزيل قالب Excel.
v249-075-en;dataExchange.error.validate;en-US;Could not validate the workbook.
v249-076-ar;dataExchange.error.validate;ar-EG;تعذر التحقق من ملف Excel.
v249-077-en;dataExchange.error.errorWorkbook;en-US;Could not generate the rejected-row workbook.
v249-078-ar;dataExchange.error.errorWorkbook;ar-EG;تعذر إنشاء ملف الصفوف المرفوضة.
v249-079-en;enterpriseTable.export;en-US;Export
v249-080-ar;enterpriseTable.export;ar-EG;تصدير
v249-081-en;enterpriseTable.columns;en-US;Columns
v249-082-ar;enterpriseTable.columns;ar-EG;الأعمدة
v249-083-en;enterpriseTable.savedFilters;en-US;Saved filters
v249-084-ar;enterpriseTable.savedFilters;ar-EG;عروض التصفية المحفوظة
v249-085-en;enterpriseTable.selected;en-US;selected
v249-086-ar;enterpriseTable.selected;ar-EG;محدد
v249-087-en;enterpriseTable.exportCurrent;en-US;Export current view
v249-088-ar;enterpriseTable.exportCurrent;ar-EG;تصدير العرض الحالي
v249-089-en;enterpriseTable.exportAll;en-US;Export all records
v249-090-ar;enterpriseTable.exportAll;ar-EG;تصدير كل السجلات
v249-091-en;enterpriseTable.exportSelected;en-US;Export selected rows
v249-092-ar;enterpriseTable.exportSelected;ar-EG;تصدير الصفوف المحددة
v249-093-en;enterpriseTable.exportSummary;en-US;Export summary / matrix
v249-094-ar;enterpriseTable.exportSummary;ar-EG;تصدير الملخص / المصفوفة
v249-095-en;enterpriseTable.exportAllUnavailable;en-US;Export All requires the page to provide the full filtered dataset or a server export endpoint.
v249-096-ar;enterpriseTable.exportAllUnavailable;ar-EG;يتطلب تصدير كل السجلات أن توفر الصفحة كامل البيانات المصفاة أو نقطة تصدير من الخادم.
v249-097-en;enterpriseTable.exportFailed;en-US;Could not generate the Excel export.
v249-098-ar;enterpriseTable.exportFailed;ar-EG;تعذر إنشاء ملف Excel للتصدير.
v249-099-en;enterpriseTable.presetName;en-US;Filter view name
v249-100-ar;enterpriseTable.presetName;ar-EG;اسم عرض التصفية
