id;translation_key;locale;text_value
v118-001;journal.lineOneSideOnly;ar-EG;"لا يمكن أن يكون للبند مدين ودائن معاً."
v118-002;journal.lineOneSideOnly;en-US;"A line cannot have both a debit and a credit."
v118-003;journal.numberAutoGenerated;ar-EG;"يُعيّن تلقائياً"
v118-004;journal.numberAutoGenerated;en-US;"Auto-generated"
v118-005;journal.numberAutoHint;ar-EG;"سيتم تعيين رقم القيد تلقائياً عند الحفظ."
v118-006;journal.numberAutoHint;en-US;"The next journal number is assigned automatically on save."
v118-007;settings.documentNumberingTitle;ar-EG;"ترقيم المستندات"
v118-008;settings.documentNumberingTitle;en-US;"Document numbering"
v118-009;settings.documentNumberingAutomatic;ar-EG;"ترقيم تلقائي للمستندات"
v118-010;settings.documentNumberingAutomatic;en-US;"Automatic document numbering"
v118-011;settings.documentNumberingHint;ar-EG;"تُعيّن أرقام المستندات تلقائياً ولا يمكن تعديلها يدوياً."
v118-012;settings.documentNumberingHint;en-US;"Document numbers are assigned automatically and cannot be overridden."
