id;translation_key;locale;text_value
x52-001;appShell.addFavoriteTooltip;ar-EG;"إضافة للمفضلة"
x52-002;appShell.addFavoriteTooltip;en-US;"Add to favorites"
x52-003;appShell.favoriteTooltip;ar-EG;"إزالة من المفضلة"
x52-004;appShell.favoriteTooltip;en-US;"Remove from favorites"
x52-005;appShell.offlineBanner;ar-EG;"⚡ <strong>تنبيه انقطاع الاتصال (Offline Mode):</strong> أنت تعمل حالياً دون اتصال بالشبكة، سيعاد التزامن فور عودة الاتصال."
x52-006;appShell.offlineBanner;en-US;"⚡ <strong>Offline Mode:</strong> You are currently offline. Synchronization will resume when connection is restored."
x52-007;appShell.pinFavoriteTooltip;ar-EG;"تثبيت بالمفضلة"
x52-008;appShell.pinFavoriteTooltip;en-US;"Pin to favorites"
x52-009;appShell.searchPlaceholder;ar-EG;"🔍 بحث سريع بالمناطق والوظائف (Ctrl+K)..."
x52-010;appShell.searchPlaceholder;en-US;"🔍 Quick search by area or function (Ctrl+K)..."
x52-011;audit.colAction;ar-EG;"العملية (Action)"
x52-012;audit.colAction;en-US;"Action"
x52-013;audit.colDetails;ar-EG;"تفاصيل التغيير (JSON)"
x52-014;audit.colDetails;en-US;"Details (JSON)"
x52-015;audit.colEntityId;ar-EG;"معرف الكيان"
x52-016;audit.colEntityId;en-US;"Entity ID"
x52-017;audit.colEntityType;ar-EG;"نوع الكيان (Entity Type)"
x52-018;audit.colEntityType;en-US;"Entity Type"
x52-019;audit.colTimestamp;ar-EG;"تاريخ ووقت الحركة"
x52-020;audit.colTimestamp;en-US;"Timestamp"
x52-021;audit.colUser;ar-EG;"المستخدم (User)"
x52-022;audit.colUser;en-US;"User"
x52-023;audit.description;ar-EG;"تسجيل غير قابل للتعديل لجميع العمليات الحساسة والمستندات والتغييرات بالمنظومة."
x52-024;audit.description;en-US;"Immutable record of all sensitive operations, documents, and system changes."
x52-025;audit.empty;ar-EG;"لا توجد سجلات تدقيق مسجلة بعد."
x52-026;audit.empty;en-US;"No audit records yet."
x52-027;audit.eyebrow;ar-EG;"سجل التتبع والرقابة (System Audit Trail)"
x52-028;audit.eyebrow;en-US;"System Audit Trail"
x52-029;audit.title;ar-EG;"سجل التتبع والتدقيق للعمليات (Audit Logs)"
x52-030;audit.title;en-US;"Audit Logs"
x52-031;categories.endTime;ar-EG;"وقت الانتهاء"
x52-032;categories.endTime;en-US;"End Time"
x52-033;categories.scope;ar-EG;"النطاق"
x52-034;categories.scope;en-US;"Scope"
x52-035;categories.scopeAll;ar-EG;"جميع الموظفين"
x52-036;categories.scopeAll;en-US;"All Employees"
x52-037;categories.scopeCategory;ar-EG;"فئة محددة"
x52-038;categories.scopeCategory;en-US;"Specific Category"
x52-039;categories.scopeCategoryId;ar-EG;"الفئة المستهدفة"
x52-040;categories.scopeCategoryId;en-US;"Target Category"
x52-041;common.all;ar-EG;"الكل"
x52-042;common.all;en-US;"All"
x52-043;common.confirm;ar-EG;"تأكيد"
x52-044;common.confirm;en-US;"Confirm"
x52-045;common.description;ar-EG;"الوصف"
x52-046;common.description;en-US;"Description"
x52-047;common.executing;ar-EG;"جارٍ التنفيذ..."
x52-048;common.executing;en-US;"Processing..."
x52-049;common.loading;ar-EG;"جارٍ التحميل..."
x52-050;common.loading;en-US;"Loading..."
x52-051;common.none;ar-EG;"بدون"
x52-052;common.none;en-US;"None"
x52-053;dashboard.absent;ar-EG;"غياب"
x52-054;dashboard.absent;en-US;"Absent"
x52-055;dashboard.absentLinkLabel;ar-EG;"غياب"
x52-056;dashboard.absentLinkLabel;en-US;"Absent"
x52-057;dashboard.absentLinkTooltip;ar-EG;"اضغط للاطلاع على أيام الغياب"
x52-058;dashboard.absentLinkTooltip;en-US;"Click to view absences"
