id;translation_key;locale;text_value
x74-001-ar;organization.eyebrow;ar-EG;البنية الإدارية والهيكل المؤسسي (ERP Hierarchy)
x74-001-en;organization.eyebrow;en-US;Administrative Structure & Corporate Hierarchy (ERP Hierarchy)
x74-002-ar;organization.title;ar-EG;إدارة الشركات والفروع والمستودعات والإدارات
x74-002-en;organization.title;en-US;Manage Companies, Branches, Warehouses & Departments
x74-003-ar;organization.description;ar-EG;توصيف الهيكل التنظيمي للشركة والفروع التابعة والمخازن والأقسام الإدارية.
x74-003-en;organization.description;en-US;Describe the organizational structure: companies, branches, stores, and administrative departments.
x74-004-ar;organization.add;ar-EG;إضافة عنصر جديد
x74-004-en;organization.add;en-US;Add new item
x74-005-ar;organization.tabCompanies;ar-EG;الشركات
x74-005-en;organization.tabCompanies;en-US;Companies
x74-006-ar;organization.tabBranches;ar-EG;الفروع
x74-006-en;organization.tabBranches;en-US;Branches
x74-007-ar;organization.tabWarehouses;ar-EG;المستودعات والمخازن
x74-007-en;organization.tabWarehouses;en-US;Warehouses & Stores
x74-008-ar;organization.tabDepartments;ar-EG;الإدارات والأقسام
x74-008-en;organization.tabDepartments;en-US;Departments
x74-009-ar;organization.companyCode;ar-EG;كود الشركة
x74-009-en;organization.companyCode;en-US;Company code
x74-010-ar;organization.companyName;ar-EG;اسم الشركة
x74-010-en;organization.companyName;en-US;Company name
x74-011-ar;organization.taxNumber;ar-EG;الرقم الضريبي
x74-011-en;organization.taxNumber;en-US;Tax number
x74-012-ar;organization.commercialRegistry;ar-EG;السجل التجاري
x74-012-en;organization.commercialRegistry;en-US;Commercial registry
x74-013-ar;organization.location;ar-EG;الموقع / العنوان
x74-013-en;organization.location;en-US;Location / address
x74-014-ar;organization.branchCode;ar-EG;كود الفرع
x74-014-en;organization.branchCode;en-US;Branch code
x74-015-ar;organization.branchName;ar-EG;اسم الفرع
x74-015-en;organization.branchName;en-US;Branch name
x74-016-ar;organization.warehouseCode;ar-EG;كود المستودع
x74-016-en;organization.warehouseCode;en-US;Warehouse code
