id;translation_key;locale;text_value
v141-001;operations.purchaseOrderNo;ar-EG;"رقم أمر الشراء"
v141-002;operations.purchaseOrderNo;en-US;"Purchase order number"
v141-003;operations.receiptNo;ar-EG;"رقم إذن الاستلام"
v141-004;operations.receiptNo;en-US;"Receipt number"
v141-005;operations.deliveryNoteNo;ar-EG;"رقم إذن التسليم"
v141-006;operations.deliveryNoteNo;en-US;"Delivery note number"
v141-007;operations.invoiceNo;ar-EG;"رقم الفاتورة"
v141-008;operations.invoiceNo;en-US;"Invoice number"
v141-009;operations.voucherNo;ar-EG;"رقم السند"
v141-010;operations.voucherNo;en-US;"Voucher number"
v141-011;operations.externalRef;ar-EG;"مرجع خارجي"
v141-012;operations.externalRef;en-US;"External reference"
v141-013;operations.warehouse;ar-EG;"المخزن"
v141-014;operations.warehouse;en-US;"Warehouse"
v141-015;operations.attachment;ar-EG;"مرفق"
v141-016;operations.attachment;en-US;"Attachment"
v141-017;operations.attachmentSizeError;ar-EG;"الملف كبير جداً. الحد الأقصى 5 ميجابايت."
v141-018;operations.attachmentSizeError;en-US;"File is too large. Maximum size is 5 MB."
v141-019;operations.attachmentTypeError;ar-EG;"نوع الملف غير مدعوم. يُسمح بالصور وملفات PDF وExcel."
v141-020;operations.attachmentTypeError;en-US;"Unsupported file type. Images, PDF and Excel files are allowed."
v141-021;operations.documentType.deliveryNote;ar-EG;"إذن تسليم"
v141-022;operations.documentType.deliveryNote;en-US;"Delivery note"
v141-023;operations.documents;ar-EG;"المستندات المرتبطة"
v141-024;operations.documents;en-US;"Linked documents"
v141-025;operations.noDocuments;ar-EG;"لا توجد مستندات مرتبطة"
v141-026;operations.noDocuments;en-US;"No linked documents"
v141-027;OPS_MOVEMENT_RECEIPT_REQUIRED;ar-EG;"رقم إذن الاستلام مطلوب لحركة استلام بضائع."
v141-028;OPS_MOVEMENT_RECEIPT_REQUIRED;en-US;"A receipt document number is required for a goods receipt movement."
v141-029;OPS_MOVEMENT_PURCHASE_ORDER_REQUIRED;ar-EG;"رقم أمر الشراء مطلوب لحركة استلام من مورد."
v141-030;OPS_MOVEMENT_PURCHASE_ORDER_REQUIRED;en-US;"A purchase-order number is required for a supplier receipt movement."
v141-031;OPS_MOVEMENT_DELIVERY_NOTE_REQUIRED;ar-EG;"رقم إذن التسليم مطلوب لحركة بيع أو تسليم."
v141-032;OPS_MOVEMENT_DELIVERY_NOTE_REQUIRED;en-US;"A delivery-note number is required for a sale/delivery movement."
v141-033;OPS_MOVEMENT_VOUCHER_REQUIRED;ar-EG;"رقم سند التسوية مطلوب لحركة تسوية."
v141-034;OPS_MOVEMENT_VOUCHER_REQUIRED;en-US;"An adjustment voucher number is required for an adjustment movement."
v141-035;OPS_MOVEMENT_INVOICE_PARTY_REQUIRED;ar-EG;"يجب تحديد جهة أعمال عند إدخال رقم فاتورة."
v141-036;OPS_MOVEMENT_INVOICE_PARTY_REQUIRED;en-US;"A business party is required when an invoice number is provided."
v141-037;OPS_MOVEMENT_INVOICE_DUPLICATE;ar-EG;"رقم الفاتورة مسجل بالفعل لهذه الجهة."
v141-038;OPS_MOVEMENT_INVOICE_DUPLICATE;en-US;"Invoice number is already recorded for this business party."
