id;translation_key;locale;text_value
v98-ar-001;journal.post.confirmTitle;ar-EG;تأكيد ترحيل القيد
v98-en-001;journal.post.confirmTitle;en-US;Confirm journal posting
v98-ar-002;journal.post.confirmMessage;ar-EG;سيتم ترحيل القيد إلى المحاسبة العامة كمعاملة مالية نهائية.
v98-en-002;journal.post.confirmMessage;en-US;The entry will be posted to the general ledger as a final accounting transaction.
v98-ar-003;journal.post.dangerWarning;ar-EG;تنبيه: بعد الترحيل لا يمكن تعديل القيد، ولا يمكن التراجع عنه إلا عبر قيد عكسي.
v98-en-003;journal.post.dangerWarning;en-US;Warning: a posted entry can no longer be edited and can only be undone through a reversing entry.
v98-ar-004;journal.post.progress;ar-EG;جارٍ الترحيل...
v98-en-004;journal.post.progress;en-US;Posting...
v98-ar-005;journal.post.success;ar-EG;تم ترحيل قيد اليومية للمحاسبة العامة بنجاح ✓
v98-en-005;journal.post.success;en-US;Journal entry posted to the general ledger successfully ✓
v98-ar-006;journal.loadingEntries;ar-EG;جارٍ تحميل القيود...
v98-en-006;journal.loadingEntries;en-US;Loading journal entries...
v98-ar-007;journal.addDisabledNoAccounts;ar-EG;لا تتوفر حسابات ترحيل نشطة. أضف حسابات في دليل الحسابات أولاً.
v98-en-007;journal.addDisabledNoAccounts;en-US;No active posting accounts available. Add accounts to the chart of accounts first.
v98-ar-008;journal.saveDraft.progress;ar-EG;جارٍ الحفظ...
v98-en-008;journal.saveDraft.progress;en-US;Saving...
v98-ar-009;common.retry;ar-EG;إعادة المحاولة
v98-en-009;common.retry;en-US;Retry
v98-ar-010;common.processing;ar-EG;جارٍ المعالجة...
v98-en-010;common.processing;en-US;Processing...
