id;key;locale;text
v161-001;APPROVAL_ALREADY_SUBMITTED;en-US;An approval request already exists for this document
v161-002;APPROVAL_ALREADY_SUBMITTED;ar-EG;يوجد طلب اعتماد لهذا المستند بالفعل
v161-003;APPROVAL_SNAPSHOT_TOO_LARGE;en-US;The approval document snapshot is too large
v161-004;APPROVAL_SNAPSHOT_TOO_LARGE;ar-EG;لقطة مستند الاعتماد أكبر من الحد المسموح
v161-005;APPROVAL_DUPLICATE_DECISION;en-US;You have already approved this step
v161-006;APPROVAL_DUPLICATE_DECISION;ar-EG;لقد اعتمدت هذه الخطوة بالفعل
v161-007;APPROVAL_DELEGATION_SELF;en-US;You cannot delegate approval authority to yourself
v161-008;APPROVAL_DELEGATION_SELF;ar-EG;لا يمكن تفويض صلاحية الاعتماد لنفس المستخدم
v161-009;APPROVAL_DELEGATION_DATES_INVALID;en-US;The delegation end must be after its start
v161-010;APPROVAL_DELEGATION_DATES_INVALID;ar-EG;يجب أن تكون نهاية التفويض بعد بدايته
v161-011;APPROVAL_DELEGATION_NOT_FOUND;en-US;The approval delegation was not found
v161-012;APPROVAL_DELEGATION_NOT_FOUND;ar-EG;تفويض الاعتماد غير موجود
v161-013;APPROVAL_STEPS_REQUIRED;en-US;At least one approval step is required
v161-014;APPROVAL_STEPS_REQUIRED;ar-EG;يجب إضافة خطوة اعتماد واحدة على الأقل
v161-015;APPROVAL_STEP_INVALID;en-US;The approval step configuration is invalid
v161-016;APPROVAL_STEP_INVALID;ar-EG;إعداد خطوة الاعتماد غير صالح
v161-017;approvals.actionCenter;en-US;Approval action center
v161-018;approvals.actionCenter;ar-EG;مركز إجراءات الاعتماد
v161-019;approvals.pendingTitle;en-US;Pending approvals
v161-020;approvals.pendingTitle;ar-EG;طلبات الاعتماد المعلقة
v161-021;approvals.manageDelegations;en-US;Manage delegations
v161-022;approvals.manageDelegations;ar-EG;إدارة التفويضات
v161-023;approvals.totalPending;en-US;Total pending
v161-024;approvals.totalPending;ar-EG;إجمالي المعلق
v161-025;approvals.overdue;en-US;Overdue
v161-026;approvals.overdue;ar-EG;متأخر
v161-027;approvals.delegatedToMe;en-US;Delegated to me
v161-028;approvals.delegatedToMe;ar-EG;مفوّض إليّ
v161-029;approvals.filters;en-US;Approval filters
v161-030;approvals.filters;ar-EG;مرشحات الاعتماد
v161-031;approvals.delegated;en-US;Delegated
v161-032;approvals.delegated;ar-EG;مفوّض
v161-033;approvals.loadingTasks;en-US;Loading approval tasks…
v161-034;approvals.loadingTasks;ar-EG;جارٍ تحميل مهام الاعتماد…
v161-035;approvals.document;en-US;Document
v161-036;approvals.document;ar-EG;المستند
