id;key;locale;text
v183-001;support.nav;en-US;Help and feedback
v183-002;support.nav;ar-EG;المساعدة والملاحظات
v183-003;support.title;en-US;Support Center
v183-004;support.title;ar-EG;مركز الدعم
v183-005;support.description;en-US;Track issues ask questions and share product feedback
v183-006;support.description;ar-EG;تابع المشكلات واطرح الأسئلة وشارك ملاحظات المنتج
v183-007;support.tickets;en-US;Tickets
v183-008;support.tickets;ar-EG;التذاكر
v183-009;support.newTicket;en-US;New support ticket
v183-010;support.newTicket;ar-EG;تذكرة دعم جديدة
v183-011;support.priority;en-US;Priority
v183-012;support.priority;ar-EG;الأولوية
v183-013;support.category;en-US;Category
v183-014;support.category;ar-EG;التصنيف
v183-015;support.module;en-US;Module
v183-016;support.module;ar-EG;الوحدة
v183-017;support.screen;en-US;Screen
v183-018;support.screen;ar-EG;الشاشة
v183-019;support.impact;en-US;Business impact
v183-020;support.impact;ar-EG;أثر المشكلة على العمل
v183-021;support.details;en-US;Description
v183-022;support.details;ar-EG;الوصف
v183-023;support.submit;en-US;Submit ticket
v183-024;support.submit;ar-EG;إرسال التذكرة
v183-025;support.created;en-US;Support ticket created
v183-026;support.created;ar-EG;تم إنشاء تذكرة الدعم
v183-027;support.ticketNo;en-US;Ticket
v183-028;support.ticketNo;ar-EG;التذكرة
v183-029;support.status;en-US;Status
v183-030;support.status;ar-EG;الحالة
v183-031;support.team;en-US;Assigned team
v183-032;support.team;ar-EG;الفريق المسؤول
v183-033;support.sla;en-US;SLA due
v183-034;support.sla;ar-EG;موعد الاستجابة
v183-035;support.update;en-US;Update ticket
v183-036;support.update;ar-EG;تحديث التذكرة
v183-037;support.comment;en-US;Update comment
v183-038;support.comment;ar-EG;تعليق التحديث
v183-039;support.feedback;en-US;Feedback
v183-040;support.feedback;ar-EG;الملاحظات
v183-041;support.feedbackType;en-US;Feedback type
v183-042;support.feedbackType;ar-EG;نوع الملاحظة
v183-043;support.message;en-US;Message
v183-044;support.message;ar-EG;الرسالة
v183-045;support.rating;en-US;Rating
v183-046;support.rating;ar-EG;التقييم
v183-047;support.sendFeedback;en-US;Send feedback
v183-048;support.sendFeedback;ar-EG;إرسال الملاحظة
v183-049;support.feedbackSent;en-US;Feedback sent
v183-050;support.feedbackSent;ar-EG;تم إرسال الملاحظة
v183-051;support.health;en-US;Customer health
v183-052;support.health;ar-EG;صحة العميل
v183-053;support.calculate;en-US;Recalculate health
v183-054;support.calculate;ar-EG;إعادة حساب الصحة
v183-055;support.score;en-US;Health score
v183-056;support.score;ar-EG;درجة الصحة
v183-057;support.reasons;en-US;Transparent reasons and recommended actions
v183-058;support.reasons;ar-EG;الأسباب الواضحة والإجراءات المقترحة
v183-059;support.points;en-US;points
v183-060;support.points;ar-EG;نقاط
v183-061;support.actionRequired;en-US;Action required
v183-062;support.actionRequired;ar-EG;إجراء مطلوب
v183-063;support.positive;en-US;Positive
v183-064;support.positive;ar-EG;إيجابي
v183-065;support.noData;en-US;No records yet
v183-066;support.noData;ar-EG;لا توجد سجلات بعد
