id;translation_key;locale;text_value
v350-001;ADVANCE_POLICY_EXISTS;ar-EG;توجد نسخة سياسة سلف مفتوحة بتاريخ سريان أحدث لهذا النطاق
v350-002;ADVANCE_POLICY_EXISTS;en-US;An open advance-policy version with a later effective date already exists for this scope
v350-003;ADVANCE_MANUAL_NOT_DUE;ar-EG;الخصم اليدوي متاح فقط عندما تكون سياسة الخصم المعتمدة في الوضع اليدوي
v350-004;ADVANCE_MANUAL_NOT_DUE;en-US;Manual deduction is only available when the resolved policy mode is MANUAL
v350-005;ADVANCE_NOTHING_DUE;ar-EG;لا توجد أقساط سلف مستحقة على هذا الموظف في الفترة الحالية
v350-006;ADVANCE_NOTHING_DUE;en-US;No advance installment is due for this employee in the current period
v350-007;ADVANCE_POLICY_INVALID;ar-EG;قيم سياسة الخصم غير صالحة - راجع وضع الخصم والدورية والفترة المرجعية
v350-008;ADVANCE_POLICY_INVALID;en-US;Deduction policy values are invalid - check the mode, cadence and period reference
v350-009;settings.advancesPolicyTitle;ar-EG;سياسة خصم السلف
v350-010;settings.advancesPolicyTitle;en-US;Advance Deduction Policy
v350-011;settings.advancesPolicyHint;ar-EG;يتحكم في طريقة تحصيل سلف الموظفين: تلقائي داخل مسير الرواتب أو يدوي بزر التطبيق. استثناءات الفئات تتجاوز الإعداد العام.
v350-012;settings.advancesPolicyHint;en-US;Controls how employee advances are collected: automatically inside payroll or manually via an apply action. Category exceptions override the global setting.
v350-013;settings.advancesPolicyGlobalCard;ar-EG;الإعداد العام لكل الفئات
v350-014;settings.advancesPolicyGlobalCard;en-US;Global default for all categories
v350-015;settings.advancesPolicyCategoryCard;ar-EG;استثناءات الفئات
v350-016;settings.advancesPolicyCategoryCard;en-US;Category exceptions
v350-017;settings.advancesPolicyModeLabel;ar-EG;وضع الخصم
v350-018;settings.advancesPolicyModeLabel;en-US;Deduction mode
v350-019;settings.advancesPolicyCadenceLabel;ar-EG;دورية الاستقطاع
v350-020;settings.advancesPolicyCadenceLabel;en-US;Collection cadence
v350-021;settings.advancesPolicyModeAuto;ar-EG;تلقائي داخل مسير الرواتب
v350-022;settings.advancesPolicyModeAuto;en-US;Automatic inside payroll
v350-023;settings.advancesPolicyModeManual;ar-EG;يدوي بزر التطبيق
v350-024;settings.advancesPolicyModeManual;en-US;Manual via apply button
v350-025;settings.advancesPolicyCadenceMonthly;ar-EG;شهري
v350-026;settings.advancesPolicyCadenceMonthly;en-US;Monthly
v350-027;settings.advancesPolicyCadenceMidMonth;ar-EG;نصف شهري (دفعتان)
v350-028;settings.advancesPolicyCadenceMidMonth;en-US;Mid-month split
v350-029;settings.advancesPolicyAddException;ar-EG;إضافة استثناء فئة
v350-030;settings.advancesPolicyAddException;en-US;Add category exception
v350-031;settings.advancesPolicyNoExceptions;ar-EG;لا توجد استثناءات للفئات - تُطبَّق السياسة العامة على الجميع
v350-032;settings.advancesPolicyNoExceptions;en-US;No category exceptions - the global policy applies to everyone
v350-033;settings.advancesPolicySaved;ar-EG;تم حفظ سياسة خصم السلف ✓
v350-034;settings.advancesPolicySaved;en-US;Advance deduction policy saved ✓
v350-035;settings.advancesPolicyLoadFailed;ar-EG;تعذر تحميل سياسة خصم السلف. تحقق من الاتصال وحاول مرة أخرى.
v350-036;settings.advancesPolicyLoadFailed;en-US;Could not load the advance deduction policy. Check the connection and try again.
v350-037;settings.advancesPolicySaveFailed;ar-EG;تعذر حفظ سياسة خصم السلف. تحقق من الاتصال وحاول مرة أخرى.
v350-038;settings.advancesPolicySaveFailed;en-US;Could not save the advance deduction policy. Check the connection and try again.
v350-039;employees.applyDeductionAction;ar-EG;تطبيق خصم السلف الآن
v350-040;employees.applyDeductionAction;en-US;Apply advance deduction now
v350-041;employees.applyDeductionConfirmBody;ar-EG;سيتم تحصيل أقساط السلف المستحقة من {count} موظف عن الفترة الحالية وتسجيلها في دفتر السلف. هل تريد المتابعة؟
v350-042;employees.applyDeductionConfirmBody;en-US;Due advance installments will be collected from {count} employee(s) for the current period and recorded in the advances ledger. Continue?
v350-043;employees.applyDeductionSuccess;ar-EG;تم تطبيق خصم السلف على {count} موظف ✓
v350-044;employees.applyDeductionSuccess;en-US;Advance deduction applied to {count} employee(s) ✓
v350-045;employees.applyDeductionNoTargets;ar-EG;لا يوجد موظفون مشمولون بسياسة الخصم اليدوي
v350-046;employees.applyDeductionNoTargets;en-US;No employees fall under a MANUAL deduction policy
