id;translation_key;locale;text_value
v279-001;claims.title;ar-EG;مستخلصات المالك ومقاولي الباطن (IPC)
v279-002;claims.title;en-US;Owner & Subcontractor Progress Claims (IPC)
v279-003;claims.subtitle;ar-EG;إعداد واعتماد المستخلصات الجارية والختامية وحساب الاستقطاعات والدفعات والتأمين
v279-004;claims.subtitle;en-US;Preparation and certification of interim and final progress certificates with retention and advance recovery
v279-005;claims.createClaim;ar-EG;إنشاء مستخلص جديد
v279-006;claims.createClaim;en-US;Create Progress Claim
v279-007;claims.editClaim;ar-EG;تعديل المستخلص
v279-008;claims.editClaim;en-US;Edit Progress Claim
v279-009;claims.deleteClaim;ar-EG;حذف المستخلص
v279-010;claims.deleteClaim;en-US;Delete Progress Claim
v279-011;claims.claimNumber;ar-EG;رقم المستخلص
v279-012;claims.claimNumber;en-US;Claim Number
v279-013;claims.claimType;ar-EG;نوع المستخلص
v279-014;claims.claimType;en-US;Claim Type
v279-015;claims.typeOwner;ar-EG;مستخلص مالك (جهة إسناد)
v279-016;claims.typeOwner;en-US;Owner / Client Claim
v279-017;claims.typeSubcontractor;ar-EG;مستخلص مقاول باطن
v279-018;claims.typeSubcontractor;en-US;Subcontractor Claim
v279-019;claims.claimKind;ar-EG;صفة المستخلص
v279-020;claims.claimKind;en-US;Claim Category
v279-021;claims.kindInterim;ar-EG;مستخلص جاري
v279-022;claims.kindInterim;en-US;Interim Payment Certificate (IPC)
v279-023;claims.kindFinal;ar-EG;مستخلص ختامي
v279-024;claims.kindFinal;en-US;Final Account Claim
v279-025;claims.sequenceNumber;ar-EG;رقم تسلسل المستخلص
v279-026;claims.sequenceNumber;en-US;Claim Seq #
v279-027;claims.periodStart;ar-EG;بداية فترة المستخلص
v279-028;claims.periodStart;en-US;Period Start Date
v279-029;claims.periodEnd;ar-EG;نهاية فترة المستخلص
v279-030;claims.periodEnd;en-US;Period End Date
v279-031;claims.submissionDate;ar-EG;تاريخ التقديم
v279-032;claims.submissionDate;en-US;Submission Date
v279-033;claims.statusDraft;ar-EG;مسودة
v279-034;claims.statusDraft;en-US;Draft
v279-035;claims.statusSubmitted;ar-EG;مقدم للاستشاري
v279-036;claims.statusSubmitted;en-US;Submitted for Review
v279-037;claims.statusReviewed;ar-EG;تمت المراجعة الفنية
v279-038;claims.statusReviewed;en-US;Technically Reviewed
