id;translation_key;locale;text_value
x36-ar-001;nav.workforce;ar-EG;العمالة والمقاولون
x36-en-001;nav.workforce;en-US;Workforce & Contractors
x36-ar-017;workspace.workforce;ar-EG;العمالة والمقاولون
x36-en-017;workspace.workforce;en-US;Workforce & Contractors
x36-ar-002;nav.workforceHint;ar-EG;إدارة طلبات العمالة، المقاولين، الحضور اليدوي، السلف، وفترات التسوية
x36-en-002;nav.workforceHint;en-US;Manage labor requests, contractors, manual attendance, advances, and settlement periods
x36-ar-003;workforce.dashboard.title;ar-EG;لوحة متابعة العمالة
x36-en-003;workforce.dashboard.title;en-US;Workforce Dashboard
x36-ar-004;workforce.laborRequests.title;ar-EG;طلبات العمالة
x36-en-004;workforce.laborRequests.title;en-US;Labor Requests
x36-ar-005;workforce.contractors.title;ar-EG;المقاولون
x36-en-005;workforce.contractors.title;en-US;Contractors
x36-ar-006;workforce.workers.title;ar-EG;العمال
x36-en-006;workforce.workers.title;en-US;Workers
x36-ar-007;workforce.categories.title;ar-EG;فئات العمال
x36-en-007;workforce.categories.title;en-US;Worker Categories
x36-ar-008;workforce.attendance.title;ar-EG;الحضور اليدوي
x36-en-008;workforce.attendance.title;en-US;Manual Attendance
x36-ar-009;workforce.settlements.title;ar-EG;فترات التسوية
x36-en-009;workforce.settlements.title;en-US;Settlement Periods
x36-ar-010;workforce.advances.title;ar-EG;السلف والأقساط
x36-en-010;workforce.advances.title;en-US;Advances & Installments
x36-ar-011;workforce.accounts.title;ar-EG;حسابات المقاولين
x36-en-011;workforce.accounts.title;en-US;Contractor Accounts
x36-ar-012;workforce.reports.title;ar-EG;تقارير العمالة والاستيراد
x36-en-012;workforce.reports.title;en-US;Workforce Reports & Import
x36-ar-013;workforce.model.worker_net_total;ar-EG;مجموع صافي العمال
x36-en-013;workforce.model.worker_net_total;en-US;Sum of Workers Net Total
x36-ar-014;workforce.model.contractor_daily_rate;ar-EG;سعر تعاقد مستقل
x36-en-014;workforce.model.contractor_daily_rate;en-US;Independent Contractor Rate
x36-ar-015;workforce.model.worker_cost_plus_fee;ar-EG;تكلفة العمال + عمولة
x36-en-015;workforce.model.worker_cost_plus_fee;en-US;Worker Cost + Commission
x36-ar-016;workforce.model.fixed_period_amount;ar-EG;مبلغ ثابت للفترة
x36-en-016;workforce.model.fixed_period_amount;en-US;Fixed Period Amount
