id;translation_key;locale;text_value
v402-001-en;APIKEY_LIMIT_REACHED;en-US;API key usage limit reached. Please reduce request frequency or rotate the key.
v402-001-ar;APIKEY_LIMIT_REACHED;ar-EG;تم الوصول إلى الحد الأقصى لاستخدام مفتاح API. يرجى تقليل وتيرة الطلبات أو تدوير المفتاح.
v402-002-en;APIKEY_NOT_FOUND;en-US;API key not found or revoked.
v402-002-ar;APIKEY_NOT_FOUND;ar-EG;مفتاح API غير موجود أو تم إلغاؤه.
v402-003-en;AUTO_DUNNING_NOT_FOUND;en-US;Automated dunning rule not found.
v402-003-ar;AUTO_DUNNING_NOT_FOUND;ar-EG;قاعدة التحصيل الآلي غير موجودة.
v402-004-en;AUTO_TEMPLATE_NOT_FOUND;en-US;Automation template not found.
v402-004-ar;AUTO_TEMPLATE_NOT_FOUND;ar-EG;قالب الأتمتة غير موجود.
v402-005-en;BULK_UPDATE_EMPTY_IDS;en-US;No record ids provided for bulk update.
v402-005-ar;BULK_UPDATE_EMPTY_IDS;ar-EG;لم يتم توفير معرفات السجلات للتحديث الجماعي.
v402-006-en;CAMPAIGN_INVALID_STATE;en-US;Campaign is not in a valid state for this operation.
v402-006-ar;CAMPAIGN_INVALID_STATE;ar-EG;الحملة ليست في حالة صالحة لهذه العملية.
v402-007-en;CAMPAIGN_NOT_FOUND;en-US;Campaign not found.
v402-007-ar;CAMPAIGN_NOT_FOUND;ar-EG;الحملة غير موجودة.
v402-008-en;GRID_VIEW_NOT_FOUND;en-US;Saved view not found.
v402-008-ar;GRID_VIEW_NOT_FOUND;ar-EG;العرض المحفوظ غير موجود.
v402-009-en;GRID_VIEW_NOT_OWNER;en-US;You are not the owner of this saved view.
v402-009-ar;GRID_VIEW_NOT_OWNER;ar-EG;أنت لست مالك هذا العرض المحفوظ.
v402-010-en;KB_ARTICLE_NOT_FOUND;en-US;Knowledge base article not found.
v402-010-ar;KB_ARTICLE_NOT_FOUND;ar-EG;مقالة قاعدة المعرفة غير موجودة.
v402-011-en;KB_BOTH_LOCALES_REQUIRED;en-US;Both Arabic and English article text are required.
v402-011-ar;KB_BOTH_LOCALES_REQUIRED;ar-EG;مطلوب نص المقال باللغتين العربية والإنجليزية.
v402-012-en;PAYLINK_EXPIRED;en-US;Payment link has expired.
v402-012-ar;PAYLINK_EXPIRED;ar-EG;انتهت صلاحية رابط الدفع.
