id;key;locale;value
v198-001;WAREHOUSE_STOCK_INSUFFICIENT;en-US;The warehouse does not have enough available stock.
v198-002;WAREHOUSE_STOCK_INSUFFICIENT;ar-EG;لا توجد كمية متاحة كافية في المخزن.
v198-003;WAREHOUSE_STOCK_BALANCE_NOT_FOUND;en-US;The warehouse stock balance was not found.
v198-004;WAREHOUSE_STOCK_BALANCE_NOT_FOUND;ar-EG;لم يتم العثور على رصيد الصنف في المخزن.
v198-005;WAREHOUSE_ACTIVE_REQUIRED;en-US;Select an active warehouse.
v198-006;WAREHOUSE_ACTIVE_REQUIRED;ar-EG;اختر مخزناً نشطاً.
v198-007;WAREHOUSE_QUANTITY_POSITIVE;en-US;Warehouse stock quantity must be positive.
v198-008;WAREHOUSE_QUANTITY_POSITIVE;ar-EG;يجب أن تكون كمية المخزون موجبة.
v198-009;TRANSFER_NUMBER_REQUIRED;en-US;Transfer number is required.
v198-010;TRANSFER_NUMBER_REQUIRED;ar-EG;رقم التحويل مطلوب.
v198-011;TRANSFER_WAREHOUSES_DIFFERENT;en-US;Source and target warehouses must be different.
v198-012;TRANSFER_WAREHOUSES_DIFFERENT;ar-EG;يجب أن يختلف مخزن المصدر عن مخزن الوجهة.
v198-013;TRANSFER_DATE_REQUIRED;en-US;Transfer date is required.
v198-014;TRANSFER_DATE_REQUIRED;ar-EG;تاريخ التحويل مطلوب.
v198-015;TRANSFER_NOT_DRAFT;en-US;This action is available only for a draft transfer.
v198-016;TRANSFER_NOT_DRAFT;ar-EG;هذا الإجراء متاح فقط للتحويل المسودة.
v198-017;TRANSFER_QUANTITY_POSITIVE;en-US;Transfer quantity must be positive.
v198-018;TRANSFER_QUANTITY_POSITIVE;ar-EG;يجب أن تكون كمية التحويل موجبة.
v198-019;TRANSFER_ITEM_DUPLICATE;en-US;The item already exists on this transfer.
v198-020;TRANSFER_ITEM_DUPLICATE;ar-EG;الصنف موجود بالفعل في هذا التحويل.
v198-021;TRANSFER_LINES_REQUIRED;en-US;Add at least one item before shipping the transfer.
v198-022;TRANSFER_LINES_REQUIRED;ar-EG;أضف صنفاً واحداً على الأقل قبل شحن التحويل.
v198-023;TRANSFER_SOURCE_STOCK_INSUFFICIENT;en-US;The source warehouse does not have enough available stock.
v198-024;TRANSFER_SOURCE_STOCK_INSUFFICIENT;ar-EG;لا توجد كمية متاحة كافية في مخزن المصدر.
v198-025;TRANSFER_NOT_SHIPPED;en-US;Only a shipped transfer can be received.
v198-026;TRANSFER_NOT_SHIPPED;ar-EG;لا يمكن الاستلام إلا لتحويل تم شحنه.
v198-027;TRANSFER_NUMBER_EXISTS;en-US;Transfer number already exists.
v198-028;TRANSFER_NUMBER_EXISTS;ar-EG;رقم التحويل مستخدم بالفعل.
v198-029;operations.newTransfer;en-US;New transfer
v198-030;operations.newTransfer;ar-EG;تحويل مخزون جديد
v198-031;operations.transfers;en-US;Warehouse transfers
v198-032;operations.transfers;ar-EG;تحويلات المخزون
v198-033;operations.transfersHint;en-US;Move available stock through a controlled ship and receive workflow.
v198-034;operations.transfersHint;ar-EG;انقل المخزون المتاح من خلال دورة شحن واستلام محكومة.
v198-035;operations.transferSource;en-US;Source warehouse
v198-036;operations.transferSource;ar-EG;مخزن المصدر
v198-037;operations.transferTarget;en-US;Target warehouse
v198-038;operations.transferTarget;ar-EG;مخزن الوجهة
v198-039;operations.transferNumber;en-US;Transfer number
v198-040;operations.transferNumber;ar-EG;رقم التحويل
v198-041;operations.transfer.ship;en-US;Ship
v198-042;operations.transfer.ship;ar-EG;شحن
v198-043;operations.transfer.receive;en-US;Receive
v198-044;operations.transfer.receive;ar-EG;استلام
v198-045;operations.transfer.shipSuccess;en-US;Transfer shipped successfully.
v198-046;operations.transfer.shipSuccess;ar-EG;تم شحن التحويل بنجاح.
v198-047;operations.transfer.receiveSuccess;en-US;Transfer received successfully.
v198-048;operations.transfer.receiveSuccess;ar-EG;تم استلام التحويل بنجاح.
v198-049;operations.transfer.cancelSuccess;en-US;Transfer cancelled successfully.
v198-050;operations.transfer.cancelSuccess;ar-EG;تم إلغاء التحويل بنجاح.
v198-051;operations.transferSaved;en-US;Transfer item saved.
v198-052;operations.transferSaved;ar-EG;تم حفظ صنف التحويل.
v198-053;operations.transfer.status.DRAFT;en-US;Draft
v198-054;operations.transfer.status.DRAFT;ar-EG;مسودة
v198-055;operations.transfer.status.SHIPPED;en-US;Shipped
v198-056;operations.transfer.status.SHIPPED;ar-EG;تم الشحن
v198-057;operations.transfer.status.RECEIVED;en-US;Received
v198-058;operations.transfer.status.RECEIVED;ar-EG;تم الاستلام
v198-059;operations.transfer.status.CANCELLED;en-US;Cancelled
v198-060;operations.transfer.status.CANCELLED;ar-EG;ملغي
v198-061;operations.noTransfers;en-US;No warehouse transfers recorded.
v198-062;operations.noTransfers;ar-EG;لا توجد تحويلات مخزون مسجلة.
