id;translation_key;locale;text_value
v127-001;operations.adjustmentQuantityZero;ar-EG;"كمية التسوية يجب ألا تكون صفراً"
v127-002;operations.adjustmentQuantityZero;en-US;"Adjustment quantity must not be zero."
v127-003;operations.adjustmentSuccess;ar-EG;"تم إجراء تسوية المخزون بنجاح ✓"
v127-004;operations.adjustmentSuccess;en-US;"Inventory adjustment completed successfully."
v127-005;operations.categoryCreatedSuccess;ar-EG;"تم إنشاء تصنيف المخزون بنجاح ✓"
v127-006;operations.categoryCreatedSuccess;en-US;"Inventory category created successfully."
v127-007;operations.uomCreatedSuccess;ar-EG;"تم إنشاء وحدة القياس بنجاح ✓"
v127-008;operations.uomCreatedSuccess;en-US;"Unit of measure created successfully."
v127-009;workforce.settlementPeriodCreated;ar-EG;"تم إنشاء فترة التسوية."
v127-010;workforce.settlementPeriodCreated;en-US;"Settlement period created."
v127-011;workforce.settlementPeriodReviewed;ar-EG;"تم تسجيل مراجعة الفترة."
v127-012;workforce.settlementPeriodReviewed;en-US;"Period review recorded."
v127-013;workforce.settlementPeriodApproved;ar-EG;"تم اعتماد الفترة."
v127-014;workforce.settlementPeriodApproved;en-US;"Period approved."
v127-015;workforce.settlementPeriodLocked;ar-EG;"تم قفل الفترة نهائياً."
v127-016;workforce.settlementPeriodLocked;en-US;"Period locked permanently."
v127-017;reportsImport.commitSuccess;ar-EG;"تم تنفيذ الاستيراد وحفظ سجل التغييرات."
v127-018;reportsImport.commitSuccess;en-US;"Import executed and change log saved."
v127-019;reportsImport.reverseSuccess;ar-EG;"تم إنشاء قيد عكسي دون حذف الملف أو سجل العملية."
v127-020;reportsImport.reverseSuccess;en-US;"Reversing entry created without deleting the file or operation log."
v127-021;reportsImport.templateDownloadSuccess;ar-EG;"تم تنزيل نموذج استيراد تقارير العمالة بنجاح."
v127-022;reportsImport.templateDownloadSuccess;en-US;"Labor reports import template downloaded successfully."
v127-023;workforce.settlements.postSuccess;ar-EG;"تم ترحيل التسوية للمالية بنجاح وسداد القيد."
v127-024;workforce.settlements.postSuccess;en-US;"Settlement posted to finance and the entry settled."
v127-025;workforce.settlements.invoiceLinkedSuccess;ar-EG;"تم ربط الفاتورة بنجاح."
v127-026;workforce.settlements.invoiceLinkedSuccess;en-US;"Invoice linked successfully."
v127-027;workforce.settlements.paymentRecordedSuccess;ar-EG;"تم تسجيل الصرف بنجاح."
v127-028;workforce.settlements.paymentRecordedSuccess;en-US;"Payment recorded successfully."
v127-029;approvals.workflowNameRequired;ar-EG;"يرجى كتابة اسم المسار وإضافة خطوة واحدة على الأقل."
v127-030;approvals.workflowNameRequired;en-US;"Enter a workflow name and add at least one step."
v127-031;approvals.workflowSavedSuccess;ar-EG;"تم حفظ مسار الاعتماد بنجاح."
v127-032;approvals.workflowSavedSuccess;en-US;"Approval workflow saved successfully."
v127-033;approvals.rejectionReasonRequired;ar-EG;"سبب الرفض إجباري."
v127-034;approvals.rejectionReasonRequired;en-US;"Rejection reason is required."
v127-035;fiscalPeriods.generatedSuccess;ar-EG;"تم إنشاء الفترات المالية للسنة بنجاح ✓"
v127-036;fiscalPeriods.generatedSuccess;en-US;"Fiscal periods generated for the year successfully."
v127-037;quality.recordSavedSuccess;ar-EG;"تم تسجيل محضر فحص الجودة بنجاح ✓"
v127-038;quality.recordSavedSuccess;en-US;"Quality inspection record saved successfully."
v127-039;manualAttendance.discardUnsavedConfirm;ar-EG;"لديك تعديلات حضور غير محفوظة. هل تريد تجاهلها والمتابعة؟"
v127-040;manualAttendance.discardUnsavedConfirm;en-US;"You have unsaved attendance changes. Discard them and continue?"
v127-041;payroll.recordNotSaved;ar-EG;"سجل الراتب غير محفوظ بعد في النظام."
v127-042;payroll.recordNotSaved;en-US;"The salary record is not saved in the system yet."
