id;translation_key;locale;text_value
v312-001;pos.eyebrow;ar-EG;تجارة التجزئة ونقاط البيع السريعة
v312-002;pos.eyebrow;en-US;Retail & Point of Sale (POS)
v312-003;pos.title;ar-EG;نقطة البيع والكاشير السريع (POS)
v312-004;pos.title;en-US;Fast Point of Sale & Cashier Register
v312-005;pos.description;ar-EG;إدارة عمليات البيع السريع عبر الباركود، ورديات الكاشير، وتسوية درج النقدية
v312-006;pos.description;en-US;Manage fast barcode sales, cashier shifts, cash drawer reconciliation and receipts
v312-007;pos.tabRegister;ar-EG;شاشة الكاشير والبيع
v312-008;pos.tabRegister;en-US;Cashier Register
v312-009;pos.tabSessions;ar-EG;ورديات الكاشير والتسوية
v312-010;pos.tabSessions;en-US;Cashier Shifts & Closing
v312-011;pos.tabTerminals;ar-EG;أجهزة ونقاط البيع
v312-012;pos.tabTerminals;en-US;POS Terminals
v312-013;pos.tabHistory;ar-EG;سجل الفواتير والإيصالات
v312-014;pos.tabHistory;en-US;Transactions History
v312-015;pos.terminal;ar-EG;نقطة البيع
v312-016;pos.terminal;en-US;Terminal
v312-017;pos.cashier;ar-EG;الكاشير
v312-018;pos.cashier;en-US;Cashier
v312-019;pos.session;ar-EG;الوردية
v312-020;pos.session;en-US;Shift / Session
v312-021;pos.openShift;ar-EG;فتح وردية جديدة
v312-022;pos.openShift;en-US;Open Shift
v312-023;pos.closeShift;ar-EG;إغلاق وتسوية الوردية
v312-024;pos.closeShift;en-US;Close Shift
v312-025;pos.openingFloat;ar-EG;رصيد العهدة الافتتاحي (درج النقدية)
v312-026;pos.openingFloat;en-US;Opening Cash Float
v312-027;pos.actualCash;ar-EG;النقدية الفعلية بالدرج
v312-028;pos.actualCash;en-US;Actual Cash in Drawer
v312-029;pos.actualCard;ar-EG;إجمالي مدفوعات البطاقة الفعلية
v312-030;pos.actualCard;en-US;Actual Card Total
v312-031;pos.expectedCash;ar-EG;النقدية المحسوبة
v312-032;pos.expectedCash;en-US;Expected Cash
v312-033;pos.expectedCard;ar-EG;إجمالي البطاقات المحسوب
v312-034;pos.expectedCard;en-US;Expected Card
v312-035;pos.cashVariance;ar-EG;عجز / زيادة النقدية
v312-036;pos.cashVariance;en-US;Cash Variance
v312-037;pos.cardVariance;ar-EG;فارق البطاقات
v312-038;pos.cardVariance;en-US;Card Variance
v312-039;pos.scanBarcode;ar-EG;مسح الباركود أو البحث عن صنف...
v312-040;pos.scanBarcode;en-US;Scan barcode or search item...
v312-041;pos.cart;ar-EG;سلة المشتريات
v312-042;pos.cart;en-US;Shopping Cart
v312-043;pos.cartEmpty;ar-EG;السلة فارغة - امسح باركود أو اختر صنفاً للبدء
v312-044;pos.cartEmpty;en-US;Cart is empty - scan barcode or pick item to start
v312-045;pos.clearCart;ar-EG;إفراغ السلة
v312-046;pos.clearCart;en-US;Clear Cart
v312-047;pos.tenderCash;ar-EG;نقداً (Cash)
v312-048;pos.tenderCash;en-US;Cash
v312-049;pos.tenderCard;ar-EG;بطاقة بنكية (Card)
v312-050;pos.tenderCard;en-US;Credit / Debit Card
v312-051;pos.tenderWallet;ar-EG;محفظة إلكترونية (Wallet)
v312-052;pos.tenderWallet;en-US;E-Wallet
v312-053;pos.tenderSplit;ar-EG;دفع متعدد (Split)
v312-054;pos.tenderSplit;en-US;Split Payment
