id;key;locale;text
v185-001;industryPack.foodDistribution.name;en-US;Food Distribution Egypt
v185-002;industryPack.foodDistribution.name;ar-EG;توزيع الأغذية - مصر
v185-003;industryPack.foodDistribution.description;en-US;Procurement inventory sales receivables finance and FEFO-ready distribution defaults
v185-004;industryPack.foodDistribution.description;ar-EG;إعدادات توزيع مترابطة للمشتريات والمخزون والمبيعات والتحصيل والمالية وسياسة FEFO
v185-005;industryPack.food.step.company;en-US;Confirm company and fiscal setup
v185-006;industryPack.food.step.company;ar-EG;تأكيد إعداد الشركة والفترة المالية
v185-007;industryPack.food.step.warehouses;en-US;Create distribution warehouses
v185-008;industryPack.food.step.warehouses;ar-EG;إنشاء مخازن التوزيع
v185-009;industryPack.food.step.items;en-US;Import items batches and expiry data
v185-010;industryPack.food.step.items;ar-EG;استيراد الأصناف والتشغيلات وتواريخ الصلاحية
v185-011;industryPack.food.step.suppliers;en-US;Onboard suppliers
v185-012;industryPack.food.step.suppliers;ar-EG;تسجيل الموردين
v185-013;industryPack.food.step.customers;en-US;Import customers and credit limits
v185-014;industryPack.food.step.customers;ar-EG;استيراد العملاء وحدود الائتمان
v185-015;industryPack.food.step.openingStock;en-US;Load opening stock by warehouse and batch
v185-016;industryPack.food.step.openingStock;ar-EG;تحميل المخزون الافتتاحي حسب المخزن والتشغيلة
v185-017;industryPack.food.step.firstPurchase;en-US;Complete the first purchase and receipt
v185-018;industryPack.food.step.firstPurchase;ar-EG;إكمال أول عملية شراء واستلام
v185-019;industryPack.food.step.firstSale;en-US;Complete the first sale and customer invoice
v185-020;industryPack.food.step.firstSale;ar-EG;إكمال أول عملية بيع وفاتورة عميل
v185-021;industryPack.food.step.margin;en-US;Review stock expiry margin and overdue results
v185-022;industryPack.food.step.margin;ar-EG;مراجعة نتائج المخزون والصلاحية والهامش والمتأخرات
