id;translation_key;locale;text_value
v210-001;O2C_CREDIT_AMOUNT_INVALID;en-US;The return credit exceeds the eligible invoice amount
v210-002;O2C_CREDIT_AMOUNT_INVALID;ar-EG;يتجاوز رصيد المرتجع قيمة الفاتورة المؤهلة
v210-003;O2C_DELIVERY_QUANTITY_POSITIVE;en-US;Delivery quantity must be positive
v210-004;O2C_DELIVERY_QUANTITY_POSITIVE;ar-EG;يجب أن تكون كمية التسليم موجبة
v210-005;O2C_RESERVATION_MISMATCH;en-US;Delivery lines do not match the order stock reservations
v210-006;O2C_RESERVATION_MISMATCH;ar-EG;لا تطابق بنود التسليم حجوزات مخزون أمر البيع
v210-007;O2C_RETURN_DISPOSITION_INVALID;en-US;Only inspected available returns can re-enter sellable stock
v210-008;O2C_RETURN_DISPOSITION_INVALID;ar-EG;لا يعاد للمخزون القابل للبيع إلا المرتجع المفحوص والمتاح
v210-009;O2C_RETURN_QUANTITY_POSITIVE;en-US;Return quantity must be positive
v210-010;O2C_RETURN_QUANTITY_POSITIVE;ar-EG;يجب أن تكون كمية المرتجع موجبة
v210-011;sales.lines;en-US;Order lines
v210-012;sales.lines;ar-EG;بنود أمر البيع
v210-013;sales.itemId;en-US;Item ID
v210-014;sales.itemId;ar-EG;معرف الصنف
v210-015;sales.itemName;en-US;Item name
v210-016;sales.itemName;ar-EG;اسم الصنف
v210-017;sales.quantity;en-US;Quantity
v210-018;sales.quantity;ar-EG;الكمية
v210-019;sales.unitPrice;en-US;Unit price
v210-020;sales.unitPrice;ar-EG;سعر الوحدة
v210-021;sales.discount;en-US;Discount percent
v210-022;sales.discount;ar-EG;نسبة الخصم
v210-023;sales.warehouse;en-US;Warehouse ID
v210-024;sales.warehouse;ar-EG;معرف المخزن
v210-025;sales.currency;en-US;Currency
v210-026;sales.currency;ar-EG;العملة
v210-027;sales.addLine;en-US;Add line
v210-028;sales.addLine;ar-EG;إضافة بند
v210-029;sales.deliver;en-US;Deliver and invoice
v210-030;sales.deliver;ar-EG;تسليم وإصدار فاتورة
v210-031;sales.deliveryCreated;en-US;Delivery and customer invoice posted successfully
v210-032;sales.deliveryCreated;ar-EG;تم ترحيل التسليم وفاتورة العميل بنجاح
v210-033;sales.deliveryRef;en-US;Delivery / invoice
v210-034;sales.deliveryRef;ar-EG;التسليم / الفاتورة
v210-035;sales.return;en-US;Receive return
v210-036;sales.return;ar-EG;استلام مرتجع
v210-037;sales.returnCreated;en-US;Return and credit note posted successfully
v210-038;sales.returnCreated;ar-EG;تم ترحيل المرتجع وإشعار الدائن بنجاح
v210-039;sales.returnQuantity;en-US;Return quantity
v210-040;sales.returnQuantity;ar-EG;كمية المرتجع
v210-041;sales.reason;en-US;Return reason
v210-042;sales.reason;ar-EG;سبب المرتجع
v210-043;sales.creditNote;en-US;Credit note
v210-044;sales.creditNote;ar-EG;إشعار دائن
v210-045;sales.inspect;en-US;Inspect flow
v210-046;sales.inspect;ar-EG;عرض مسار المستندات
v210-047;sales.removeLine;en-US;Remove line
v210-048;sales.removeLine;ar-EG;حذف البند
v210-049;sales.cogs;en-US;COGS
v210-050;sales.cogs;ar-EG;تكلفة البضاعة المباعة
v210-051;O2C_DELIVERED_ORDER_CANNOT_CANCEL;en-US;A delivered sales order cannot be cancelled
v210-052;O2C_DELIVERED_ORDER_CANNOT_CANCEL;ar-EG;لا يمكن إلغاء أمر بيع تم تسليمه
