id;translation_key;locale;text_value
v358-001-en;TARGET_DUPLICATE;en-US;A target already exists for this scope and period
v358-001-ar;TARGET_DUPLICATE;ar-EG;يوجد بالفعل هدف لنطاق هذه الفترة
v358-002-en;TARGET_INVALID_PERIOD;en-US;Invalid period format, expected YYYY-MM
v358-002-ar;TARGET_INVALID_PERIOD;ar-EG;تنسيق الفترة غير صالح، المتوقع YYYY-MM
v358-003-en;RULE_OVERLAP;en-US;An active commission rule with this name already exists
v358-003-ar;RULE_OVERLAP;ar-EG;يوجد بالفعل قاعدة عمولة نشطة بهذا الاسم
v358-004-en;COMMISSION_PERCENT_INVALID;en-US;Commission percent must be between 0 and 100
v358-004-ar;COMMISSION_PERCENT_INVALID;ar-EG;يجب أن تكون نسبة العمولة بين 0 و 100
v358-005-en;sales.targets;en-US;Sales Targets
v358-005-ar;sales.targets;ar-EG;أهداف المبيعات
v358-006-en;sales.commissions;en-US;Commissions
v358-006-ar;sales.commissions;ar-EG;العمولات
v358-007-en;sales.createTarget;en-US;Create Target
v358-007-ar;sales.createTarget;ar-EG;إنشاء هدف
v358-008-en;sales.scope;en-US;Scope
v358-008-ar;sales.scope;ar-EG;النطاق
v358-009-en;sales.period;en-US;Period
v358-009-ar;sales.period;ar-EG;الفترة
v358-010-en;sales.metric;en-US;Metric
v358-010-ar;sales.metric;ar-EG;المقياس
v358-011-en;sales.targetValue;en-US;Target Value
v358-011-ar;sales.targetValue;ar-EG;قيمة الهدف
v358-012-en;sales.achieved;en-US;Achieved
v358-012-ar;sales.achieved;ar-EG;المحقّق
v358-013-en;sales.progress;en-US;Progress
v358-013-ar;sales.progress;ar-EG;التقدم
v358-014-en;sales.createRule;en-US;Create Commission Rule
v358-014-ar;sales.createRule;ar-EG;إنشاء قاعدة عمولة
v358-015-en;sales.ruleName;en-US;Rule Name
v358-015-ar;sales.ruleName;ar-EG;اسم القاعدة
v358-016-en;sales.basis;en-US;Basis
v358-016-ar;sales.basis;ar-EG;الأساس
v358-017-en;sales.percent;en-US;Percent
v358-017-ar;sales.percent;ar-EG;النسبة
v358-018-en;sales.minAmount;en-US;Min Amount
v358-018-ar;sales.minAmount;ar-EG;الحد الأدنى
v358-019-en;sales.statement;en-US;Commission Statement
v358-019-ar;sales.statement;ar-EG;كشف العمولات
v358-020-en;sales.totalCommission;en-US;Total Commission
v358-020-ar;sales.totalCommission;ar-EG;إجمالي العمولة
v358-021-en;sales.sendToPayroll;en-US;Send to Payroll
v358-021-ar;sales.sendToPayroll;ar-EG;إرسال للرواتب
v358-022-en;nav.salesTargets;en-US;Sales Targets
v358-022-ar;nav.salesTargets;ar-EG;أهداف المبيعات
v358-023-en;nav.salesTargetsHint;en-US;Revenue targets and commission rules
v358-023-ar;nav.salesTargetsHint;ar-EG;أهداف الإيرادات وقواعد العمولات
v358-024-en;sales.noTargets;en-US;No targets defined for this period
v358-024-ar;sales.noTargets;ar-EG;لم يتم تعريف أهداف لهذه الفترة
v358-025-en;sales.noRules;en-US;No active commission rules
v358-025-ar;sales.noRules;ar-EG;لا توجد قواعد عمولة نشطة
v358-026-en;sales.targetDeleted;en-US;Target deleted
v358-026-ar;sales.targetDeleted;ar-EG;تم حذف الهدف
v358-027-en;sales.ruleDeleted;en-US;Commission rule deleted
v358-027-ar;sales.ruleDeleted;ar-EG;تم حذف قاعدة العمولة
v358-028-en;sales.invoiceTotal;en-US;Invoice Total
v358-028-ar;sales.invoiceTotal;ar-EG;إجمالي الفواتير
v358-029-en;sales.collected;en-US;Collected
v358-029-ar;sales.collected;ar-EG;المتحصّل
v358-030-en;sales.rep;en-US;Sales Rep
v358-030-ar;sales.rep;ar-EG;مندوب المبيعات
v358-031-en;sales.commission;en-US;Commission
v358-031-ar;sales.commission;ar-EG;العمولة
v358-032-en;export.sheet.salesTargets;en-US;Sales Targets
v358-032-ar;export.sheet.salesTargets;ar-EG;أهداف المبيعات
v358-033-en;export.file.salesTargets;en-US;sales-targets
v358-033-ar;export.file.salesTargets;ar-EG;أهداف-المبيعات
v358-034-en;sales.targetCreated;en-US;Target created
v358-034-ar;sales.targetCreated;ar-EG;تم إنشاء الهدف
v358-035-en;sales.ruleCreated;en-US;Commission rule created
v358-035-ar;sales.ruleCreated;ar-EG;تم إنشاء قاعدة العمولة
v358-036-en;sales.scopeRep;en-US;Rep
v358-036-ar;sales.scopeRep;ar-EG;مندوب
v358-037-en;sales.scopeTeam;en-US;Team
v358-037-ar;sales.scopeTeam;ar-EG;فريق
v358-038-en;sales.scopeBranch;en-US;Branch
v358-038-ar;sales.scopeBranch;ar-EG;فرع
v358-039-en;sales.metricRevenue;en-US;Revenue
v358-039-ar;sales.metricRevenue;ar-EG;إيراد
v358-040-en;sales.metricQuantity;en-US;Quantity
v358-040-ar;sales.metricQuantity;ar-EG;كمية
