v393-001;marketing.campaigns;ar-EG;الحملات
v393-002;marketing.campaigns;en-US;Campaigns
v393-003;marketing.createCampaign;ar-EG;إنشاء حملة
v393-004;marketing.createCampaign;en-US;Create Campaign
v393-005;marketing.campaignName;ar-EG;اسم الحملة
v393-006;marketing.campaignName;en-US;Campaign Name
v393-007;marketing.channel;ar-EG;القناة
v393-008;marketing.channel;en-US;Channel
v393-009;marketing.email;ar-EG;بريد إلكتروني
v393-010;marketing.email;en-US;Email
v393-011;marketing.sms;ar-EG;رسالة قصيرة
v393-012;marketing.sms;en-US;SMS
v393-013;marketing.subject;ar-EG;الموضوع
v393-014;marketing.subject;en-US;Subject
v393-015;marketing.bodyAr;ar-EG;النص بالعربية
v393-016;marketing.bodyAr;en-US;Body (Arabic)
v393-017;marketing.bodyEn;ar-EG;النص بالإنجليزية
v393-018;marketing.bodyEn;en-US;Body (English)
v393-019;marketing.sendNow;ar-EG;إرسال الآن
v393-020;marketing.sendNow;en-US;Send Now
v393-021;marketing.schedule;ar-EG;جدولة
v393-022;marketing.schedule;en-US;Schedule
v393-023;marketing.recipients;ar-EG;المستلمون
v393-024;marketing.recipients;en-US;Recipients
v393-025;marketing.addRecipients;ar-EG;إضافة مستلمين
v393-026;marketing.addRecipients;en-US;Add Recipients
v393-027;marketing.sentCount;ar-EG;تم الإرسال
v393-028;marketing.sentCount;en-US;Sent
v393-029;marketing.failedCount;ar-EG;فشل
v393-030;marketing.failedCount;en-US;Failed
v393-031;marketing.campaignSent;ar-EG;تم إرسال الحملة
v393-032;marketing.campaignSent;en-US;Campaign sent
v393-033;marketing.campaignCreated;ar-EG;تم إنشاء الحملة
v393-034;marketing.campaignCreated;en-US;Campaign created
v393-035;marketing.noCampaigns;ar-EG;لا توجد حملات بعد
v393-036;marketing.noCampaigns;en-US;No campaigns yet
v393-037;marketing.abort;ar-EG;إيقاف الحملة
v393-038;marketing.abort;en-US;Abort Campaign
v393-039;marketing.emailAddr;ar-EG;البريد الإلكتروني
v393-040;marketing.emailAddr;en-US;Email Address
v393-041;marketing.phoneNum;ar-EG;رقم الهاتف
v393-042;marketing.phoneNum;en-US;Phone Number
v393-043;marketing.targetRef;ar-EG;المعرف
v393-044;marketing.targetRef;en-US;Target Ref
v393-045;marketing.recipientLocale;ar-EG;اللغة
v393-046;marketing.recipientLocale;en-US;Locale
v393-047;marketing.recipientAdded;ar-EG;تمت إضافة المستلمين
v393-048;marketing.recipientAdded;en-US;Recipients added
