id;translation_key;locale;text_value
v121-001;export.sheet.trends;ar-EG;اتجاهات متعددة الفترات
v121-002;export.sheet.trends;en-US;Multi-period trends
v121-003;export.column.month;ar-EG;الشهر
v121-004;export.column.month;en-US;Month
v121-005;export.column.scheduledDays;ar-EG;أيام العمل المقررة
v121-006;export.column.scheduledDays;en-US;Scheduled days
v121-007;export.column.presentDays;ar-EG;أيام الحضور
v121-008;export.column.presentDays;en-US;Present days
v121-009;export.column.attendanceRate;ar-EG;نسبة الحضور
v121-010;export.column.attendanceRate;en-US;Attendance rate
v121-011;export.column.exceptionDays;ar-EG;أيام استثنائية
v121-012;export.column.exceptionDays;en-US;Exception days
v121-013;export.column.paidCount;ar-EG;رواتب مسددة
v121-014;export.column.paidCount;en-US;Paid salaries
v121-015;export.column.pendingCount;ar-EG;رواتب معلقة
v121-016;export.column.pendingCount;en-US;Pending salaries
v121-017;export.column.grossTotal;ar-EG;إجمالي الأجور
v121-018;export.column.grossTotal;en-US;Total gross
v121-019;export.column.paidTotal;ar-EG;إجمالي المدفوع
v121-020;export.column.paidTotal;en-US;Total paid
v121-021;dashboard.trendsTitle;ar-EG;اتجاهات متعددة الفترات
v121-022;dashboard.trendsTitle;en-US;Multi-period trends
v121-023;dashboard.trendsHint;ar-EG;ملخص أداء الحضور والرواتب عبر عدة أشهر لتتبع التطور
v121-024;dashboard.trendsHint;en-US;Attendance and payroll performance across several months to track the trend
v121-025;dashboard.trendMonths;ar-EG;أشهر
v121-026;dashboard.trendMonths;en-US;months
v121-027;dashboard.trendMonth;ar-EG;الشهر
v121-028;dashboard.trendMonth;en-US;Month
v121-029;dashboard.trendRate;ar-EG;نسبة الحضور
v121-030;dashboard.trendRate;en-US;Attendance rate
v121-031;dashboard.trendPresence;ar-EG;الحضور / المقرر
v121-032;dashboard.trendPresence;en-US;Present / scheduled
v121-033;dashboard.trendExceptions;ar-EG;أيام استثنائية
v121-034;dashboard.trendExceptions;en-US;Exception days
v121-035;dashboard.trendOvertime;ar-EG;إضافي
v121-036;dashboard.trendOvertime;en-US;Overtime
v121-037;dashboard.trendPaid;ar-EG;مدفوع / إجمالي
v121-038;dashboard.trendPaid;en-US;Paid / total
v121-039;dashboard.trendGross;ar-EG;إجمالي الأجور
v121-040;dashboard.trendGross;en-US;Total gross
v121-041;dashboard.currency;ar-EG;ج.م
v121-042;dashboard.currency;en-US;EGP
v121-043;dashboard.exportFailed;ar-EG;فشل تصدير الاتجاهات
v121-044;dashboard.exportFailed;en-US;Failed to export trends
