id;translation_key;locale;text_value
v320-001;workspace.analytics;ar-EG;التحليلات والذكاء التنفيذي
v320-002;workspace.analytics;en-US;Analytics & BI
v320-003;nav.executiveAnalytics;ar-EG;لوحة التحليلات التنفيذية
v320-004;nav.executiveAnalytics;en-US;Executive Analytics
v320-005;nav.executiveAnalyticsHint;ar-EG;لوحة المؤشرات التنفيذية المجمعة عبر كافة الأنظمة
v320-006;nav.executiveAnalyticsHint;en-US;Executive cross-module KPI & BI dashboard
v320-007;analytics.eyebrow;ar-EG;الذكاء التنفيذي الشامل
v320-008;analytics.eyebrow;en-US;Cross-Module Business Intelligence
v320-009;analytics.tabOverview;ar-EG;نظرة عامة تنفيذية
v320-014;analytics.tabOverview;en-US;Executive Overview
v320-015;analytics.tabTrends;ar-EG;مقارنة الفترات والاتجاهات
v320-016;analytics.tabTrends;en-US;Period & Trends Comparison
v320-017;analytics.tabRegistry;ar-EG;سجل المؤشرات الدلالي
v320-018;analytics.tabRegistry;en-US;KPI Semantic Registry
v320-019;analytics.tabSnapshots;ar-EG;اللقطات والتسوية
v320-020;analytics.tabSnapshots;en-US;Snapshots & Reconciliation
v320-021;analytics.catFinancial;ar-EG;المؤشرات المالية
v320-022;analytics.catFinancial;en-US;Financial KPIs
v320-023;analytics.catCommercial;ar-EG;المؤشرات التجارية والمبيعات
v320-024;analytics.catCommercial;en-US;Commercial & Sales KPIs
v320-025;analytics.catOperations;ar-EG;العمليات وسلاسل الإمداد
v320-026;analytics.catOperations;en-US;Operations & Supply Chain
v320-027;analytics.catProjects;ar-EG;أداء المشاريع والتنفيذ
v320-028;analytics.catProjects;en-US;Projects & Execution
v320-029;analytics.catWorkforce;ar-EG;القوى العاملة والموارد البشرية
v320-030;analytics.catWorkforce;en-US;Workforce & HR
v320-031;analytics.catCompliance;ar-EG;الامتثال والمخاطر الضريبية
v320-032;analytics.catCompliance;en-US;Compliance & Tax Risk
v320-033;analytics.totalRevenue;ar-EG;إجمالي الإيرادات
v320-034;analytics.totalRevenue;en-US;Total Revenue
v320-035;analytics.totalOpex;ar-EG;المصروفات التشغيلية
v320-036;analytics.totalOpex;en-US;Total OPEX
