id;translation_key;locale;text_value
v354-001-ar;export.file.categories;ar-EG;الفئات
v354-001-en;export.file.categories;en-US;Categories
v354-002-ar;export.file.employees;ar-EG;الموظفون
v354-002-en;export.file.employees;en-US;Employees
v354-003-ar;export.file.imports;ar-EG;سجل-الاستيراد
v354-003-en;export.file.imports;en-US;Import Log
v354-004-ar;export.file.unmatched;ar-EG;هويات-غير-مربوطة
v354-004-en;export.file.unmatched;en-US;Unmatched Identities
v354-005-ar;export.file.parties;ar-EG;جهات-التعامل
v354-005-en;export.file.parties;en-US;Business Parties
v354-006-ar;export.file.fixed-assets;ar-EG;الأصول-الثابتة
v354-006-en;export.file.fixed-assets;en-US;Fixed Assets
v354-007-ar;export.file.inventory-valuation;ar-EG;تقييم-المخزون
v354-007-en;export.file.inventory-valuation;en-US;Inventory Valuation
v354-008-ar;export.file.trends;ar-EG;اتجاهات-متعددة-الفترات
v354-008-en;export.file.trends;en-US;Multi-Period Trends
v354-009-ar;export.file.clock-in-histogram;ar-EG;ساعات-الحضور-الأكثر-ازدحاماً
v354-009-en;export.file.clock-in-histogram;en-US;Peak Clock-In Hours
v354-010-ar;export.file.attendance-report;ar-EG;تقرير-الحضور
v354-010-en;export.file.attendance-report;en-US;Attendance Report
v354-011-ar;export.file.inventory-and-ledgers;ar-EG;المخزون-والحسابات
v354-011-en;export.file.inventory-and-ledgers;en-US;Inventory and Ledgers
