id;translation_key;locale;text_value
v283-001;executiveDashboard.title;ar-EG;لوحة تحكم الإدارة العليا للمشاريع والخزن (Executive Dashboard)
v283-002;executiveDashboard.title;en-US;Project & Treasury Executive Dashboard
v283-003;executiveDashboard.subtitle;ar-EG;مؤشرات الأداء اللحظية للخزن والبنوك والمشاريع والمستخلصات والتكاليف والربحية
v283-004;executiveDashboard.subtitle;en-US;Real-time KPIs covering Treasury, Banks, Project Portfolios, Claims, Costs & Profitability
v283-005;executiveDashboard.navTitle;ar-EG;لوحة الإدارة العليا
v283-006;executiveDashboard.navTitle;en-US;Executive Dashboard
v283-007;executiveDashboard.portfolioSummary;ar-EG;ملخص محفظة المشاريع
v283-008;executiveDashboard.portfolioSummary;en-US;Project Portfolio Summary
v283-009;executiveDashboard.activeProjects;ar-EG;المشاريع النشطة
v283-010;executiveDashboard.activeProjects;en-US;Active Projects
v283-011;executiveDashboard.totalContractValue;ar-EG;إجمالي قيمة العقود
v283-012;executiveDashboard.totalContractValue;en-US;Total Contract Value
v283-013;executiveDashboard.totalBudget;ar-EG;إجمالي الميزانيات المعتمدة
v283-014;executiveDashboard.totalBudget;en-US;Total Approved Budget
v283-015;executiveDashboard.totalCommitted;ar-EG;التكاليف المرتبطة (أوامر الشراء)
v283-016;executiveDashboard.totalCommitted;en-US;Total Committed Costs
v283-017;executiveDashboard.totalActualCost;ar-EG;إجمالي المصروفات الفعلية
v283-018;executiveDashboard.totalActualCost;en-US;Total Actual Costs
v283-019;executiveDashboard.totalRevenue;ar-EG;إجمالي الإيرادات المستحقة
v283-020;executiveDashboard.totalRevenue;en-US;Total Recognized Revenue
v283-021;executiveDashboard.portfolioMargin;ar-EG;هامش ربح المحفظة %
v283-022;executiveDashboard.portfolioMargin;en-US;Portfolio Gross Margin %
v283-023;executiveDashboard.portfolioProfit;ar-EG;مجمل ربح المحفظة
v283-024;executiveDashboard.portfolioProfit;en-US;Portfolio Gross Profit
v283-025;executiveDashboard.treasuryLiquidity;ar-EG;سيولة الخزن والبنوك (Treasury)
v283-026;executiveDashboard.treasuryLiquidity;en-US;Treasury, Banks & Cash Liquidity
v283-027;executiveDashboard.totalBankBalances;ar-EG;أرصدة الحسابات البنكية
v283-028;executiveDashboard.totalBankBalances;en-US;Total Bank Balances
v283-029;executiveDashboard.totalCashOnHand;ar-EG;النقدية بالخزن والعهد
v283-030;executiveDashboard.totalCashOnHand;en-US;Cash on Hand & Petty Cash
v283-031;executiveDashboard.totalUnclearedCheques;ar-EG;شيكات تحت التحصيل / الصرف
v283-032;executiveDashboard.totalUnclearedCheques;en-US;Uncleared Cheques
v283-033;executiveDashboard.netLiquidCapital;ar-EG;صافي السيولة النقدية المتاحة
v283-034;executiveDashboard.netLiquidCapital;en-US;Net Available Liquidity
v283-035;executiveDashboard.claimsReceivables;ar-EG;المستخلصات والمستحقات (Claims & AR)
v283-036;executiveDashboard.claimsReceivables;en-US;Progress Claims & Receivables
