id;key;locale;value
v195-001;about.apiVersion;en-US;API version
v195-002;about.apiVersion;ar-EG;إصدار الواجهة البرمجية
v195-003;about.buildNumber;en-US;Build number
v195-004;about.buildNumber;ar-EG;رقم البناء
v195-005;about.copyDiagnostics;en-US;Copy diagnostics
v195-006;about.copyDiagnostics;ar-EG;نسخ بيانات التشخيص
v195-007;about.environment;en-US;Environment
v195-008;about.environment;ar-EG;بيئة التشغيل
v195-009;about.gitCommit;en-US;Source revision
v195-010;about.gitCommit;ar-EG;مراجعة المصدر
v195-011;about.subtitle;en-US;Application and runtime information
v195-012;about.subtitle;ar-EG;معلومات التطبيق وبيئة التشغيل
v195-013;about.version;en-US;Application version
v195-014;about.version;ar-EG;إصدار التطبيق
v195-015;deviceIntegrations.communicationHint;en-US;Use the configured hub path to test device connectivity
v195-016;deviceIntegrations.communicationHint;ar-EG;استخدم مسار مركز الأجهزة المضبوط لاختبار الاتصال
v195-017;deviceIntegrations.communicationPath;en-US;Communication path
v195-018;deviceIntegrations.communicationPath;ar-EG;مسار الاتصال
v195-019;deviceIntegrations.communicationTitle;en-US;Device communication
v195-020;deviceIntegrations.communicationTitle;ar-EG;اتصال الأجهزة
v195-021;notificationsSend.activeUsers;en-US;Active users
v195-022;notificationsSend.activeUsers;ar-EG;المستخدمون النشطون
v195-023;notificationsSend.allApp;en-US;All application users
v195-024;notificationsSend.allApp;ar-EG;كل مستخدمي التطبيق
v195-025;notificationsSend.app;en-US;Application
v195-026;notificationsSend.app;ar-EG;التطبيق
v195-027;notificationsSend.description;en-US;Send a targeted business notification
v195-028;notificationsSend.description;ar-EG;إرسال إشعار أعمال موجه
v195-029;notificationsSend.excel;en-US;Import recipients from Excel
v195-030;notificationsSend.excel;ar-EG;استيراد المستلمين من إكسل
v195-031;notificationsSend.eyebrow;en-US;Communication center
v195-032;notificationsSend.eyebrow;ar-EG;مركز الاتصالات
v195-033;notificationsSend.targetMethod;en-US;Recipient selection method
v195-034;notificationsSend.targetMethod;ar-EG;طريقة اختيار المستلمين
v195-035;notificationsSend.title;en-US;Send notifications
v195-036;notificationsSend.title;ar-EG;إرسال الإشعارات
v195-037;notificationsSend.users;en-US;Selected users
v195-038;notificationsSend.users;ar-EG;المستخدمون المحددون
