id;translation_key;locale;text_value
v425-001;INS_PAYER_NOT_FOUND;ar-EG;جهة التأمين غير مسجلة بالنظام
v425-002;INS_PAYER_NOT_FOUND;en-US;Insurance payer not found in system
v425-003;INS_PLAN_NOT_FOUND;ar-EG;خطة التأمين غير مسجلة
v425-004;INS_PLAN_NOT_FOUND;en-US;Insurance plan not found
v425-005;INS_POLICY_EXPIRED;ar-EG;وثيقة التأمين منتهية الصلاحية
v425-006;INS_POLICY_EXPIRED;en-US;Insurance policy has expired
v425-007;INS_PRE_AUTH_REQUIRED;ar-EG;الموافقة المسبقة مطلوبة لإتمام هذا الإجراء التأميني
v425-008;INS_PRE_AUTH_REQUIRED;en-US;Pre-authorization approval code is required for this procedure
v425-009;INS_PRE_AUTH_NOT_FOUND;ar-EG;الموافقة المسبقة غير مسجلة
v425-010;INS_PRE_AUTH_NOT_FOUND;en-US;Pre-authorization not found
v425-011;INS_PRE_AUTH_NOT_APPROVED;ar-EG;طلب الموافقة المسبقة غير معتمد من جهة التأمين
v425-012;INS_PRE_AUTH_NOT_APPROVED;en-US;Pre-authorization is not approved by payer
v425-013;INS_CLAIM_BATCH_NOT_FOUND;ar-EG;دفعة المطالبات التأمينية غير موجودة
v425-014;INS_CLAIM_BATCH_NOT_FOUND;en-US;Insurance claim batch not found
v425-015;INS_CLAIM_LINE_NOT_FOUND;ar-EG;بند المطالبة التأمينية غير موجود
v425-016;INS_CLAIM_LINE_NOT_FOUND;en-US;Insurance claim line not found
v425-017;INS_CLAIM_BATCH_NOT_DRAFT;ar-EG;لا يمكن تعديل دفعة مطالبات بعد تقديمها
v425-018;INS_CLAIM_BATCH_NOT_DRAFT;en-US;Cannot modify claim batch after submission
v425-019;INS_SPLIT_CALCULATION_ERROR;ar-EG;خطأ في حساب نسب التحمل والتغطية التأمينية
v425-020;INS_SPLIT_CALCULATION_ERROR;en-US;Error calculating insurance coverage and copay split
v425-021;nav.clinicInsurance;ar-EG;التأمين والمطالبات
v425-022;nav.clinicInsurance;en-US;Insurance & Claims
v425-023;nav.clinicInsuranceHint;ar-EG;إدارة شركات التأمين والخطط والموافقات المسبقة والمطالبات الشهرية
v425-024;nav.clinicInsuranceHint;en-US;Manage insurance payers, plans, pre-authorizations, and monthly claims
v425-025;clinic.insuranceTitle;ar-EG;التأمين الطبي والمطالبات
v425-026;clinic.insuranceTitle;en-US;Medical Insurance & Claims
v425-027;clinic.insuranceSubtitle;ar-EG;إدارة جهات التأمين الصحي، عقود الشركات، نسب التحمل، الموافقات المسبقة، ودفعات المطالبات
v425-028;clinic.insuranceSubtitle;en-US;Manage health insurance payers, corporate plans, copay limits, pre-authorizations, and claims
v425-029;clinic.tabPayers;ar-EG;جهات وخطط التأمين
v425-030;clinic.tabPayers;en-US;Payers & Plans
v425-031;clinic.tabPreAuth;ar-EG;الموافقات المسبقة
v425-032;clinic.tabPreAuth;en-US;Pre-Authorizations
v425-033;clinic.tabClaims;ar-EG;دفعات المطالبات
v425-034;clinic.tabClaims;en-US;Claims & Batches
v425-035;clinic.payerName;ar-EG;اسم جهة التأمين
v425-036;clinic.payerName;en-US;Payer Name
v425-037;clinic.payerType;ar-EG;نوع الجهة
v425-038;clinic.payerType;en-US;Payer Type
v425-039;clinic.planName;ar-EG;اسم الخطة
v425-040;clinic.planName;en-US;Plan Name
v425-041;clinic.coveragePercent;ar-EG;نسبة التغطية %
v425-042;clinic.coveragePercent;en-US;Coverage %
v425-043;clinic.copayFlat;ar-EG;مبلغ التحمل الثابت
v425-044;clinic.copayFlat;en-US;Flat Copay
v425-045;clinic.annualLimit;ar-EG;الحد السنوي الأقصى
v425-046;clinic.annualLimit;en-US;Annual Max Limit
v425-047;clinic.exclusions;ar-EG;الاستثناءات
v425-048;clinic.exclusions;en-US;Exclusions
v425-049;clinic.memberNumber;ar-EG;رقم العضوية / الكارنيه
v425-050;clinic.memberNumber;en-US;Member / Card Number
v425-051;clinic.validFrom;ar-EG;ساري من
v425-052;clinic.validFrom;en-US;Valid From
v425-053;clinic.validTo;ar-EG;ساري حتى
v425-054;clinic.validTo;en-US;Valid To
v425-055;clinic.isPrimary;ar-EG;الوثيقة الأساسية
v425-056;clinic.isPrimary;en-US;Primary Policy
v425-057;clinic.approvalCode;ar-EG;كود الموافقة
v425-058;clinic.approvalCode;en-US;Approval Code
v425-059;clinic.requestedAmount;ar-EG;المبلغ المطلوب
v425-060;clinic.requestedAmount;en-US;Requested Amount
v425-061;clinic.approvedAmount;ar-EG;المبلغ المعتمد
v425-062;clinic.approvedAmount;en-US;Approved Amount
v425-063;clinic.decidedAt;ar-EG;تاريخ القرار
v425-064;clinic.decidedAt;en-US;Decided Date
v425-065;clinic.claimBatchNumber;ar-EG;رقم الدفعة
v425-066;clinic.claimBatchNumber;en-US;Batch Number
v425-067;clinic.period;ar-EG;الفترة
v425-068;clinic.period;en-US;Period
