id;translation_key;locale;text_value
v91a-ar-001;PROC_ORDER_NOT_DRAFT;ar-EG;لا يمكن تعديل سوى أوامر الشراء في حالة المسودة.
v91a-en-001;PROC_ORDER_NOT_DRAFT;en-US;Only draft purchase orders can be edited.
v91a-ar-002;PROC_ORDER_ISSUE_FROM_DRAFT;ar-EG;يمكن إصدار أمر الشراء من حالة مسودة فقط
v91a-en-002;PROC_ORDER_ISSUE_FROM_DRAFT;en-US;A purchase order can only be issued from the draft state.
v91a-ar-003;PROC_ORDER_RECEIVE_FROM_ISSUED;ar-EG;يمكن استلام أمر الشراء من حالة صادر فقط
v91a-en-003;PROC_ORDER_RECEIVE_FROM_ISSUED;en-US;A purchase order can only be received from the issued state.
v91a-ar-004;PROC_ORDER_ALREADY_CANCELLED;ar-EG;أمر الشراء ملغي بالفعل
v91a-en-004;PROC_ORDER_ALREADY_CANCELLED;en-US;The purchase order is already cancelled.
v91a-ar-005;PROC_GRN_OPEN_ORDER_ONLY;ar-EG;يمكن إضافة إذن استلام فقط لأوامر الشراء المفتوحة
v91a-en-005;PROC_GRN_OPEN_ORDER_ONLY;en-US;A goods receipt can only be added for open purchase orders.
v91a-ar-006;PROC_GRN_SUPPLIER_MISMATCH;ar-EG;يجب أن يطابق مورد إذن الاستلام مورد أمر الشراء.
v91a-en-006;PROC_GRN_SUPPLIER_MISMATCH;en-US;Goods receipt supplier must match the purchase order supplier.
v91a-ar-007;PROC_GRN_LINE_REQUIRED;ar-EG;يتطلب إذن الاستلام بنداً واحداً على الأقل.
v91a-en-007;PROC_GRN_LINE_REQUIRED;en-US;Goods receipt requires at least one line.
v91a-ar-008;PROC_GRN_LINE_WRONG_ORDER;ar-EG;بند إذن الاستلام لا ينتمي إلى أمر الشراء المحدد.
v91a-en-008;PROC_GRN_LINE_WRONG_ORDER;en-US;Goods receipt line does not belong to the selected purchase order.
v91a-ar-009;PROC_GRN_ITEM_MISMATCH;ar-EG;يجب أن يطابق صنف المخزون في إذن الاستلام البند الخاص به في أمر الشراء.
v91a-en-009;PROC_GRN_ITEM_MISMATCH;en-US;Goods receipt inventory item must match its purchase-order line.
