id;translation_key;locale;text_value
v231-001;PAYROLL_STATE_TRANSITION_INVALID;en-US;The requested payroll status transition is not allowed.
v231-002;PAYROLL_STATE_TRANSITION_INVALID;ar-EG;لا يُسمح بانتقال حالة الرواتب المطلوب.
v231-003;PAYROLL_PAYMENT_STATE_INVALID;en-US;Only a posted salary with frozen calculation evidence can be paid.
v231-004;PAYROLL_PAYMENT_STATE_INVALID;ar-EG;لا يمكن صرف الراتب إلا بعد ترحيله مع وجود دليل حساب مجمد.
v231-005;PAYROLL_REVERSAL_STATE_INVALID;en-US;Only a paid salary can be reversed.
v231-006;PAYROLL_REVERSAL_STATE_INVALID;ar-EG;لا يمكن عكس الراتب إلا بعد صرفه.
v231-007;PAYROLL_STALE_VERSION;en-US;The payroll row changed in another request. Reload it and try again.
v231-008;PAYROLL_STALE_VERSION;ar-EG;تم تغيير صف الرواتب في طلب آخر. أعد تحميله ثم حاول مرة أخرى.
v231-009;PAYROLL_BULK_NOT_PAYABLE;en-US;Bulk payment requires every selected payroll row to be posted and payable.
v231-010;PAYROLL_BULK_NOT_PAYABLE;ar-EG;يتطلب الصرف الجماعي أن تكون كل صفوف الرواتب المحددة مرحلة وقابلة للصرف.
v231-011;PAYROLL_REGISTER_EMPTY;en-US;The payroll register has no payable employees.
v231-012;PAYROLL_REGISTER_EMPTY;ar-EG;لا يحتوي كشف الرواتب على موظفين قابلين للصرف.
v231-013;payroll.calculatePeriod;en-US;Calculate and freeze
v231-014;payroll.calculatePeriod;ar-EG;حساب وتجميد
v231-015;payroll.reviewPeriod;en-US;Review payroll
v231-016;payroll.reviewPeriod;ar-EG;مراجعة الرواتب
