id;translation_key;locale;text_value
v244-001;support.feedbackFormKicker;en-US;Share your experience
v244-002;support.feedbackFormKicker;ar-EG;شاركنا تجربتك
v244-003;support.feedbackFormTitle;en-US;Send feedback or a suggestion
v244-004;support.feedbackFormTitle;ar-EG;إرسال ملاحظة أو اقتراح
v244-005;support.feedbackFormDescription;en-US;Tell us what happened, what could be better, or what you need next.
v244-006;support.feedbackFormDescription;ar-EG;أخبرنا بما حدث أو ما الذي يمكن تحسينه أو ما الذي تحتاجه لاحقاً.
v244-007;support.adminArea;en-US;Administration
v244-008;support.adminArea;ar-EG;الإدارة
v244-009;support.feedbackInbox;en-US;Feedback inbox
v244-010;support.feedbackInbox;ar-EG;صندوق الملاحظات
v244-011;support.feedbackInboxDescription;en-US;Review feedback submitted by users in this system, newest first.
v244-012;support.feedbackInboxDescription;ar-EG;راجع ملاحظات المستخدمين مرتبة من الأحدث إلى الأقدم.
v244-013;support.feedbackFrom;en-US;Submitted by
v244-014;support.feedbackFrom;ar-EG;أرسلها
v244-015;support.feedbackRoute;en-US;Screen
v244-016;support.feedbackRoute;ar-EG;الشاشة
v244-017;support.feedbackStatus;en-US;Status
v244-018;support.feedbackStatus;ar-EG;الحالة
v244-019;support.feedbackRating;en-US;Rating
v244-020;support.feedbackRating;ar-EG;التقييم
v244-021;support.feedbackEmpty;en-US;No user feedback has been submitted yet.
v244-022;support.feedbackEmpty;ar-EG;لا توجد ملاحظات من المستخدمين حتى الآن.
v244-023;support.health.summary;en-US;A 100-point signal based on activation, usage, adoption, data, operations, support, and subscription evidence.
v244-024;support.health.summary;ar-EG;مؤشر من 100 نقطة يلخص التفعيل والاستخدام وتبني المسارات وجاهزية البيانات والاستقرار والدعم وحالة الاشتراك.
v244-025;support.health.currentAssessment;en-US;Current assessment
v244-026;support.health.currentAssessment;ar-EG;التقييم الحالي
v244-027;support.health.lastUpdated;en-US;Last updated
v244-028;support.health.lastUpdated;ar-EG;آخر تحديث
v244-029;support.health.reviewAction;en-US;Review details
v244-030;support.health.reviewAction;ar-EG;مراجعة التفاصيل
v244-031;support.health.noSnapshotTitle;en-US;No customer-success snapshot yet
v244-032;support.health.noSnapshotTitle;ar-EG;لم يتم حساب مؤشر نجاح العميل بعد
v244-033;support.health.noSnapshotDescription;en-US;Update the indicator to create the first evidence-based assessment.
v244-034;support.health.noSnapshotDescription;ar-EG;اضغط تحديث المؤشر لإنشاء أول تقييم مبني على بيانات الاستخدام والدعم والاشتراك.
v244-035;support.health.band.healthy;en-US;Stable
v244-036;support.health.band.healthy;ar-EG;مستقر
v244-037;support.health.band.watch;en-US;Needs attention
v244-038;support.health.band.watch;ar-EG;يحتاج متابعة
v244-039;support.health.band.atrisk;en-US;At risk
v244-040;support.health.band.atrisk;ar-EG;معرض للخطر
