id;translation_key;locale;text_value
v336-001;policy.tierPresets;en-US;Preset Tiers
v336-002;policy.tierPresets;ar-EG;مستويات الوصول الجاهزة
v336-003;policy.tierViewOnly;en-US;View-Only
v336-004;policy.tierViewOnly;ar-EG;عرض فقط
v336-005;policy.tierManage;en-US;Manage
v336-006;policy.tierManage;ar-EG;إدارة وعمليات
v336-007;policy.tierApprover;en-US;Approver
v336-008;policy.tierApprover;ar-EG;مراجعة واعتماد
v336-009;policy.tierFullControl;en-US;Full Control
v336-010;policy.tierFullControl;ar-EG;تحكم كامل
v336-011;policy.tierClear;en-US;Clear All
v336-012;policy.tierClear;ar-EG;مسح الكل
v336-013;vertical.title;en-US;Company Business Vertical Setup
v336-014;vertical.title;ar-EG;تهيئة النشاط والقطاع التجاري
v336-015;vertical.subtitle;en-US;Select your company's core business vertical to automatically configure matching modules and default policy groups.
v336-016;vertical.subtitle;ar-EG;اختر قطاع عمل مؤسستك لتفعيل الموديولات ومجموعات الصلاحيات الافتراضية المناسبة لنشاطك تلقائياً.
v336-017;vertical.general;en-US;General Enterprise
v336-018;vertical.general;ar-EG;مؤسسة متعددة الأنشطة
v336-019;vertical.generalDesc;en-US;Core ERP features including financial accounting, HR, and standard operations.
v336-020;vertical.generalDesc;ar-EG;نظام ERP شامل يضم الحسابات المالية والموارد البشرية والعمليات العامة.
v336-021;vertical.medical;en-US;Medical & Healthcare
v336-022;vertical.medical;ar-EG;المراكز الطبية والرعاية الصحية
v336-023;vertical.medicalDesc;en-US;Configured for healthcare centers, clinics, doctors, patient schedules, and medical procurement.
v336-024;vertical.medicalDesc;ar-EG;مخصص للمستشفيات والمراكز الطبية والعيادات مع مشتريات الأدوية والأطباء.
v336-025;vertical.civil;en-US;Construction & Contracting
v336-026;vertical.civil;ar-EG;المقاولات والهندسة المدنية
v336-027;vertical.civilDesc;en-US;Project WBS, BOQ, site daily reports (DPR), subcontractor claims, and retention tracking.
v336-028;vertical.civilDesc;ar-EG;إدارة المشروعات، وجداول الكميات، والتقارير اليومية (DPR)، ومستخلصات مقاولي الباطن.
v336-029;vertical.retail;en-US;Retail & Trading
v336-030;vertical.retail;ar-EG;التجارة والتجزئة ونقاط البيع
v336-031;vertical.retailDesc;en-US;Point of Sale (POS), van sales, inventory replenishment, barcode scanning, and multi-branch registers.
v336-032;vertical.retailDesc;ar-EG;نقاط البيع، ومبيعات سيارات التوزيع، وإعادة تموين المخازن، والباركود، والخزائن.
v336-033;vertical.manufacturing;en-US;Manufacturing & Production
v336-034;vertical.manufacturingDesc;ar-EG;التصنيع والإنتاج الصناعي
v336-035;vertical.manufacturingDesc;en-US;Multi-level Bill of Materials (BOM), work orders, routing stages, machine downtime, and landed costs.
v336-036;vertical.manufacturing;ar-EG;التصنيع والإنتاج
v336-037;vertical.services;en-US;Professional Services
v336-038;vertical.services;ar-EG;الخدمات والاستشارات المهنية
v336-039;vertical.servicesDesc;en-US;Timesheets, client engagements, milestone billing, and operational consulting.
v336-040;vertical.servicesDesc;ar-EG;ساعات العمل، والمشروعات الخدمية، والفوترة بالمراحل، والاستشارات.
v336-041;vertical.saveSuccess;en-US;Business vertical configured successfully
v336-042;vertical.saveSuccess;ar-EG;تم تحديث وتهيئة قطاع النشاط بنجاح
v336-043;vertical.switchWarning;en-US;Switching business vertical will adapt active modules and provision standard policy groups.
v336-044;vertical.switchWarning;ar-EG;تغيير قطاع النشاط سيقوم بتهيئة الموديولات النشطة وإنشاء مجموعات الصلاحيات الافتراضية.
v336-045;vertical.apply;en-US;Apply Vertical Setup
v336-046;vertical.apply;ar-EG;تطبيق تهيئة القطاع
v336-047;vertical.current;en-US;Current Active Vertical
v336-048;vertical.current;ar-EG;القطاع النشط حالياً
