id;translation_key;locale;text_value
v255-001;entitlements.feature.employeeAttendance;en-US;Employee attendance
v255-002;entitlements.feature.employeeAttendance;ar-EG;حضور الموظفين
v255-003;entitlements.feature.biometricLiveSync;en-US;Biometric live sync
v255-004;entitlements.feature.biometricLiveSync;ar-EG;مزامنة البصمة المباشرة
v255-005;entitlements.feature.payroll;en-US;Payroll
v255-006;entitlements.feature.payroll;ar-EG;الرواتب
v255-007;entitlements.feature.purchasing;en-US;Purchasing
v255-008;entitlements.feature.purchasing;ar-EG;الشراء
v255-009;entitlements.feature.inventoryAdvanced;en-US;Advanced inventory
v255-010;entitlements.feature.inventoryAdvanced;ar-EG;المخزون المتقدم
v255-011;entitlements.feature.sales;en-US;Sales
v255-012;entitlements.feature.sales;ar-EG;المبيعات
v255-013;entitlements.feature.manufacturing;en-US;Manufacturing
v255-014;entitlements.feature.manufacturing;ar-EG;التصنيع
v255-015;entitlements.feature.quality;en-US;Quality
v255-016;entitlements.feature.quality;ar-EG;الجودة
v255-017;entitlements.feature.exports;en-US;Exports
v255-018;entitlements.feature.exports;ar-EG;التصدير
v255-019;entitlements.feature.navigationFavorites;en-US;Favorite navigation
v255-020;entitlements.feature.navigationFavorites;ar-EG;التنقلات المفضلة
