id;translation_key;locale;text_value
v115-001;shortcuts.settingsTitle;ar-EG;"اختصارات لوحة المفاتيح"
v115-002;shortcuts.settingsTitle;en-US;"Keyboard shortcuts"
v115-003;shortcuts.settingsDescription;ar-EG;"اختر اختصاراً يبدأ بحرف G للوصول إلى الصفحات المتاحة لحسابك."
v115-004;shortcuts.settingsDescription;en-US;"Choose a G shortcut for screens available to your account."
v115-005;shortcuts.personalTitle;ar-EG;"اختصارات الصفحات الشخصية"
v115-006;shortcuts.personalTitle;en-US;"Personal screen shortcuts"
v115-007;shortcuts.fixedTitle;ar-EG;"اختصارات النظام الثابتة"
v115-008;shortcuts.fixedTitle;en-US;"Fixed application shortcuts"
v115-009;shortcuts.add;ar-EG;"إضافة اختصار"
v115-010;shortcuts.add;en-US;"Add shortcut"
v115-011;shortcuts.remove;ar-EG;"حذف"
v115-012;shortcuts.remove;en-US;"Remove"
v115-013;shortcuts.save;ar-EG;"حفظ التغييرات"
v115-014;shortcuts.save;en-US;"Save changes"
v115-015;shortcuts.saved;ar-EG;"تم حفظ اختصارات لوحة المفاتيح بنجاح."
v115-016;shortcuts.saved;en-US;"Keyboard shortcuts saved successfully."
v115-017;shortcuts.reset;ar-EG;"استعادة الافتراضيات"
v115-018;shortcuts.reset;en-US;"Reset to recommended defaults"
v115-019;shortcuts.resetTitle;ar-EG;"تأكيد استعادة الافتراضيات"
v115-020;shortcuts.resetTitle;en-US;"Confirm reset defaults"
v115-021;shortcuts.resetMessage;ar-EG;"سيتم حذف الاختصارات المخصصة واستعادة الاختصارات الافتراضية المقترحة."
v115-022;shortcuts.resetMessage;en-US;"Your custom shortcuts will be removed and the recommended defaults will be restored."
v115-023;shortcuts.resetConfirm;ar-EG;"نعم، استعد الافتراضيات"
v115-024;shortcuts.resetConfirm;en-US;"Yes, reset to defaults"
v115-025;shortcuts.resetSuccess;ar-EG;"تمت استعادة الاختصارات الافتراضية بنجاح."
v115-026;shortcuts.resetSuccess;en-US;"Default shortcuts restored successfully."
v115-027;shortcuts.pressKey;ar-EG;"اضغط حرفاً أو رقماً"
v115-028;shortcuts.pressKey;en-US;"Press a letter or number"
v115-029;shortcuts.invalidKey;ar-EG;"مفتاح غير صالح. يرجى اختيار حرف من A-Z أو رقم من 0-9."
v115-030;shortcuts.invalidKey;en-US;"Invalid key. Please press a letter A-Z or digit 0-9."
v115-031;shortcuts.duplicateKey;ar-EG;"هذا المفتاح مستخدم بالفعل لاختصار آخر."
v115-032;shortcuts.duplicateKey;en-US;"This key is already assigned to another shortcut."
v115-033;shortcuts.duplicateDestination;ar-EG;"هذه الصفحة مختارة بالفعل لاختصار آخر."
v115-034;shortcuts.duplicateDestination;en-US;"This destination page is already assigned to another shortcut."
v115-035;shortcuts.destination;ar-EG;"الصفحة الهدف"
v115-036;shortcuts.destination;en-US;"Destination page"
v115-037;shortcuts.key;ar-EG;"المفتاح"
v115-038;shortcuts.key;en-US;"Shortcut key"
v115-039;shortcuts.status;ar-EG;"الحالة"
v115-040;shortcuts.status;en-US;"Status"
v115-041;shortcuts.enabled;ar-EG;"مفعل"
v115-042;shortcuts.enabled;en-US;"Enabled"
v115-043;shortcuts.defaultBadge;ar-EG;"افتراضي"
v115-044;shortcuts.defaultBadge;en-US;"Default"
v115-045;shortcuts.customBadge;ar-EG;"مخصص"
v115-046;shortcuts.customBadge;en-US;"Custom"
