id;translation_key;locale;text_value
t-000001-ar;ACCESS_CONFLICT_BLOCKED;ar-EG;الأدوار المختارة تخالف قاعدة فصل المهام.
t-000001-en;ACCESS_CONFLICT_BLOCKED;en-US;The selected roles violate a segregation-of-duties rule.
t-000002-ar;ACCESS_PERMISSION_DENIED;ar-EG;ليس لديك الصلاحية اللازمة لتنفيذ هذه العملية
t-000002-en;ACCESS_PERMISSION_DENIED;en-US;You do not have the required permission to execute this operation
t-000003-ar;ACCESS_PERMISSION_SUBSET_VIOLATION;ar-EG;لا يمكنك منح صلاحيات لا تمتلكها.
t-000003-en;ACCESS_PERMISSION_SUBSET_VIOLATION;en-US;You cannot grant permissions that you do not possess.
t-000004-ar;ACCESS_SELF_ROLE_MODIFICATION;ar-EG;لا يمكنك تغيير أدوارك الخاصة.
t-000004-en;ACCESS_SELF_ROLE_MODIFICATION;en-US;You cannot change your own roles.
t-000005-ar;ACCESS_UNKNOWN_ROLE;ar-EG;واحد أو أكثر من الأدوار المختارة غير معروف.
t-000005-en;ACCESS_UNKNOWN_ROLE;en-US;One or more of the selected roles are not recognized.
t-000006-ar;ACCOUNT_NOT_FOUND;ar-EG;أحد الحسابات في القيد غير موجود.
t-000006-en;ACCOUNT_NOT_FOUND;en-US;One of the accounts in the entry does not exist.
t-000007-ar;ACCOUNT_TEMPORARILY_LOCKED;ar-EG;الحساب مقفل مؤقتاً بسبب محاولات تسجيل دخول خاطئة متكررة.
t-000007-en;ACCOUNT_TEMPORARILY_LOCKED;en-US;The account is temporarily locked due to repeated failed login attempts.
t-000008-ar;ADMISSION_ALREADY_DISCHARGED;ar-EG;تم خروج المريض بالفعل من المستشفى
t-000008-en;ADMISSION_ALREADY_DISCHARGED;en-US;Patient has already been discharged
t-000009-ar;ADMISSION_ALREADY_OPEN;ar-EG;المريض لديه بالفعل إقامة مفتوحة حالياً بالمستشفى
t-000009-en;ADMISSION_ALREADY_OPEN;en-US;Patient already has an active open admission
t-000010-ar;ADMISSION_NOT_FOUND;ar-EG;سجل التنويم / الإقامة بالمستشفى غير موجود
t-000010-en;ADMISSION_NOT_FOUND;en-US;Hospital admission record not found
t-000011-ar;ADVANCE_AMOUNT_POSITIVE_REQUIRED;ar-EG;يجب أن يكون مبلغ السلفة أكبر من صفر.
t-000011-en;ADVANCE_AMOUNT_POSITIVE_REQUIRED;en-US;The advance amount must be greater than zero.
t-000012-ar;ADVANCE_BENEFICIARY_REQUIRED;ar-EG;اختر المستفيد من السلفة.
t-000012-en;ADVANCE_BENEFICIARY_REQUIRED;en-US;Select the advance beneficiary.
t-000013-ar;ADVANCE_BENEFICIARY_TYPE_INVALID;ar-EG;نوع المستفيد غير صالح.
t-000013-en;ADVANCE_BENEFICIARY_TYPE_INVALID;en-US;The beneficiary type is invalid.
t-000014-ar;ADVANCE_CATEGORY_NOT_ALLOWED;ar-EG;فئة هذا الموظف لا تسمح بصرف السلف.
t-000014-en;ADVANCE_CATEGORY_NOT_ALLOWED;en-US;This employee's category does not allow advances to be issued.
t-000015-ar;ADVANCE_FIRST_INSTALLMENT_DATE_INVALID;ar-EG;تاريخ أول قسط غير صالح.
t-000015-en;ADVANCE_FIRST_INSTALLMENT_DATE_INVALID;en-US;The first installment date is invalid.
t-000016-ar;ADVANCE_INACTIVE_EMPLOYEE;ar-EG;لا يمكن صرف سلفة لموظف غير نشط.
t-000016-en;ADVANCE_INACTIVE_EMPLOYEE;en-US;An advance cannot be issued to an inactive employee.
t-000017-ar;ADVANCE_MANUAL_NOT_DUE;ar-EG;الخصم اليدوي متاح فقط عندما تكون سياسة الخصم المعتمدة في الوضع اليدوي
t-000017-en;ADVANCE_MANUAL_NOT_DUE;en-US;Manual deduction is only available when the resolved policy mode is MANUAL
t-000018-ar;ADVANCE_NOTHING_DUE;ar-EG;لا توجد أقساط سلف مستحقة على هذا الموظف في الفترة الحالية
t-000018-en;ADVANCE_NOTHING_DUE;en-US;No advance installment is due for this employee in the current period
t-000019-ar;ADVANCE_NOT_FOUND;ar-EG;السلفة غير موجودة
t-000019-en;ADVANCE_NOT_FOUND;en-US;The advance does not exist.
t-000020-ar;ADVANCE_POLICY_DATE_INVALID;ar-EG;تاريخ بداية أو نهاية السياسة غير صالح.
t-000020-en;ADVANCE_POLICY_DATE_INVALID;en-US;The policy start or end date is invalid.
t-000021-ar;ADVANCE_POLICY_DEDUCTION_PERCENT_RANGE;ar-EG;نسبة الخصم يجب أن تكون بين 1 و100.
t-000021-en;ADVANCE_POLICY_DEDUCTION_PERCENT_RANGE;en-US;The deduction percentage must be between 1 and 100.
t-000022-ar;ADVANCE_POLICY_EFFECTIVE_DATE_INVALID;ar-EG;تاريخ السياسة غير صالح.
t-000022-en;ADVANCE_POLICY_EFFECTIVE_DATE_INVALID;en-US;The policy date is invalid.
t-000023-ar;ADVANCE_POLICY_END_BEFORE_START;ar-EG;نهاية السياسة لا يمكن أن تسبق بدايتها.
t-000023-en;ADVANCE_POLICY_END_BEFORE_START;en-US;The policy end date cannot precede its start date.
t-000024-ar;ADVANCE_POLICY_EXCEPTION_TARGET_REQUIRED;ar-EG;اختر الفئة أو العامل أو الموظف للاستثناء.
t-000024-en;ADVANCE_POLICY_EXCEPTION_TARGET_REQUIRED;en-US;Select the category, worker, or employee for the exception.
t-000025-ar;ADVANCE_POLICY_EXISTS;ar-EG;توجد نسخة سياسة سلف مفتوحة بتاريخ سريان أحدث لهذا النطاق
t-000025-en;ADVANCE_POLICY_EXISTS;en-US;An open advance-policy version with a later effective date already exists for this scope
t-000026-ar;ADVANCE_POLICY_INVALID;ar-EG;قيم سياسة الخصم غير صالحة - راجع وضع الخصم والدورية والفترة المرجعية
t-000026-en;ADVANCE_POLICY_INVALID;en-US;Deduction policy values are invalid - check the mode, cadence and period reference
t-000027-ar;ADVANCE_POLICY_NOT_FOUND;ar-EG;لا توجد سياسة سلف فعالة للمستفيد في التاريخ المحدد.
t-000027-en;ADVANCE_POLICY_NOT_FOUND;en-US;No active advance policy exists for the beneficiary on the specified date.
t-000028-ar;ADVANCE_POLICY_SCOPE_INVALID;ar-EG;نطاق سياسة السلف غير صالح.
t-000028-en;ADVANCE_POLICY_SCOPE_INVALID;en-US;The advance policy scope is invalid.
t-000029-ar;ADVANCE_REPAYMENT_AMOUNT_POSITIVE;ar-EG;يجب أن يكون مبلغ السداد أكبر من صفر
t-000029-en;ADVANCE_REPAYMENT_AMOUNT_POSITIVE;en-US;The repayment amount must be greater than zero.
t-000030-ar;ADVANCE_REPAYMENT_EXCEEDS_BALANCE;ar-EG;مبلغ السداد لا يمكن أن يتجاوز الرصيد المتبقي
t-000030-en;ADVANCE_REPAYMENT_EXCEEDS_BALANCE;en-US;Repayment amount cannot exceed the remaining balance
t-000031-ar;ADVANCE_REPAYMENT_FULL_MISMATCH;ar-EG;عند السداد الكامل يجب أن يساوي المبلغ الرصيد المتبقي
t-000031-en;ADVANCE_REPAYMENT_FULL_MISMATCH;en-US;For full repayment the amount must equal the remaining balance
t-000032-ar;ALLERGY_SUBSTANCE_REQUIRED;ar-EG;اسم المادة المسببة للحساسية مطلوب
t-000032-en;ALLERGY_SUBSTANCE_REQUIRED;en-US;Allergy substance or allergen name is required
t-000033-ar;ANALYTICS_DATASET_NOT_FOUND;ar-EG;مجموعة البيانات المطلوبة غير موجودة في سجل النماذج.
t-000033-en;ANALYTICS_DATASET_NOT_FOUND;en-US;Requested dataset was not found in model registry.
t-000034-ar;ANALYTICS_FEATURE_DISABLED;ar-EG;ميزة المساعد الذكي غير مفعلة لهذا الحساب.
t-000034-en;ANALYTICS_FEATURE_DISABLED;en-US;AI Assistant feature is disabled for this account.
