id;translation_key;locale;text_value
v365-001-en;treasury.printCheque;en-US;Print Cheque
v365-001-ar;treasury.printCheque;ar-EG;طباعة الشيك
v365-002-en;treasury.printChequeHint;en-US;Open print preview for this cheque
v365-002-ar;treasury.printChequeHint;ar-EG;فتح معاينة الطباعة لهذا الشيك
v365-003-en;treasury.printPreview;en-US;Print Preview
v365-003-ar;treasury.printPreview;ar-EG;معاينة الطباعة
v365-004-en;treasury.payeeLabel;en-US;Pay to the order of
v365-004-ar;treasury.payeeLabel;ar-EG;ادفع لأمر
v365-005-en;treasury.amountInWords;en-US;Amount in Words
v365-005-ar;treasury.amountInWords;ar-EG;المبلغ بالحروف
v365-006-en;treasury.amountInDigits;en-US;Amount in Digits
v365-006-ar;treasury.amountInDigits;ar-EG;المبلغ بالأرقام
v365-007-en;treasury.chequeDate;en-US;Date
v365-007-ar;treasury.chequeDate;ar-EG;التاريخ
v365-008-en;treasury.chequeNumberLabel;en-US;Cheque Number
v365-008-ar;treasury.chequeNumberLabel;ar-EG;رقم الشيك
v365-009-en;treasury.bankLabel;en-US;Bank
v365-009-ar;treasury.bankLabel;ar-EG;البنك
v365-010-en;treasury.printNow;en-US;Print Now
v365-010-ar;treasury.printNow;ar-EG;طباعة الآن
v365-011-en;treasury.printLayouts;en-US;Cheque Layouts
v365-011-ar;treasury.printLayouts;ar-EG;تخطيطات الشيكات
v365-012-en;treasury.printLayoutHint;en-US;Configure print positions for each bank cheque
v365-012-ar;treasury.printLayoutHint;ar-EG;تكوين مواقع الطباعة لشيك كل بنك
v365-013-en;treasury.crossingLines;en-US;Crossing Lines
v365-013-ar;treasury.crossingLines;ar-EG;خطوط الاقتطاع
v365-014-en;treasury.layoutPayeeX;en-US;Payee X Position
v365-014-ar;treasury.layoutPayeeX;ar-EG;موضع المستفيد أفقياً
v365-015-en;treasury.layoutPayeeY;en-US;Payee Y Position
v365-015-ar;treasury.layoutPayeeY;ar-EG;موضع المستفيد عمودياً
v365-016-en;treasury.layoutDateX;en-US;Date X Position
v365-016-ar;treasury.layoutDateX;ar-EG;موضع التاريخ أفقياً
v365-017-en;treasury.layoutDateY;en-US;Date Y Position
v365-017-ar;treasury.layoutDateY;ar-EG;موضع التاريخ عمودياً
v365-018-en;treasury.layoutAmountWordsX;en-US;Words X Position
v365-018-ar;treasury.layoutAmountWordsX;ar-EG;موضع المبلغ بالحروف أفقياً
v365-019-en;treasury.layoutAmountWordsY;en-US;Words Y Position
v365-019-ar;treasury.layoutAmountWordsY;ar-EG;موضع المبلغ بالحروف عمودياً
v365-020-en;treasury.layoutAmountDigitsX;en-US;Digits X Position
v365-020-ar;treasury.layoutAmountDigitsX;ar-EG;موضع المبلغ بالأرقام أفقياً
v365-021-en;treasury.layoutAmountDigitsY;en-US;Digits Y Position
v365-021-ar;treasury.layoutAmountDigitsY;ar-EG;موضع المبلغ بالأرقام عمودياً
v365-022-en;treasury.layoutBankCode;en-US;Bank Code
v365-022-ar;treasury.layoutBankCode;ar-EG;رمز البنك
v365-023-en;treasury.layoutBankName;en-US;Bank Name
v365-023-ar;treasury.layoutBankName;ar-EG;اسم البنك
v365-024-en;treasury.layoutWidth;en-US;Width
v365-024-ar;treasury.layoutWidth;ar-EG;العرض
v365-025-en;CHEQUE_LAYOUT_NOT_FOUND;en-US;Cheque layout not found for the specified bank
v365-025-ar;CHEQUE_LAYOUT_NOT_FOUND;ar-EG;لم يتم العثور على تخطيط الشيك للبنك المحدد
v365-026-en;CHEQUE_PRINT_FAILED;en-US;Failed to generate cheque print view
v365-026-ar;CHEQUE_PRINT_FAILED;ar-EG;فشل في إنشاء عرض طباعة الشيك
v365-027-en;treasury.noLayouts;en-US;No cheque layouts configured
v365-027-ar;treasury.noLayouts;ar-EG;لم يتم تكوين تخطيطات شيكات
v365-028-en;treasury.layoutSaved;en-US;Layout saved successfully
v365-028-ar;treasury.layoutSaved;ar-EG;تم حفظ التخطيط بنجاح
v365-029-en;treasury.layoutDefault;en-US;Default
v365-029-ar;treasury.layoutDefault;ar-EG;افتراضي
v365-030-en;treasury.egp;en-US;EGP
v365-030-ar;treasury.egp;ar-EG;ج.م
