id;translation_key;locale;text_value
v347-001;ASSET_COST_INVALID;ar-EG;تكلفة الاقتناء يجب أن تكون أكبر من صفر
v347-002;ASSET_COST_INVALID;en-US;Acquisition cost must be greater than zero
v347-003;ASSET_SALVAGE_INVALID;ar-EG;القيمة التخريدية يجب أن تكون صفرًا أو أكثر وأقل من تكلفة الاقتناء
v347-004;ASSET_SALVAGE_INVALID;en-US;Salvage value must be zero or more but less than the acquisition cost
v347-005;ASSET_LIFE_INVALID;ar-EG;العمر الإنتاجي يجب أن يكون بين شهر و480 شهرًا
v347-006;ASSET_LIFE_INVALID;en-US;Useful life must be between 1 and 480 months
v347-007;ASSET_DISPOSAL_INVALID;ar-EG;لا يمكن استبعاد هذا الأصل في حالته الحالية
v347-008;ASSET_DISPOSAL_INVALID;en-US;This asset cannot be disposed of in its current state
v347-009;ASSET_NOT_FOUND;ar-EG;الأصل الثابت غير موجود
v347-010;ASSET_NOT_FOUND;en-US;Fixed asset not found
v347-011;ASSET_CATEGORY_INVALID;ar-EG;فئة الأصل غير معروفة
v347-012;ASSET_CATEGORY_INVALID;en-US;Unknown asset category
v347-013;ASSET_VERSION_CONFLICT;ar-EG;تم تعديل الأصل من مستخدم آخر، أعد التحميل وحاول مرة أخرى
v347-014;ASSET_VERSION_CONFLICT;en-US;The asset was changed by someone else. Reload and try again
v347-015;ASSET_RUN_IN_PROGRESS;ar-EG;جارٍ تنفيذ تشغيل الإهلاك بالفعل
v347-016;ASSET_RUN_IN_PROGRESS;en-US;A depreciation run is already in progress
v347-017;nav.fixedAssets;ar-EG;الأصول الثابتة
v347-018;nav.fixedAssets;en-US;Fixed assets
v347-019;nav.fixedAssetsHint;ar-EG;سجل الأصول والإهلاك الشهري والاستبعاد
v347-020;nav.fixedAssetsHint;en-US;Asset register, monthly depreciation and disposals
v347-021;access.pages.fixed-assets;ar-EG;الأصول الثابتة
v347-022;access.pages.fixed-assets;en-US;Fixed assets
v347-023;asset.subtitle;ar-EG;إهلاك بالقسط الثابت مع قيود نهاية الشهر
v347-024;asset.subtitle;en-US;Straight-line depreciation with month-end journals
v347-025;asset.name;ar-EG;اسم الأصل
v347-026;asset.name;en-US;Asset name
v347-027;asset.category;ar-EG;الفئة
v347-028;asset.category;en-US;Category
v347-029;asset.acquisitionDate;ar-EG;تاريخ الاقتناء
v347-030;asset.acquisitionDate;en-US;Acquisition date
v347-031;asset.acquisitionCost;ar-EG;تكلفة الاقتناء
v347-032;asset.acquisitionCost;en-US;Acquisition cost
v347-033;asset.salvageValue;ar-EG;القيمة التخريدية
v347-034;asset.salvageValue;en-US;Salvage value
v347-035;asset.usefulLifeMonths;ar-EG;العمر الإنتاجي (أشهر)
v347-036;asset.usefulLifeMonths;en-US;Useful life (months)
v347-037;asset.monthlyCharge;ar-EG;القسط الشهري
v347-038;asset.monthlyCharge;en-US;Monthly charge
v347-039;asset.accumulatedDepreciation;ar-EG;الإهلاك المتراكم
v347-040;asset.accumulatedDepreciation;en-US;Accumulated depreciation
v347-041;asset.netBookValue;ar-EG;القيمة الدفترية الصافية
v347-042;asset.netBookValue;en-US;Net book value
v347-043;asset.lastPostedMonth;ar-EG;آخر شهر مُرحَّل
v347-044;asset.lastPostedMonth;en-US;Last posted month
v347-045;asset.status;ar-EG;الحالة
v347-046;asset.status;en-US;Status
v347-047;asset.branch;ar-EG;الفرع
v347-048;asset.branch;en-US;Branch
v347-049;asset.costCenter;ar-EG;مركز التكلفة
v347-050;asset.costCenter;en-US;Cost center
v347-051;category.vehicle;ar-EG;مركبة
v347-052;category.vehicle;en-US;Vehicle
v347-053;category.machinery;ar-EG;آلات
v347-054;category.machinery;en-US;Machinery
v347-055;category.equipment;ar-EG;عتاد
v347-056;category.equipment;en-US;Equipment
v347-057;category.building;ar-EG;مبنى
v347-058;category.building;en-US;Building
v347-059;category.other;ar-EG;أخرى
v347-060;category.other;en-US;Other
v347-061;status.active;ar-EG;نشط
v347-062;status.active;en-US;Active
v347-063;status.fullyDepreciated;ar-EG;مُهلك بالكامل
v347-064;status.fullyDepreciated;en-US;Fully depreciated
v347-065;status.disposed;ar-EG;مستبعد
v347-066;status.disposed;en-US;Disposed
v347-067;asset.add;ar-EG;إضافة أصل
v347-068;asset.add;en-US;Add asset
v347-069;asset.edit;ar-EG;تعديل الأصل
v347-070;asset.edit;en-US;Edit asset
v347-071;asset.dispose;ar-EG;استبعاد
v347-072;asset.dispose;en-US;Dispose
v347-073;asset.disposeTitle;ar-EG;استبعاد الأصل
v347-074;asset.disposeTitle;en-US;Dispose asset
v347-075;asset.disposeHint;ar-EG;يُسجَّل قيد استبعاد متوازن بالإهلاك المتراكم والمتحصلات والربح أو الخسارة مقابل التكلفة الأصلية
v347-076;asset.disposeHint;en-US;Books a balanced disposal journal with accumulated depreciation, proceeds and gain or loss against original cost
v347-077;asset.disposalDate;ar-EG;تاريخ الاستبعاد
v347-078;asset.disposalDate;en-US;Disposal date
v347-079;asset.proceeds;ar-EG;متحصلات الاستبعاد
v347-080;asset.proceeds;en-US;Disposal proceeds
v347-081;asset.gainOrLoss;ar-EG;ربح أو خسارة الاستبعاد
v347-082;asset.gainOrLoss;en-US;Gain or loss on disposal
v347-083;asset.journalEntry;ar-EG;القيد المحاسبي
v347-084;asset.journalEntry;en-US;Journal entry
v347-085;asset.runDepreciation;ar-EG;تشغيل الإهلاك
v347-086;asset.runDepreciation;en-US;Run depreciation
v347-087;asset.runMonth;ar-EG;شهر الإهلاك
v347-088;asset.runMonth;en-US;Depreciation month
v347-089;asset.resultsTitle;ar-EG;نتائج تشغيل الإهلاك
v347-090;asset.resultsTitle;en-US;Depreciation run results
v347-091;asset.journalsPosted;ar-EG;القيود المُرحَّلة
v347-092;asset.journalsPosted;en-US;Journals posted
v347-093;asset.totalCharge;ar-EG;إجمالي القسط
v347-094;asset.totalCharge;en-US;Total charge
v347-095;asset.empty;ar-EG;لا توجد أصول ثابتة بعد
v347-096;asset.empty;en-US;No fixed assets yet
v347-097;asset.saved;ar-EG;تم حفظ الأصل
v347-098;asset.saved;en-US;Asset saved
v347-099;asset.disposed;ar-EG;تم استبعاد الأصل
v347-100;asset.disposed;en-US;Asset disposed of
v347-101;outcome.POSTED;ar-EG;تم الترحيل
v347-102;outcome.POSTED;en-US;Posted
v347-103;outcome.ALREADY_POSTED;ar-EG;مُرحَّل مسبقًا
v347-104;outcome.ALREADY_POSTED;en-US;Already posted
v347-105;outcome.SKIPPED_MISSING_ACCOUNT;ar-EG;تجاوز — الحساب غير موجود
v347-106;outcome.SKIPPED_MISSING_ACCOUNT;en-US;Skipped — account missing
v347-107;outcome.DEPRECIATION_PERIOD_LOCKED;ar-EG;تجاوز — الفترة مقفلة
v347-108;outcome.DEPRECIATION_PERIOD_LOCKED;en-US;Skipped — period locked
v347-109;export.sheet.fixedAssets;ar-EG;الأصول الثابتة
v347-110;export.sheet.fixedAssets;en-US;Fixed assets
v347-111;export.column.assetName;ar-EG;الأصل
v347-112;export.column.assetName;en-US;Asset
v347-113;export.column.acquisitionDate;ar-EG;تاريخ الاقتناء
v347-114;export.column.acquisitionDate;en-US;Acquisition date
v347-115;export.column.cost;ar-EG;التكلفة
v347-116;export.column.cost;en-US;Cost
v347-117;export.column.salvage;ar-EG;التخريدية
v347-118;export.column.salvage;en-US;Salvage
v347-119;export.column.lifeMonths;ar-EG;العمر (أشهر)
v347-120;export.column.lifeMonths;en-US;Life (months)
v347-121;export.column.monthlyCharge;ar-EG;القسط الشهري
v347-122;export.column.monthlyCharge;en-US;Monthly charge
v347-123;export.column.accumulated;ar-EG;المتراكم
v347-124;export.column.accumulated;en-US;Accumulated
v347-125;export.column.netBookValue;ar-EG;القيمة الدفترية الصافية
v347-126;export.column.netBookValue;en-US;Net book value
v347-127;export.column.lastPosted;ar-EG;آخر ترحيل
v347-128;export.column.lastPosted;en-US;Last posted
v347-129;asset.export;ar-EG;تصدير Excel
v347-130;asset.export;en-US;Export Excel
