id;permission_key;module;submodule;description_key;action;is_system;created_at
p-sales-001;sales:quotation:read;trade;quotations;perm.sales.quotation.read;read;true;1787270400000
p-sales-002;sales:quotation:create;trade;quotations;perm.sales.quotation.create;create;true;1787270400000
p-sales-003;sales:quotation:update;trade;quotations;perm.sales.quotation.update;update;true;1787270400000
p-sales-004;sales:quotation:approve;trade;quotations;perm.sales.quotation.approve;approve;true;1787270400000
p-sales-005;sales:quotation:reject;trade;quotations;perm.sales.quotation.reject;reject;true;1787270400000
p-sales-006;sales:quotation:delete;trade;quotations;perm.sales.quotation.delete;delete;true;1787270400000
p-sales-007;sales:so:read;trade;orders;perm.sales.so.read;read;true;1787270400000
p-sales-008;sales:so:create;trade;orders;perm.sales.so.create;create;true;1787270400000
p-sales-009;sales:so:update;trade;orders;perm.sales.so.update;update;true;1787270400000
p-sales-010;sales:so:approve;trade;orders;perm.sales.so.approve;approve;true;1787270400000
p-sales-011;sales:so:cancel;trade;orders;perm.sales.so.cancel;cancel;true;1787270400000
p-sales-012;sales:delivery:read;trade;deliveries;perm.sales.delivery.read;read;true;1787270400000
p-sales-013;sales:delivery:create;trade;deliveries;perm.sales.delivery.create;create;true;1787270400000
p-sales-014;sales:delivery:post;trade;deliveries;perm.sales.delivery.post;post;true;1787270400000
p-sales-015;sales:invoice:read;trade;invoices;perm.sales.invoice.read;read;true;1787270400000
p-sales-016;sales:invoice:create;trade;invoices;perm.sales.invoice.create;create;true;1787270400000
p-sales-017;sales:invoice:post;trade;invoices;perm.sales.invoice.post;post;true;1787270400000
p-sales-018;sales:invoice:cancel;trade;invoices;perm.sales.invoice.cancel;cancel;true;1787270400000
p-sales-019;sales:credit_note:read;trade;credit_notes;perm.sales.credit_note.read;read;true;1787270400000
p-sales-020;sales:credit_note:create;trade;credit_notes;perm.sales.credit_note.create;create;true;1787270400000
p-sales-021;sales:credit_note:post;trade;credit_notes;perm.sales.credit_note.post;post;true;1787270400000
p-sales-022;sales:van:sync;trade;van_sales;perm.sales.van.sync;sync;true;1787270400000
p-sales-023;sales:pricing:manage;trade;pricing;perm.sales.pricing.manage;manage;true;1787270400000
p-sales-024;sales:discount:override;trade;discounts;perm.sales.discount.override;override;true;1787270400000
p-pos-001;pos:terminal:read;pos;terminals;perm.pos.terminal.read;read;true;1787270400000
p-pos-002;pos:terminal:manage;pos;terminals;perm.pos.terminal.manage;manage;true;1787270400000
p-pos-003;pos:session:open;pos;sessions;perm.pos.session.open;open;true;1787270400000
p-pos-004;pos:session:close;pos;sessions;perm.pos.session.close;close;true;1787270400000
p-pos-005;pos:checkout;pos;orders;perm.pos.checkout;checkout;true;1787270400000
p-pos-006;pos:discount:apply;pos;discounts;perm.pos.discount.apply;apply;true;1787270400000
p-pos-007;pos:refund:manage;pos;refunds;perm.pos.refund.manage;refund;true;1787270400000
p-pos-008;pos:hold:manage;pos;orders;perm.pos.hold.manage;hold;true;1787270400000
p-pos-009;pos:cashbox:transact;pos;cashbox;perm.pos.cashbox.transact;transact;true;1787270400000
p-crm-001;crm:lead:read;crm;leads;perm.crm.lead.read;read;true;1787270400000
p-crm-002;crm:lead:create;crm;leads;perm.crm.lead.create;create;true;1787270400000
p-crm-003;crm:lead:update;crm;leads;perm.crm.lead.update;update;true;1787270400000
p-crm-004;crm:lead:delete;crm;leads;perm.crm.lead.delete;delete;true;1787270400000
p-crm-005;crm:lead:convert;crm;leads;perm.crm.lead.convert;convert;true;1787270400000
p-crm-006;crm:conversation:read;crm;conversations;perm.crm.conversation.read;read;true;1787270400000
p-crm-007;crm:conversation:reply;crm;conversations;perm.crm.conversation.reply;reply;true;1787270400000
p-crm-008;crm:activity:log;crm;activities;perm.crm.activity.log;log;true;1787270400000
p-crm-009;crm:channel:configure;crm;channels;perm.crm.channel.configure;configure;true;1787270400000
p-proc-001;procurement:pr:read;procurement;requisitions;perm.procurement.pr.read;read;true;1787270400000
p-proc-002;procurement:pr:create;procurement;requisitions;perm.procurement.pr.create;create;true;1787270400000
p-proc-003;procurement:pr:approve;procurement;requisitions;perm.procurement.pr.approve;approve;true;1787270400000
p-proc-004;procurement:rfq:read;procurement;sourcing;perm.procurement.rfq.read;read;true;1787270400000
p-proc-005;procurement:rfq:manage;procurement;sourcing;perm.procurement.rfq.manage;manage;true;1787270400000
p-proc-006;procurement:po:read;procurement;orders;perm.procurement.po.read;read;true;1787270400000
p-proc-007;procurement:po:create;procurement;orders;perm.procurement.po.create;create;true;1787270400000
p-proc-008;procurement:po:update;procurement;orders;perm.procurement.po.update;update;true;1787270400000
p-proc-009;procurement:po:approve;procurement;orders;perm.procurement.po.approve;approve;true;1787270400000
p-proc-010;procurement:po:cancel;procurement;orders;perm.procurement.po.cancel;cancel;true;1787270400000
p-proc-011;procurement:po:receive;procurement;orders;perm.procurement.po.receive;receive;true;1787270400000
p-proc-012;procurement:grn:read;procurement;receipts;perm.procurement.grn.read;read;true;1787270400000
p-proc-013;procurement:grn:create;procurement;receipts;perm.procurement.grn.create;create;true;1787270400000
p-proc-014;procurement:grn:cancel;procurement;receipts;perm.procurement.grn.cancel;cancel;true;1787270400000
p-proc-015;procurement:invoice:read;procurement;invoices;perm.procurement.invoice.read;read;true;1787270400000
p-proc-016;procurement:invoice:create;procurement;invoices;perm.procurement.invoice.create;create;true;1787270400000
p-proc-017;procurement:invoice:post;procurement;invoices;perm.procurement.invoice.post;post;true;1787270400000
p-proc-018;procurement:match:read;procurement;matching;perm.procurement.match.read;read;true;1787270400000
p-proc-019;procurement:match:resolve;procurement;matching;perm.procurement.match.resolve;resolve;true;1787270400000
p-proc-020;procurement:match:override;procurement;matching;perm.procurement.match.override;override;true;1787270400000
p-proc-021;procurement:return:read;procurement;returns;perm.procurement.return.read;read;true;1787270400000
p-proc-022;procurement:return:create;procurement;returns;perm.procurement.return.create;create;true;1787270400000
p-proc-023;procurement:supplier:onboard;procurement;suppliers;perm.procurement.supplier.onboard;onboard;true;1787270400000
p-proc-024;procurement:proposal:manage;procurement;payments;perm.procurement.proposal.manage;manage;true;1787270400000
p-cont-001;contracting:project:read;contracting;projects;perm.contracting.project.read;read;true;1787270400000
p-cont-002;contracting:project:create;contracting;projects;perm.contracting.project.create;create;true;1787270400000
p-cont-003;contracting:project:update;contracting;projects;perm.contracting.project.update;update;true;1787270400000
p-cont-004;contracting:project:close;contracting;projects;perm.contracting.project.close;close;true;1787270400000
p-cont-005;contracting:wbs:read;contracting;wbs;perm.contracting.wbs.read;read;true;1787270400000
p-cont-006;contracting:wbs:create;contracting;wbs;perm.contracting.wbs.create;create;true;1787270400000
p-cont-007;contracting:wbs:update;contracting;wbs;perm.contracting.wbs.update;update;true;1787270400000
p-cont-008;contracting:wbs:reorder;contracting;wbs;perm.contracting.wbs.reorder;reorder;true;1787270400000
p-cont-009;contracting:wbs:delete;contracting;wbs;perm.contracting.wbs.delete;delete;true;1787270400000
p-cont-010;contracting:dpr:read;contracting;dpr;perm.contracting.dpr.read;read;true;1787270400000
p-cont-011;contracting:dpr:create;contracting;dpr;perm.contracting.dpr.create;create;true;1787270400000
p-cont-012;contracting:dpr:update;contracting;dpr;perm.contracting.dpr.update;update;true;1787270400000
p-cont-013;contracting:dpr:submit;contracting;dpr;perm.contracting.dpr.submit;submit;true;1787270400000
