id;translation_key;locale;text_value
v351-001-en;users.template.doctor;en-US;Doctor
v351-001-ar;users.template.doctor;ar-EG;طبيب
v351-002-en;users.template.nurse;en-US;Nurse
v351-002-ar;users.template.nurse;ar-EG;ممرض/ممرضة
v351-003-en;users.template.pharmacist;en-US;Pharmacist
v351-003-ar;users.template.pharmacist;ar-EG;صيدلي
v351-004-en;users.template.labTech;en-US;Lab Technician
v351-004-ar;users.template.labTech;ar-EG;فني مختبر
v351-005-en;users.template.radiologist;en-US;Radiologist
v351-005-ar;users.template.radiologist;ar-EG;أخصائي أشعة
v351-006-en;users.template.insuranceOfficer;en-US;Insurance Officer
v351-006-ar;users.template.insuranceOfficer;ar-EG;موظف تأمينات طبية
v351-007-en;users.template.clinicCashier;en-US;Clinic Cashier
v351-007-ar;users.template.clinicCashier;ar-EG;كاشير عيادة
v351-008-en;users.template.plantSupervisor;en-US;Plant Supervisor
v351-008-ar;users.template.plantSupervisor;ar-EG;مشرف مصنع
v351-009-en;users.template.qcInspector;en-US;QC Inspector
v351-009-ar;users.template.qcInspector;ar-EG;مراقب جودة
v351-010-en;users.template.storekeeper;en-US;Storekeeper
v351-010-ar;users.template.storekeeper;ar-EG;أمين مخزن
v351-011-en;users.template.maintenancePlanner;en-US;Maintenance Planner
v351-011-ar;users.template.maintenancePlanner;ar-EG;مخطط صيانة
v351-012-en;users.template.productionPlanner;en-US;Production Planner
v351-012-ar;users.template.productionPlanner;ar-EG;مخطط إنتاج
v351-013-en;users.template.cashier;en-US;Cashier
v351-013-ar;users.template.cashier;ar-EG;كاشير
v351-014-en;users.template.merchandiser;en-US;Merchandiser
v351-014-ar;users.template.merchandiser;ar-EG;مسؤول عرض بضائع
v351-015-en;users.template.vanSalesRep;en-US;Van Sales Representative
v351-015-ar;users.template.vanSalesRep;ar-EG;مندوب مبيعات سيارة
v351-016-en;users.template.branchManager;en-US;Branch Manager
v351-016-ar;users.template.branchManager;ar-EG;مدير فرع
v351-017-en;users.template.siteEngineer;en-US;Site Engineer
v351-017-ar;users.template.siteEngineer;ar-EG;مهندس موقع
v351-018-en;users.template.quantitySurveyor;en-US;Quantity Surveyor
v351-018-ar;users.template.quantitySurveyor;ar-EG;مساحة كميات
v351-019-en;users.template.subcontractorCoordinator;en-US;Subcontractor Coordinator
v351-019-ar;users.template.subcontractorCoordinator;ar-EG;منسق مقاولي باطن
v351-020-en;users.template.consultant;en-US;Consultant
v351-020-ar;users.template.consultant;ar-EG;استشاري
v351-021-en;users.template.supportAgent;en-US;Support Agent
v351-021-ar;users.template.supportAgent;ar-EG;موظف دعم فني
v351-022-en;users.template.accountant;en-US;Accountant
v351-022-ar;users.template.accountant;ar-EG;محاسب
v351-023-en;users.template.hrOfficer;en-US;HR Officer
v351-023-ar;users.template.hrOfficer;ar-EG;موظف موارد بشرية
v351-024-en;users.template.purchasingOfficer;en-US;Purchasing Officer
v351-024-ar;users.template.purchasingOfficer;ar-EG;موظف مشتريات
v351-025-en;users.jobTemplate;en-US;Job template
v351-025-ar;users.jobTemplate;ar-EG;قالب وظيفي
v351-026-en;users.jobTemplateHint;en-US;Applying a template pre-checks its menus and suggests matching policy groups. Everything stays manually editable.
v351-026-ar;users.jobTemplateHint;ar-EG;تطبيق القالب يحدد القوائم المرتبطة به ويقترح مجموعات السياسات المطابقة، ويبقى كل شيء قابلاً للتعديل يدوياً.
v351-027-en;users.menuNotEnabledForVertical;en-US;This menu is not enabled for your company's business vertical.
v351-027-ar;users.menuNotEnabledForVertical;ar-EG;هذه القائمة غير مفعلة لنشاط شركتك.
v351-028-en;users.templateApplied;en-US;Template applied: menus pre-checked and policy groups suggested.
v351-028-ar;users.templateApplied;ar-EG;تم تطبيق القالب: تم تحديد القوائم واقتراح مجموعات السياسات.
v351-029-en;users.templateSuggestedGroups;en-US;Suggested policy groups
v351-029-ar;users.templateSuggestedGroups;ar-EG;مجموعات السياسات المقترحة
