id;translation_key;locale;text_value
v401-001-en;workspace.documents;en-US;Documents
v401-001-ar;workspace.documents;ar-EG;المستندات
v401-002-en;nav.documents;en-US;Document Center
v401-002-ar;nav.documents;ar-EG;مركز المستندات
v401-003-en;nav.documentsHint;en-US;Organize company documents into folders and tags
v401-003-ar;nav.documentsHint;ar-EG;تنظيم مستندات الشركة في مجلدات ووسوم
v401-004-en;workspace.esign;en-US;Signatures
v401-004-ar;workspace.esign;ar-EG;التوقيعات
v401-005-en;nav.esign;en-US;eSign Workflows
v401-005-ar;nav.esign;ar-EG;مهام التوقيع الإلكتروني
v401-006-en;nav.esignHint;en-US;Route documents for sequential signature approval
v401-006-ar;nav.esignHint;ar-EG;إرسال المستندات للتوقيع بالموافقة المتسلسلة
v401-007-en;doc.folders;en-US;Folders
v401-007-ar;doc.folders;ar-EG;المجلدات
v401-008-en;doc.tags;en-US;Tags
v401-008-ar;doc.tags;ar-EG;الوسوم
v401-009-en;doc.documents;en-US;Documents
v401-009-ar;doc.documents;ar-EG;المستندات
v401-010-en;doc.createFolder;en-US;New Folder
v401-010-ar;doc.createFolder;ar-EG;مجلد جديد
v401-011-en;doc.folderName;en-US;Folder Name
v401-011-ar;doc.folderName;ar-EG;اسم المجلد
v401-012-en;doc.createTag;en-US;New Tag
v401-012-ar;doc.createTag;ar-EG;وسم جديد
v401-013-en;doc.tagName;en-US;Tag Name
v401-013-ar;doc.tagName;ar-EG;اسم الوسم
v401-014-en;doc.search;en-US;Search documents
v401-014-ar;doc.search;ar-EG;بحث في المستندات
v401-015-en;doc.searchPlaceholder;en-US;Type a filename or tag…
v401-015-ar;doc.searchPlaceholder;ar-EG;اكتب اسم ملف أو وسم…
v401-016-en;doc.assignTag;en-US;Assign Tag
v401-016-ar;doc.assignTag;ar-EG;إضافة وسم
v401-017-en;doc.rename;en-US;Rename
v401-017-ar;doc.rename;ar-EG;إعادة تسمية
v401-018-en;doc.move;en-US;Move
v401-018-ar;doc.move;ar-EG;نقل
v401-019-en;doc.selectFolder;en-US;Select destination folder
v401-019-ar;doc.selectFolder;ar-EG;اختر المجلد الوجهة
v401-020-en;doc.folderCreated;en-US;Folder created
v401-020-ar;doc.folderCreated;ar-EG;تم إنشاء المجلد
v401-021-en;doc.tagCreated;en-US;Tag created
v401-021-ar;doc.tagCreated;ar-EG;تم إنشاء الوسم
v401-022-en;doc.tagAssigned;en-US;Tag assigned
v401-022-ar;doc.tagAssigned;ar-EG;تمت إضافة الوسم
v401-023-en;doc.noDocuments;en-US;No documents found
v401-023-ar;doc.noDocuments;ar-EG;لا توجد مستندات
v401-024-en;doc.folder;en-US;Folder
v401-024-ar;doc.folder;ar-EG;المجلد
v401-025-en;esign.packets;en-US;Signature Packets
